2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"WA","238","Curtin","0","ABSENT","0","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1280"
"WA","238","Curtin","0","ABSENT","0","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","30.020"
"WA","238","Curtin","0","ABSENT","0","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","0","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","0","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Preference Count","712"
"WA","238","Curtin","0","ABSENT","0","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Preference Percent","16.700"
"WA","238","Curtin","0","ABSENT","0","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","0","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","0","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Preference Count","956"
"WA","238","Curtin","0","ABSENT","0","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Preference Percent","22.420"
"WA","238","Curtin","0","ABSENT","0","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","0","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","0","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Preference Count","243"
"WA","238","Curtin","0","ABSENT","0","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Preference Percent","5.700"
"WA","238","Curtin","0","ABSENT","0","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","0","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","0","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Preference Count","259"
"WA","238","Curtin","0","ABSENT","0","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Preference Percent","6.070"
"WA","238","Curtin","0","ABSENT","0","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","0","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","0","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Count","814"
"WA","238","Curtin","0","ABSENT","0","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Percent","19.090"
"WA","238","Curtin","0","ABSENT","0","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","0","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","1","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1310"
"WA","238","Curtin","0","ABSENT","1","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","30.720"
"WA","238","Curtin","0","ABSENT","1","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","30"
"WA","238","Curtin","0","ABSENT","1","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","11.580"
"WA","238","Curtin","0","ABSENT","1","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Preference Count","792"
"WA","238","Curtin","0","ABSENT","1","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Preference Percent","18.570"
"WA","238","Curtin","0","ABSENT","1","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Transfer Count","80"
"WA","238","Curtin","0","ABSENT","1","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Transfer Percent","30.890"
"WA","238","Curtin","0","ABSENT","1","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Preference Count","1007"
"WA","238","Curtin","0","ABSENT","1","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Preference Percent","23.620"
"WA","238","Curtin","0","ABSENT","1","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Transfer Count","51"
"WA","238","Curtin","0","ABSENT","1","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Transfer Percent","19.690"
"WA","238","Curtin","0","ABSENT","1","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Preference Count","284"
"WA","238","Curtin","0","ABSENT","1","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Preference Percent","6.660"
"WA","238","Curtin","0","ABSENT","1","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Transfer Count","41"
"WA","238","Curtin","0","ABSENT","1","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Transfer Percent","15.830"
"WA","238","Curtin","0","ABSENT","1","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Preference Count","0"
"WA","238","Curtin","0","ABSENT","1","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Preference Percent","0.000"
"WA","238","Curtin","0","ABSENT","1","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Transfer Count","-259"
"WA","238","Curtin","0","ABSENT","1","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Transfer Percent","-100.000"
"WA","238","Curtin","0","ABSENT","1","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Count","871"
"WA","238","Curtin","0","ABSENT","1","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Percent","20.430"
"WA","238","Curtin","0","ABSENT","1","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Count","57"
"WA","238","Curtin","0","ABSENT","1","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Percent","22.010"
"WA","238","Curtin","0","ABSENT","2","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1466"
"WA","238","Curtin","0","ABSENT","2","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","34.380"
"WA","238","Curtin","0","ABSENT","2","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","156"
"WA","238","Curtin","0","ABSENT","2","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","54.930"
"WA","238","Curtin","0","ABSENT","2","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Preference Count","813"
"WA","238","Curtin","0","ABSENT","2","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Preference Percent","19.070"
"WA","238","Curtin","0","ABSENT","2","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Transfer Count","21"
"WA","238","Curtin","0","ABSENT","2","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Transfer Percent","7.390"
"WA","238","Curtin","0","ABSENT","2","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Preference Count","1102"
"WA","238","Curtin","0","ABSENT","2","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Preference Percent","25.840"
"WA","238","Curtin","0","ABSENT","2","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Transfer Count","95"
"WA","238","Curtin","0","ABSENT","2","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Transfer Percent","33.450"
"WA","238","Curtin","0","ABSENT","2","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"WA","238","Curtin","0","ABSENT","2","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"WA","238","Curtin","0","ABSENT","2","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Transfer Count","-284"
"WA","238","Curtin","0","ABSENT","2","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"WA","238","Curtin","0","ABSENT","2","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Preference Count","0"
"WA","238","Curtin","0","ABSENT","2","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Preference Percent","0.000"
"WA","238","Curtin","0","ABSENT","2","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","2","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","2","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Count","883"
"WA","238","Curtin","0","ABSENT","2","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Percent","20.710"
"WA","238","Curtin","0","ABSENT","2","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Count","12"
"WA","238","Curtin","0","ABSENT","2","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Percent","4.230"
"WA","238","Curtin","0","ABSENT","3","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1537"
"WA","238","Curtin","0","ABSENT","3","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","36.050"
"WA","238","Curtin","0","ABSENT","3","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","71"
"WA","238","Curtin","0","ABSENT","3","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","8.730"
"WA","238","Curtin","0","ABSENT","3","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Preference Count","0"
"WA","238","Curtin","0","ABSENT","3","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Preference Percent","0.000"
"WA","238","Curtin","0","ABSENT","3","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Transfer Count","-813"
"WA","238","Curtin","0","ABSENT","3","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Transfer Percent","-100.000"
"WA","238","Curtin","0","ABSENT","3","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Preference Count","1468"
"WA","238","Curtin","0","ABSENT","3","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Preference Percent","34.430"
"WA","238","Curtin","0","ABSENT","3","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Transfer Count","366"
"WA","238","Curtin","0","ABSENT","3","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Transfer Percent","45.020"
"WA","238","Curtin","0","ABSENT","3","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"WA","238","Curtin","0","ABSENT","3","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"WA","238","Curtin","0","ABSENT","3","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","3","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","3","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Preference Count","0"
"WA","238","Curtin","0","ABSENT","3","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Preference Percent","0.000"
"WA","238","Curtin","0","ABSENT","3","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","3","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","3","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Count","1259"
"WA","238","Curtin","0","ABSENT","3","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Percent","29.530"
"WA","238","Curtin","0","ABSENT","3","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Count","376"
"WA","238","Curtin","0","ABSENT","3","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Percent","46.250"
"WA","238","Curtin","0","ABSENT","4","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1872"
"WA","238","Curtin","0","ABSENT","4","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","43.900"
"WA","238","Curtin","0","ABSENT","4","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","335"
"WA","238","Curtin","0","ABSENT","4","1","41244","WHITE","Thomas D'arcy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","26.610"
"WA","238","Curtin","0","ABSENT","4","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Preference Count","0"
"WA","238","Curtin","0","ABSENT","4","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Preference Percent","0.000"
"WA","238","Curtin","0","ABSENT","4","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","4","2","41755","HEMSLEY","Kitty Leanne Lynette","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","4","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Preference Count","2392"
"WA","238","Curtin","0","ABSENT","4","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Preference Percent","56.100"
"WA","238","Curtin","0","ABSENT","4","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Transfer Count","924"
"WA","238","Curtin","0","ABSENT","4","3","36589","CHANEY","Katherine Ella","IND","Independent","Y","Transfer Percent","73.390"
"WA","238","Curtin","0","ABSENT","4","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"WA","238","Curtin","0","ABSENT","4","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"WA","238","Curtin","0","ABSENT","4","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","4","4","41657","IRONSIDE","Alexander","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","4","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Preference Count","0"
"WA","238","Curtin","0","ABSENT","4","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Preference Percent","0.000"
"WA","238","Curtin","0","ABSENT","4","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","238","Curtin","0","ABSENT","4","5","42076","MULHOLLAND","Frederick Sopon","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","238","Curtin","0","ABSENT","4","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Count","0"
"WA","238","Curtin","0","ABSENT","4","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Percent","0.000"
"WA","238","Curtin","0","ABSENT","4","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Count","-1259"
"WA","238","Curtin","0","ABSENT","4","6","41359","KO","Viktor Andrew","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Percent","-100.000"
