2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"WA","305","Hasluck","0","ABSENT","0","1","41406","LAWRENCE","Tania Natalie","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","2018"
"WA","305","Hasluck","0","ABSENT","0","1","41406","LAWRENCE","Tania Natalie","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","38.670"
"WA","305","Hasluck","0","ABSENT","0","1","41406","LAWRENCE","Tania Natalie","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Count","0"
"WA","305","Hasluck","0","ABSENT","0","1","41406","LAWRENCE","Tania Natalie","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Percent","0.000"
"WA","305","Hasluck","0","ABSENT","0","2","41712","DEETH","Adrian Llewellyn","ON","Pauline Hanson's One Nation","N","Preference Count","505"
"WA","305","Hasluck","0","ABSENT","0","2","41712","DEETH","Adrian Llewellyn","ON","Pauline Hanson's One Nation","N","Preference Percent","9.680"
"WA","305","Hasluck","0","ABSENT","0","2","41712","DEETH","Adrian Llewellyn","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"WA","305","Hasluck","0","ABSENT","0","2","41712","DEETH","Adrian Llewellyn","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"WA","305","Hasluck","0","ABSENT","0","3","42078","KELLY","Dawn Michelle","GAP","The Great Australian Party","N","Preference Count","100"
"WA","305","Hasluck","0","ABSENT","0","3","42078","KELLY","Dawn Michelle","GAP","The Great Australian Party","N","Preference Percent","1.920"
"WA","305","Hasluck","0","ABSENT","0","3","42078","KELLY","Dawn Michelle","GAP","The Great Australian Party","N","Transfer Count","0"
"WA","305","Hasluck","0","ABSENT","0","3","42078","KELLY","Dawn Michelle","GAP","The Great Australian Party","N","Transfer Percent","0.000"
"WA","305","Hasluck","0","ABSENT","0","4","41092","KINGSTON","David","AUC","Australian Christians","N","Preference Count","155"
"WA","305","Hasluck","0","ABSENT","0","4","41092","KINGSTON","David","AUC","Australian Christians","N","Preference Percent","2.970"
"WA","305","Hasluck","0","ABSENT","0","4","41092","KINGSTON","David","AUC","Australian Christians","N","Transfer Count","0"
"WA","305","Hasluck","0","ABSENT","0","4","41092","KINGSTON","David","AUC","Australian Christians","N","Transfer Percent","0.000"
"WA","305","Hasluck","0","ABSENT","0","5","41794","MATSON","Tamica-Lea Magaret","GRN","The Greens (WA) Inc","N","Preference Count","935"
"WA","305","Hasluck","0","ABSENT","0","5","41794","MATSON","Tamica-Lea Magaret","GRN","The Greens (WA) Inc","N","Preference Percent","17.920"
"WA","305","Hasluck","0","ABSENT","0","5","41794","MATSON","Tamica-Lea Magaret","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","305","Hasluck","0","ABSENT","0","5","41794","MATSON","Tamica-Lea Magaret","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","305","Hasluck","0","ABSENT","0","6","41260","GOODE","David Nicholas","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1015"
"WA","305","Hasluck","0","ABSENT","0","6","41260","GOODE","David Nicholas","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","19.450"
"WA","305","Hasluck","0","ABSENT","0","6","41260","GOODE","David Nicholas","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","0"
"WA","305","Hasluck","0","ABSENT","0","6","41260","GOODE","David Nicholas","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","0.000"
"WA","305","Hasluck","0","ABSENT","0","7","41749","TREASURE","Leo Sydney","HMP","Legalise Cannabis Australia","N","Preference Count","490"
"WA","305","Hasluck","0","ABSENT","0","7","41749","TREASURE","Leo Sydney","HMP","Legalise Cannabis Australia","N","Preference Percent","9.390"
"WA","305","Hasluck","0","ABSENT","0","7","41749","TREASURE","Leo Sydney","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","305","Hasluck","0","ABSENT","0","7","41749","TREASURE","Leo Sydney","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","305","Hasluck","0","ABSENT","1","1","41406","LAWRENCE","Tania Natalie","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","2030"
"WA","305","Hasluck","0","ABSENT","1","1","41406","LAWRENCE","Tania Natalie","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","38.900"
