2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"WA","243","O'Connor","0","ABSENT","0","1","41658","CAMERON","Lindsay Logan","CYA","Trumpet of Patriots","N","Preference Count","96"
"WA","243","O'Connor","0","ABSENT","0","1","41658","CAMERON","Lindsay Logan","CYA","Trumpet of Patriots","N","Preference Percent","2.640"
"WA","243","O'Connor","0","ABSENT","0","1","41658","CAMERON","Lindsay Logan","CYA","Trumpet of Patriots","N","Transfer Count","0"
"WA","243","O'Connor","0","ABSENT","0","1","41658","CAMERON","Lindsay Logan","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"WA","243","O'Connor","0","ABSENT","0","2","41810","WATSON","Giz","GRN","The Greens (WA) Inc","N","Preference Count","528"
"WA","243","O'Connor","0","ABSENT","0","2","41810","WATSON","Giz","GRN","The Greens (WA) Inc","N","Preference Percent","14.500"
"WA","243","O'Connor","0","ABSENT","0","2","41810","WATSON","Giz","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","243","O'Connor","0","ABSENT","0","2","41810","WATSON","Giz","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","243","O'Connor","0","ABSENT","0","3","41930","TEMPRA","Heidi Lee","NP","National Party of Australia (WA) Inc","N","Preference Count","442"
"WA","243","O'Connor","0","ABSENT","0","3","41930","TEMPRA","Heidi Lee","NP","National Party of Australia (WA) Inc","N","Preference Percent","12.140"
"WA","243","O'Connor","0","ABSENT","0","3","41930","TEMPRA","Heidi Lee","NP","National Party of Australia (WA) Inc","N","Transfer Count","0"
"WA","243","O'Connor","0","ABSENT","0","3","41930","TEMPRA","Heidi Lee","NP","National Party of Australia (WA) Inc","N","Transfer Percent","0.000"
"WA","243","O'Connor","0","ABSENT","0","4","41759","ARNATT","Philip James","HMP","Legalise Cannabis Australia","N","Preference Count","300"
"WA","243","O'Connor","0","ABSENT","0","4","41759","ARNATT","Philip James","HMP","Legalise Cannabis Australia","N","Preference Percent","8.240"
"WA","243","O'Connor","0","ABSENT","0","4","41759","ARNATT","Philip James","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","243","O'Connor","0","ABSENT","0","4","41759","ARNATT","Philip James","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","243","O'Connor","0","ABSENT","0","5","41267","WILSON","Richard James","LP","Liberal Party (W.A. Division) Inc","Y","Preference Count","1121"
"WA","243","O'Connor","0","ABSENT","0","5","41267","WILSON","Richard James","LP","Liberal Party (W.A. Division) Inc","Y","Preference Percent","30.790"
"WA","243","O'Connor","0","ABSENT","0","5","41267","WILSON","Richard James","LP","Liberal Party (W.A. Division) Inc","Y","Transfer Count","0"
"WA","243","O'Connor","0","ABSENT","0","5","41267","WILSON","Richard James","LP","Liberal Party (W.A. Division) Inc","Y","Transfer Percent","0.000"
"WA","243","O'Connor","0","ABSENT","0","6","41421","MOIR","Darren Gregory","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Count","661"
"WA","243","O'Connor","0","ABSENT","0","6","41421","MOIR","Darren Gregory","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Percent","18.150"
"WA","243","O'Connor","0","ABSENT","0","6","41421","MOIR","Darren Gregory","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Count","0"
"WA","243","O'Connor","0","ABSENT","0","6","41421","MOIR","Darren Gregory","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Percent","0.000"
