2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"WA","247","Swan","0","ABSENT","0","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Preference Count","251"
"WA","247","Swan","0","ABSENT","0","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Preference Percent","4.730"
"WA","247","Swan","0","ABSENT","0","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Transfer Count","0"
"WA","247","Swan","0","ABSENT","0","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Transfer Percent","0.000"
"WA","247","Swan","0","ABSENT","0","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","1746"
"WA","247","Swan","0","ABSENT","0","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","32.920"
"WA","247","Swan","0","ABSENT","0","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Count","0"
"WA","247","Swan","0","ABSENT","0","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Percent","0.000"
"WA","247","Swan","0","ABSENT","0","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Preference Count","1316"
"WA","247","Swan","0","ABSENT","0","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Preference Percent","24.810"
"WA","247","Swan","0","ABSENT","0","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","247","Swan","0","ABSENT","0","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","247","Swan","0","ABSENT","0","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Preference Count","476"
"WA","247","Swan","0","ABSENT","0","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Preference Percent","8.970"
"WA","247","Swan","0","ABSENT","0","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","247","Swan","0","ABSENT","0","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","247","Swan","0","ABSENT","0","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Preference Count","385"
"WA","247","Swan","0","ABSENT","0","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Preference Percent","7.260"
"WA","247","Swan","0","ABSENT","0","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"WA","247","Swan","0","ABSENT","0","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"WA","247","Swan","0","ABSENT","0","6","41581","FELS","Michael Francis Aloysius","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1130"
"WA","247","Swan","0","ABSENT","0","6","41581","FELS","Michael Francis Aloysius","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","21.300"
"WA","247","Swan","0","ABSENT","0","6","41581","FELS","Michael Francis Aloysius","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","0"
"WA","247","Swan","0","ABSENT","0","6","41581","FELS","Michael Francis Aloysius","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","0.000"
"WA","247","Swan","0","ABSENT","1","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Preference Count","0"
"WA","247","Swan","0","ABSENT","1","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Preference Percent","0.000"
"WA","247","Swan","0","ABSENT","1","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Transfer Count","-251"
"WA","247","Swan","0","ABSENT","1","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Transfer Percent","-100.000"
"WA","247","Swan","0","ABSENT","1","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","1806"
"WA","247","Swan","0","ABSENT","1","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","34.050"
"WA","247","Swan","0","ABSENT","1","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Count","60"
"WA","247","Swan","0","ABSENT","1","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Percent","23.900"
"WA","247","Swan","0","ABSENT","1","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Preference Count","1353"
"WA","247","Swan","0","ABSENT","1","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Preference Percent","25.510"
"WA","247","Swan","0","ABSENT","1","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Transfer Count","37"
"WA","247","Swan","0","ABSENT","1","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Transfer Percent","14.740"
"WA","247","Swan","0","ABSENT","1","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Preference Count","497"
"WA","247","Swan","0","ABSENT","1","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Preference Percent","9.370"
"WA","247","Swan","0","ABSENT","1","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Transfer Count","21"
"WA","247","Swan","0","ABSENT","1","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Transfer Percent","8.370"
"WA","247","Swan","0","ABSENT","1","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Preference Count","449"
"WA","247","Swan","0","ABSENT","1","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Preference Percent","8.470"
"WA","247","Swan","0","ABSENT","1","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Transfer Count","64"
"WA","247","Swan","0","ABSENT","1","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Transfer Percent","25.500"
"WA","247","Swan","0","ABSENT","1","6","41581","FELS","Michael Francis Aloysius","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1199"
"WA","247","Swan","0","ABSENT","1","6","41581","FELS","Michael Francis Aloysius","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","22.610"
"WA","247","Swan","0","ABSENT","1","6","41581","FELS","Michael Francis Aloysius","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","69"
"WA","247","Swan","0","ABSENT","1","6","41581","FELS","Michael Francis Aloysius","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","27.490"
"WA","247","Swan","0","ABSENT","2","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Preference Count","0"
"WA","247","Swan","0","ABSENT","2","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Preference Percent","0.000"
"WA","247","Swan","0","ABSENT","2","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Transfer Count","0"
"WA","247","Swan","0","ABSENT","2","1","41160","STAER","Mark Rohan","AUC","Australian Christians","N","Transfer Percent","0.000"
"WA","247","Swan","0","ABSENT","2","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","1925"
"WA","247","Swan","0","ABSENT","2","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","36.290"
"WA","247","Swan","0","ABSENT","2","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Count","119"
"WA","247","Swan","0","ABSENT","2","2","41456","MASCARENHAS","Zaneta Felice Antoinetta","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Percent","23.940"
"WA","247","Swan","0","ABSENT","2","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Preference Count","1556"
"WA","247","Swan","0","ABSENT","2","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Preference Percent","29.340"
"WA","247","Swan","0","ABSENT","2","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Transfer Count","203"
"WA","247","Swan","0","ABSENT","2","3","41829","UINK","Clint","GRN","The Greens (WA) Inc","N","Transfer Percent","40.850"
"WA","247","Swan","0","ABSENT","2","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Preference Count","0"
"WA","247","Swan","0","ABSENT","2","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Preference Percent","0.000"
"WA","247","Swan","0","ABSENT","2","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Transfer Count","-497"
"WA","247","Swan","0","ABSENT","2","4","41776","LEECH","Shelley Noelene","HMP","Legalise Cannabis Australia","N","Transfer Percent","-100.000"
"WA","247","Swan","0","ABSENT","2","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Preference Count","566"
"WA","247","Swan","0","ABSENT","2","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Preference Percent","10.670"
"WA","247","Swan","0","ABSENT","2","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Transfer Count","117"
"WA","247","Swan","0","ABSENT","2","5","41731","HALLEY","Michael David","ON","Pauline Hanson's One Nation","N","Transfer Percent","23.540"
"WA","247","Swan","0","ABSENT","2","6","41581","FELS","Michael Francis Aloysius","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","1257"
"WA","247","Swan","0","ABSENT","2","6","41581","FELS","Michael Francis Aloysius","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","23.700"
"WA","247","Swan","0","ABSENT","2","6","41581","FELS","Michael Francis Aloysius","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","58"
