2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"ACT","318","Bean","0","ABSENT","0","","","First Preferences","","0","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","674","65.060"
"ACT","318","Bean","0","ABSENT","0","","","First Preferences","","0","41682","IND","Independent","PRICE","Jessie","2","362","34.940"
"ACT","318","Bean","0","ABSENT","41076","LP","Liberal Party of Australia - ACT Division","LAMERTON","David","1","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","96","25.810"
"ACT","318","Bean","0","ABSENT","41076","LP","Liberal Party of Australia - ACT Division","LAMERTON","David","1","41682","IND","Independent","PRICE","Jessie","2","276","74.190"
"ACT","318","Bean","0","ABSENT","41436","GRN","Australian Greens","CARTER","Sam","3","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","185","57.450"
"ACT","318","Bean","0","ABSENT","41436","GRN","Australian Greens","CARTER","Sam","3","41682","IND","Independent","PRICE","Jessie","2","137","42.550"
"ACT","318","Bean","0","POSTAL","0","","","First Preferences","","0","41682","IND","Independent","PRICE","Jessie","2","1627","35.710"
"ACT","318","Bean","0","POSTAL","0","","","First Preferences","","0","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","2929","64.290"
"ACT","318","Bean","0","POSTAL","41076","LP","Liberal Party of Australia - ACT Division","LAMERTON","David","1","41682","IND","Independent","PRICE","Jessie","2","1665","79.670"
"ACT","318","Bean","0","POSTAL","41076","LP","Liberal Party of Australia - ACT Division","LAMERTON","David","1","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","425","20.330"
"ACT","318","Bean","0","POSTAL","41436","GRN","Australian Greens","CARTER","Sam","3","41682","IND","Independent","PRICE","Jessie","2","312","50.080"
"ACT","318","Bean","0","POSTAL","41436","GRN","Australian Greens","CARTER","Sam","3","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","311","49.920"
"ACT","318","Bean","0","PRE_POLL","0","","","First Preferences","","0","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","1560","70.370"
"ACT","318","Bean","0","PRE_POLL","0","","","First Preferences","","0","41682","IND","Independent","PRICE","Jessie","2","657","29.630"
"ACT","318","Bean","0","PRE_POLL","41076","LP","Liberal Party of Australia - ACT Division","LAMERTON","David","1","41682","IND","Independent","PRICE","Jessie","2","686","75.720"
"ACT","318","Bean","0","PRE_POLL","41076","LP","Liberal Party of Australia - ACT Division","LAMERTON","David","1","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","220","24.280"
"ACT","318","Bean","0","PRE_POLL","41436","GRN","Australian Greens","CARTER","Sam","3","41682","IND","Independent","PRICE","Jessie","2","216","41.780"
"ACT","318","Bean","0","PRE_POLL","41436","GRN","Australian Greens","CARTER","Sam","3","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","301","58.220"
"ACT","318","Bean","0","PROVISIONAL","0","","","First Preferences","","0","41682","IND","Independent","PRICE","Jessie","2","79","40.100"
"ACT","318","Bean","0","PROVISIONAL","0","","","First Preferences","","0","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","118","59.900"
"ACT","318","Bean","0","PROVISIONAL","41076","LP","Liberal Party of Australia - ACT Division","LAMERTON","David","1","41682","IND","Independent","PRICE","Jessie","2","44","73.330"
"ACT","318","Bean","0","PROVISIONAL","41076","LP","Liberal Party of Australia - ACT Division","LAMERTON","David","1","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","16","26.670"
"ACT","318","Bean","0","PROVISIONAL","41436","GRN","Australian Greens","CARTER","Sam","3","41682","IND","Independent","PRICE","Jessie","2","9","30.000"
"ACT","318","Bean","0","PROVISIONAL","41436","GRN","Australian Greens","CARTER","Sam","3","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","21","70.000"
"ACT","318","Bean","8761","Chapman","0","","","First Preferences","","0","40676","ALP","Australian Labor Party (ACT Branch)","SMITH","David","4","812","55.240"
"ACT","318","Bean","8761","Chapman","0","","","First Preferences","","0","41682","IND","Independent","PRICE","Jessie","2","658","44.760"
"ACT","318","Bean","8761","Chapman","41076","LP","Liberal Party of Australia - ACT Division","LAMERTON","David","1","41682","IND","Independent","PRICE","Jessie","2","353","79.680"
