2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","104","Barton","0","ABSENT","0","","","First Preferences","","0","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","866","35.060"
"NSW","104","Barton","0","ABSENT","0","","","First Preferences","","0","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","1604","64.940"
"NSW","104","Barton","0","ABSENT","41874","LTP","Libertarian Party","KOLHATKAR","Vinay","1","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","82","43.390"
"NSW","104","Barton","0","ABSENT","41874","LTP","Libertarian Party","KOLHATKAR","Vinay","1","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","107","56.610"
"NSW","104","Barton","0","ABSENT","41862","ON","Pauline Hanson's One Nation","NICOLIS","Christos","2","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","166","65.100"
"NSW","104","Barton","0","ABSENT","41862","ON","Pauline Hanson's One Nation","NICOLIS","Christos","2","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","89","34.900"
"NSW","104","Barton","0","ABSENT","41494","GRN","The Greens NSW","BAHSA","Manal","5","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","126","14.090"
"NSW","104","Barton","0","ABSENT","41494","GRN","The Greens NSW","BAHSA","Manal","5","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","768","85.910"
"NSW","104","Barton","0","ABSENT","41768","CYA","Trumpet of Patriots","PAMBRIS","Thomas","6","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","69","40.120"
"NSW","104","Barton","0","ABSENT","41768","CYA","Trumpet of Patriots","PAMBRIS","Thomas","6","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","103","59.880"
"NSW","104","Barton","0","POSTAL","0","","","First Preferences","","0","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","2920","38.370"
"NSW","104","Barton","0","POSTAL","0","","","First Preferences","","0","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","4690","61.630"
"NSW","104","Barton","0","POSTAL","41874","LTP","Libertarian Party","KOLHATKAR","Vinay","1","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","90","41.100"
"NSW","104","Barton","0","POSTAL","41874","LTP","Libertarian Party","KOLHATKAR","Vinay","1","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","129","58.900"
"NSW","104","Barton","0","POSTAL","41862","ON","Pauline Hanson's One Nation","NICOLIS","Christos","2","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","195","30.760"
"NSW","104","Barton","0","POSTAL","41862","ON","Pauline Hanson's One Nation","NICOLIS","Christos","2","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","439","69.240"
"NSW","104","Barton","0","POSTAL","41494","GRN","The Greens NSW","BAHSA","Manal","5","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","1150","87.190"
"NSW","104","Barton","0","POSTAL","41494","GRN","The Greens NSW","BAHSA","Manal","5","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","169","12.810"
"NSW","104","Barton","0","POSTAL","41768","CYA","Trumpet of Patriots","PAMBRIS","Thomas","6","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","135","36.000"
"NSW","104","Barton","0","POSTAL","41768","CYA","Trumpet of Patriots","PAMBRIS","Thomas","6","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","240","64.000"
"NSW","104","Barton","0","PRE_POLL","0","","","First Preferences","","0","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","1277","65.930"
"NSW","104","Barton","0","PRE_POLL","0","","","First Preferences","","0","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","660","34.070"
"NSW","104","Barton","0","PRE_POLL","41874","LTP","Libertarian Party","KOLHATKAR","Vinay","1","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","57","55.340"
"NSW","104","Barton","0","PRE_POLL","41874","LTP","Libertarian Party","KOLHATKAR","Vinay","1","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","46","44.660"
"NSW","104","Barton","0","PRE_POLL","41862","ON","Pauline Hanson's One Nation","NICOLIS","Christos","2","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","66","38.370"
"NSW","104","Barton","0","PRE_POLL","41862","ON","Pauline Hanson's One Nation","NICOLIS","Christos","2","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","106","61.630"
"NSW","104","Barton","0","PRE_POLL","41494","GRN","The Greens NSW","BAHSA","Manal","5","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","441","89.630"
"NSW","104","Barton","0","PRE_POLL","41494","GRN","The Greens NSW","BAHSA","Manal","5","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","51","10.370"
"NSW","104","Barton","0","PRE_POLL","41768","CYA","Trumpet of Patriots","PAMBRIS","Thomas","6","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","40","38.830"
"NSW","104","Barton","0","PRE_POLL","41768","CYA","Trumpet of Patriots","PAMBRIS","Thomas","6","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","63","61.170"
"NSW","104","Barton","0","PROVISIONAL","0","","","First Preferences","","0","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","15","22.730"
"NSW","104","Barton","0","PROVISIONAL","0","","","First Preferences","","0","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","51","77.270"
"NSW","104","Barton","0","PROVISIONAL","41874","LTP","Libertarian Party","KOLHATKAR","Vinay","1","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","1","33.330"
"NSW","104","Barton","0","PROVISIONAL","41874","LTP","Libertarian Party","KOLHATKAR","Vinay","1","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","2","66.670"
"NSW","104","Barton","0","PROVISIONAL","41862","ON","Pauline Hanson's One Nation","NICOLIS","Christos","2","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","0","0.000"
"NSW","104","Barton","0","PROVISIONAL","41862","ON","Pauline Hanson's One Nation","NICOLIS","Christos","2","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","2","100.000"
"NSW","104","Barton","0","PROVISIONAL","41494","GRN","The Greens NSW","BAHSA","Manal","5","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","25","96.150"
"NSW","104","Barton","0","PROVISIONAL","41494","GRN","The Greens NSW","BAHSA","Manal","5","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","1","3.850"
"NSW","104","Barton","0","PROVISIONAL","41768","CYA","Trumpet of Patriots","PAMBRIS","Thomas","6","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","1","50.000"
"NSW","104","Barton","0","PROVISIONAL","41768","CYA","Trumpet of Patriots","PAMBRIS","Thomas","6","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","1","50.000"
"NSW","104","Barton","31","Allawah (Barton)","0","","","First Preferences","","0","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","423","64.090"
"NSW","104","Barton","31","Allawah (Barton)","0","","","First Preferences","","0","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","237","35.910"
"NSW","104","Barton","31","Allawah (Barton)","41874","LTP","Libertarian Party","KOLHATKAR","Vinay","1","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","12","50.000"
"NSW","104","Barton","31","Allawah (Barton)","41874","LTP","Libertarian Party","KOLHATKAR","Vinay","1","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","12","50.000"
"NSW","104","Barton","31","Allawah (Barton)","41862","ON","Pauline Hanson's One Nation","NICOLIS","Christos","2","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","19","26.760"
"NSW","104","Barton","31","Allawah (Barton)","41862","ON","Pauline Hanson's One Nation","NICOLIS","Christos","2","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","52","73.240"
"NSW","104","Barton","31","Allawah (Barton)","41494","GRN","The Greens NSW","BAHSA","Manal","5","41339","ALP","Australian Labor Party (N.S.W. Branch)","AMBIHAIPAHAR","Ash","3","116","85.290"
"NSW","104","Barton","31","Allawah (Barton)","41494","GRN","The Greens NSW","BAHSA","Manal","5","41448","LP","Liberal Party of Australia, NSW Division","DOUSKOU","Fiona","4","20","14.710"
