2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","106","Berowra","0","ABSENT","0","","","First Preferences","","0","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","916","44.640"
"NSW","106","Berowra","0","ABSENT","0","","","First Preferences","","0","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","1136","55.360"
"NSW","106","Berowra","0","ABSENT","41506","GRN","The Greens NSW","COUSINS","Martin","1","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","442","85.160"
"NSW","106","Berowra","0","ABSENT","41506","GRN","The Greens NSW","COUSINS","Martin","1","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","77","14.840"
"NSW","106","Berowra","0","ABSENT","41879","ON","Pauline Hanson's One Nation","MATTINSON","Gerald","2","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","149","81.870"
"NSW","106","Berowra","0","ABSENT","41879","ON","Pauline Hanson's One Nation","MATTINSON","Gerald","2","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","33","18.130"
"NSW","106","Berowra","0","ABSENT","27974","IND","Independent","WOODWARD","Roger","4","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","32","49.230"
"NSW","106","Berowra","0","ABSENT","27974","IND","Independent","WOODWARD","Roger","4","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","33","50.770"
"NSW","106","Berowra","0","ABSENT","41855","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","CLARKE","Brendan Michael","5","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","13","27.660"
"NSW","106","Berowra","0","ABSENT","41855","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","CLARKE","Brendan Michael","5","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","34","72.340"
"NSW","106","Berowra","0","ABSENT","41991","IND","Independent","BROWN","Tina","6","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","52","27.230"
"NSW","106","Berowra","0","ABSENT","41991","IND","Independent","BROWN","Tina","6","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","139","72.770"
"NSW","106","Berowra","0","ABSENT","41697","CYA","Trumpet of Patriots","BASTIAN","Stephen","7","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","66","66.670"
"NSW","106","Berowra","0","ABSENT","41697","CYA","Trumpet of Patriots","BASTIAN","Stephen","7","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","33","33.330"
"NSW","106","Berowra","0","POSTAL","0","","","First Preferences","","0","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","3699","32.990"
"NSW","106","Berowra","0","POSTAL","0","","","First Preferences","","0","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","7514","67.010"
"NSW","106","Berowra","0","POSTAL","41506","GRN","The Greens NSW","COUSINS","Martin","1","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","153","11.140"
"NSW","106","Berowra","0","POSTAL","41506","GRN","The Greens NSW","COUSINS","Martin","1","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","1221","88.860"
"NSW","106","Berowra","0","POSTAL","41879","ON","Pauline Hanson's One Nation","MATTINSON","Gerald","2","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","537","84.830"
"NSW","106","Berowra","0","POSTAL","41879","ON","Pauline Hanson's One Nation","MATTINSON","Gerald","2","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","96","15.170"
"NSW","106","Berowra","0","POSTAL","27974","IND","Independent","WOODWARD","Roger","4","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","93","48.190"
"NSW","106","Berowra","0","POSTAL","27974","IND","Independent","WOODWARD","Roger","4","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","100","51.810"
"NSW","106","Berowra","0","POSTAL","41855","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","CLARKE","Brendan Michael","5","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","41","25.310"
"NSW","106","Berowra","0","POSTAL","41855","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","CLARKE","Brendan Michael","5","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","121","74.690"
"NSW","106","Berowra","0","POSTAL","41991","IND","Independent","BROWN","Tina","6","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","338","27.910"
"NSW","106","Berowra","0","POSTAL","41991","IND","Independent","BROWN","Tina","6","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","873","72.090"
"NSW","106","Berowra","0","POSTAL","41697","CYA","Trumpet of Patriots","BASTIAN","Stephen","7","41442","LP","Liberal Party of Australia, NSW Division","LEESER","Julian","8","206","78.330"
"NSW","106","Berowra","0","POSTAL","41697","CYA","Trumpet of Patriots","BASTIAN","Stephen","7","41338","ALP","Australian Labor Party (N.S.W. Branch)","KOSCHINSKI","Benson","3","57","21.670"
