2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","109","Calare","0","ABSENT","0","","","First Preferences","","0","36348","IND","Independent","GEE","Andrew","7","336","47.590"
"NSW","109","Calare","0","ABSENT","0","","","First Preferences","","0","42037","NP","National Party of Australia - N.S.W.","FARRAWAY","Sam","10","370","52.410"
"NSW","109","Calare","0","ABSENT","41902","ON","Pauline Hanson's One Nation","HUGHES","Jennifer","1","36348","IND","Independent","GEE","Andrew","7","117","58.790"
"NSW","109","Calare","0","ABSENT","41902","ON","Pauline Hanson's One Nation","HUGHES","Jennifer","1","42037","NP","National Party of Australia - N.S.W.","FARRAWAY","Sam","10","82","41.210"
"NSW","109","Calare","0","ABSENT","41931","HMP","Legalise Cannabis Australia","RAYE","Sue","2","36348","IND","Independent","GEE","Andrew","7","120","63.160"
"NSW","109","Calare","0","ABSENT","41931","HMP","Legalise Cannabis Australia","RAYE","Sue","2","42037","NP","National Party of Australia - N.S.W.","FARRAWAY","Sam","10","70","36.840"
"NSW","109","Calare","0","ABSENT","35951","IND","Independent","HOOK","Kate","3","36348","IND","Independent","GEE","Andrew","7","202","83.820"
"NSW","109","Calare","0","ABSENT","35951","IND","Independent","HOOK","Kate","3","42037","NP","National Party of Australia - N.S.W.","FARRAWAY","Sam","10","39","16.180"
"NSW","109","Calare","0","ABSENT","41770","CYA","Trumpet of Patriots","O'LEARY","Vicki Elizabeth","4","36348","IND","Independent","GEE","Andrew","7","40","64.520"
"NSW","109","Calare","0","ABSENT","41770","CYA","Trumpet of Patriots","O'LEARY","Vicki Elizabeth","4","42037","NP","National Party of Australia - N.S.W.","FARRAWAY","Sam","10","22","35.480"
