2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","112","Cook","0","ABSENT","0","","","First Preferences","","0","41336","ALP","Australian Labor Party (N.S.W. Branch)","EARLE","Simon","4","883","47.370"
"NSW","112","Cook","0","ABSENT","0","","","First Preferences","","0","41452","LP","Liberal Party of Australia, NSW Division","KENNEDY","Simon","2","981","52.630"
"NSW","112","Cook","0","ABSENT","41788","FFPA","Family First Party Australia","FULLER","Natalie","1","41336","ALP","Australian Labor Party (N.S.W. Branch)","EARLE","Simon","4","56","33.140"
"NSW","112","Cook","0","ABSENT","41788","FFPA","Family First Party Australia","FULLER","Natalie","1","41452","LP","Liberal Party of Australia, NSW Division","KENNEDY","Simon","2","113","66.860"
"NSW","112","Cook","0","ABSENT","41766","CYA","Trumpet of Patriots","HAMMOND","Sharon","3","41452","LP","Liberal Party of Australia, NSW Division","KENNEDY","Simon","2","95","71.970"
"NSW","112","Cook","0","ABSENT","41766","CYA","Trumpet of Patriots","HAMMOND","Sharon","3","41336","ALP","Australian Labor Party (N.S.W. Branch)","EARLE","Simon","4","37","28.030"
"NSW","112","Cook","0","ABSENT","41548","GRN","The Greens NSW","MOORE","Martin","5","41336","ALP","Australian Labor Party (N.S.W. Branch)","EARLE","Simon","4","372","84.160"
"NSW","112","Cook","0","ABSENT","41548","GRN","The Greens NSW","MOORE","Martin","5","41452","LP","Liberal Party of Australia, NSW Division","KENNEDY","Simon","2","70","15.840"
"NSW","112","Cook","0","ABSENT","41913","ON","Pauline Hanson's One Nation","PRESTON","Mark","6","41336","ALP","Australian Labor Party (N.S.W. Branch)","EARLE","Simon","4","50","26.740"
"NSW","112","Cook","0","ABSENT","41913","ON","Pauline Hanson's One Nation","PRESTON","Mark","6","41452","LP","Liberal Party of Australia, NSW Division","KENNEDY","Simon","2","137","73.260"
