2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","114","Cunningham","0","ABSENT","0","","","First Preferences","","0","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","525","34.290"
"NSW","114","Cunningham","0","ABSENT","0","","","First Preferences","","0","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","1006","65.710"
"NSW","114","Cunningham","0","ABSENT","40873","CEC","Australian Citizens Party","GARNAUT-MILLER","Alexis","2","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","35","50.720"
"NSW","114","Cunningham","0","ABSENT","40873","CEC","Australian Citizens Party","GARNAUT-MILLER","Alexis","2","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","34","49.280"
"NSW","114","Cunningham","0","ABSENT","41924","ON","Pauline Hanson's One Nation","FULLER","John","4","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","71","27.840"
"NSW","114","Cunningham","0","ABSENT","41924","ON","Pauline Hanson's One Nation","FULLER","John","4","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","184","72.160"
"NSW","114","Cunningham","0","ABSENT","40878","AJP","Animal Justice Party","LAVERS","Tim","5","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","45","47.870"
"NSW","114","Cunningham","0","ABSENT","40878","AJP","Animal Justice Party","LAVERS","Tim","5","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","49","52.130"
"NSW","114","Cunningham","0","ABSENT","41568","GRN","The Greens NSW","WHITTAKER","Jess","6","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","571","86.780"
"NSW","114","Cunningham","0","ABSENT","41568","GRN","The Greens NSW","WHITTAKER","Jess","6","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","87","13.220"
"NSW","114","Cunningham","0","POSTAL","0","","","First Preferences","","0","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","2625","36.480"
"NSW","114","Cunningham","0","POSTAL","0","","","First Preferences","","0","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","4570","63.520"
"NSW","114","Cunningham","0","POSTAL","40873","CEC","Australian Citizens Party","GARNAUT-MILLER","Alexis","2","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","72","48.000"
"NSW","114","Cunningham","0","POSTAL","40873","CEC","Australian Citizens Party","GARNAUT-MILLER","Alexis","2","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","78","52.000"
"NSW","114","Cunningham","0","POSTAL","41924","ON","Pauline Hanson's One Nation","FULLER","John","4","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","217","26.860"
"NSW","114","Cunningham","0","POSTAL","41924","ON","Pauline Hanson's One Nation","FULLER","John","4","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","591","73.140"
"NSW","114","Cunningham","0","POSTAL","40878","AJP","Animal Justice Party","LAVERS","Tim","5","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","183","63.100"
"NSW","114","Cunningham","0","POSTAL","40878","AJP","Animal Justice Party","LAVERS","Tim","5","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","107","36.900"
"NSW","114","Cunningham","0","POSTAL","41568","GRN","The Greens NSW","WHITTAKER","Jess","6","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","1260","88.980"
"NSW","114","Cunningham","0","POSTAL","41568","GRN","The Greens NSW","WHITTAKER","Jess","6","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","156","11.020"
"NSW","114","Cunningham","0","PRE_POLL","0","","","First Preferences","","0","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","729","36.380"
"NSW","114","Cunningham","0","PRE_POLL","0","","","First Preferences","","0","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","1275","63.620"
"NSW","114","Cunningham","0","PRE_POLL","40873","CEC","Australian Citizens Party","GARNAUT-MILLER","Alexis","2","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","28","42.420"
"NSW","114","Cunningham","0","PRE_POLL","40873","CEC","Australian Citizens Party","GARNAUT-MILLER","Alexis","2","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","38","57.580"
"NSW","114","Cunningham","0","PRE_POLL","41924","ON","Pauline Hanson's One Nation","FULLER","John","4","41343","ALP","Australian Labor Party (N.S.W. Branch)","BYRNES","Alison","1","78","26.800"
"NSW","114","Cunningham","0","PRE_POLL","41924","ON","Pauline Hanson's One Nation","FULLER","John","4","41453","LP","Liberal Party of Australia, NSW Division","IVANEZA","Amanda","3","213","73.200"
