2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","119","Fowler","0","ABSENT","0","","","First Preferences","","0","36240","IND","Independent","LE","Dai","3","506","31.900"
"NSW","119","Fowler","0","ABSENT","0","","","First Preferences","","0","41357","ALP","Australian Labor Party (N.S.W. Branch)","LE","Tu","6","1080","68.100"
"NSW","119","Fowler","0","ABSENT","41806","FFPA","Family First Party Australia","ATHAVLE","Jared","1","41357","ALP","Australian Labor Party (N.S.W. Branch)","LE","Tu","6","60","23.900"
"NSW","119","Fowler","0","ABSENT","41806","FFPA","Family First Party Australia","ATHAVLE","Jared","1","36240","IND","Independent","LE","Dai","3","191","76.100"
"NSW","119","Fowler","0","ABSENT","41641","LTP","Libertarian Party","TEY","Victor","2","41357","ALP","Australian Labor Party (N.S.W. Branch)","LE","Tu","6","19","21.110"
"NSW","119","Fowler","0","ABSENT","41641","LTP","Libertarian Party","TEY","Victor","2","36240","IND","Independent","LE","Dai","3","71","78.890"
"NSW","119","Fowler","0","ABSENT","41556","GRN","The Greens NSW","HOWARD","Avery Jacob","4","41357","ALP","Australian Labor Party (N.S.W. Branch)","LE","Tu","6","256","54.120"
"NSW","119","Fowler","0","ABSENT","41556","GRN","The Greens NSW","HOWARD","Avery Jacob","4","36240","IND","Independent","LE","Dai","3","217","45.880"
"NSW","119","Fowler","0","ABSENT","41956","ON","Pauline Hanson's One Nation","MARGOS","Tony","5","41357","ALP","Australian Labor Party (N.S.W. Branch)","LE","Tu","6","48","25.810"
"NSW","119","Fowler","0","ABSENT","41956","ON","Pauline Hanson's One Nation","MARGOS","Tony","5","36240","IND","Independent","LE","Dai","3","138","74.190"
"NSW","119","Fowler","0","ABSENT","41460","LP","Liberal Party of Australia, NSW Division","SINGHA","Vivek","7","41357","ALP","Australian Labor Party (N.S.W. Branch)","LE","Tu","6","216","40.530"
"NSW","119","Fowler","0","ABSENT","41460","LP","Liberal Party of Australia, NSW Division","SINGHA","Vivek","7","36240","IND","Independent","LE","Dai","3","317","59.470"
"NSW","119","Fowler","0","POSTAL","0","","","First Preferences","","0","41357","ALP","Australian Labor Party (N.S.W. Branch)","LE","Tu","6","3006","53.760"
"NSW","119","Fowler","0","POSTAL","0","","","First Preferences","","0","36240","IND","Independent","LE","Dai","3","2586","46.240"
"NSW","119","Fowler","0","POSTAL","41806","FFPA","Family First Party Australia","ATHAVLE","Jared","1","41357","ALP","Australian Labor Party (N.S.W. Branch)","LE","Tu","6","55","25.230"
"NSW","119","Fowler","0","POSTAL","41806","FFPA","Family First Party Australia","ATHAVLE","Jared","1","36240","IND","Independent","LE","Dai","3","163","74.770"
"NSW","119","Fowler","0","POSTAL","41641","LTP","Libertarian Party","TEY","Victor","2","41357","ALP","Australian Labor Party (N.S.W. Branch)","LE","Tu","6","22","19.640"
"NSW","119","Fowler","0","POSTAL","41641","LTP","Libertarian Party","TEY","Victor","2","36240","IND","Independent","LE","Dai","3","90","80.360"
"NSW","119","Fowler","0","POSTAL","41556","GRN","The Greens NSW","HOWARD","Avery Jacob","4","41357","ALP","Australian Labor Party (N.S.W. Branch)","LE","Tu","6","302","56.030"
"NSW","119","Fowler","0","POSTAL","41556","GRN","The Greens NSW","HOWARD","Avery Jacob","4","36240","IND","Independent","LE","Dai","3","237","43.970"
"NSW","119","Fowler","0","POSTAL","41956","ON","Pauline Hanson's One Nation","MARGOS","Tony","5","36240","IND","Independent","LE","Dai","3","394","77.410"
"NSW","119","Fowler","0","POSTAL","41956","ON","Pauline Hanson's One Nation","MARGOS","Tony","5","41357","ALP","Australian Labor Party (N.S.W. Branch)","LE","Tu","6","115","22.590"
