2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","121","Grayndler","0","ABSENT","0","","","First Preferences","","0","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","1999","60.470"
"NSW","121","Grayndler","0","ABSENT","0","","","First Preferences","","0","41565","GRN","The Greens NSW","THOMAS","Hannah","4","1307","39.530"
"NSW","121","Grayndler","0","ABSENT","41960","ON","Pauline Hanson's One Nation","SMITH","Rodney","1","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","82","46.860"
"NSW","121","Grayndler","0","ABSENT","41960","ON","Pauline Hanson's One Nation","SMITH","Rodney","1","41565","GRN","The Greens NSW","THOMAS","Hannah","4","93","53.140"
"NSW","121","Grayndler","0","ABSENT","41472","LP","Liberal Party of Australia, NSW Division","SMALLBONE","David","2","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","326","56.600"
"NSW","121","Grayndler","0","ABSENT","41472","LP","Liberal Party of Australia, NSW Division","SMALLBONE","David","2","41565","GRN","The Greens NSW","THOMAS","Hannah","4","250","43.400"
"NSW","121","Grayndler","0","ABSENT","41714","CYA","Trumpet of Patriots","BURRELL","Cheri Rae","3","41565","GRN","The Greens NSW","THOMAS","Hannah","4","53","49.530"
"NSW","121","Grayndler","0","ABSENT","41714","CYA","Trumpet of Patriots","BURRELL","Cheri Rae","3","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","54","50.470"
"NSW","121","Grayndler","0","ABSENT","40978","IND","Independent","BRADBURY","David","6","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","58","42.960"
"NSW","121","Grayndler","0","ABSENT","40978","IND","Independent","BRADBURY","David","6","41565","GRN","The Greens NSW","THOMAS","Hannah","4","77","57.040"
"NSW","121","Grayndler","0","POSTAL","0","","","First Preferences","","0","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","4921","73.380"
"NSW","121","Grayndler","0","POSTAL","0","","","First Preferences","","0","41565","GRN","The Greens NSW","THOMAS","Hannah","4","1785","26.620"
"NSW","121","Grayndler","0","POSTAL","41960","ON","Pauline Hanson's One Nation","SMITH","Rodney","1","41565","GRN","The Greens NSW","THOMAS","Hannah","4","157","39.850"
"NSW","121","Grayndler","0","POSTAL","41960","ON","Pauline Hanson's One Nation","SMITH","Rodney","1","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","237","60.150"
"NSW","121","Grayndler","0","POSTAL","41472","LP","Liberal Party of Australia, NSW Division","SMALLBONE","David","2","41565","GRN","The Greens NSW","THOMAS","Hannah","4","707","39.020"
"NSW","121","Grayndler","0","POSTAL","41472","LP","Liberal Party of Australia, NSW Division","SMALLBONE","David","2","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","1105","60.980"
"NSW","121","Grayndler","0","POSTAL","41714","CYA","Trumpet of Patriots","BURRELL","Cheri Rae","3","41565","GRN","The Greens NSW","THOMAS","Hannah","4","69","42.330"
"NSW","121","Grayndler","0","POSTAL","41714","CYA","Trumpet of Patriots","BURRELL","Cheri Rae","3","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","94","57.670"
"NSW","121","Grayndler","0","POSTAL","40978","IND","Independent","BRADBURY","David","6","41565","GRN","The Greens NSW","THOMAS","Hannah","4","143","52.570"
"NSW","121","Grayndler","0","POSTAL","40978","IND","Independent","BRADBURY","David","6","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","129","47.430"
"NSW","121","Grayndler","0","PRE_POLL","0","","","First Preferences","","0","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","2108","65.630"
"NSW","121","Grayndler","0","PRE_POLL","0","","","First Preferences","","0","41565","GRN","The Greens NSW","THOMAS","Hannah","4","1104","34.370"
"NSW","121","Grayndler","0","PRE_POLL","41960","ON","Pauline Hanson's One Nation","SMITH","Rodney","1","41565","GRN","The Greens NSW","THOMAS","Hannah","4","51","41.130"
"NSW","121","Grayndler","0","PRE_POLL","41960","ON","Pauline Hanson's One Nation","SMITH","Rodney","1","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","73","58.870"
"NSW","121","Grayndler","0","PRE_POLL","41472","LP","Liberal Party of Australia, NSW Division","SMALLBONE","David","2","41565","GRN","The Greens NSW","THOMAS","Hannah","4","217","38.680"
"NSW","121","Grayndler","0","PRE_POLL","41472","LP","Liberal Party of Australia, NSW Division","SMALLBONE","David","2","41373","ALP","Australian Labor Party (N.S.W. Branch)","ALBANESE","Anthony","5","344","61.320"
