2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","124","Hughes","0","ABSENT","0","","","First Preferences","","0","41400","ALP","Australian Labor Party (N.S.W. Branch)","MONCRIEFF","David","1","1332","59.540"
"NSW","124","Hughes","0","ABSENT","0","","","First Preferences","","0","41467","LP","Liberal Party of Australia, NSW Division","WARE","Jenny","6","905","40.460"
"NSW","124","Hughes","0","ABSENT","41579","GRN","The Greens NSW","DYSON","Catherine Elizabeth","2","41400","ALP","Australian Labor Party (N.S.W. Branch)","MONCRIEFF","David","1","499","81.540"
"NSW","124","Hughes","0","ABSENT","41579","GRN","The Greens NSW","DYSON","Catherine Elizabeth","2","41467","LP","Liberal Party of Australia, NSW Division","WARE","Jenny","6","113","18.460"
"NSW","124","Hughes","0","ABSENT","41866","LTP","Libertarian Party","SINOSIC","Elvis","3","41400","ALP","Australian Labor Party (N.S.W. Branch)","MONCRIEFF","David","1","30","34.480"
"NSW","124","Hughes","0","ABSENT","41866","LTP","Libertarian Party","SINOSIC","Elvis","3","41467","LP","Liberal Party of Australia, NSW Division","WARE","Jenny","6","57","65.520"
"NSW","124","Hughes","0","ABSENT","41703","CYA","Trumpet of Patriots","SCARFONE","Alex","4","41400","ALP","Australian Labor Party (N.S.W. Branch)","MONCRIEFF","David","1","52","40.000"
"NSW","124","Hughes","0","ABSENT","41703","CYA","Trumpet of Patriots","SCARFONE","Alex","4","41467","LP","Liberal Party of Australia, NSW Division","WARE","Jenny","6","78","60.000"
"NSW","124","Hughes","0","ABSENT","41826","FFPA","Family First Party Australia","MARSH","Nathaniel David","5","41400","ALP","Australian Labor Party (N.S.W. Branch)","MONCRIEFF","David","1","43","39.090"
"NSW","124","Hughes","0","ABSENT","41826","FFPA","Family First Party Australia","MARSH","Nathaniel David","5","41467","LP","Liberal Party of Australia, NSW Division","WARE","Jenny","6","67","60.910"
"NSW","124","Hughes","0","ABSENT","40871","CEC","Australian Citizens Party","MILLER","David A W","7","41467","LP","Liberal Party of Australia, NSW Division","WARE","Jenny","6","18","48.650"
"NSW","124","Hughes","0","ABSENT","40871","CEC","Australian Citizens Party","MILLER","David A W","7","41400","ALP","Australian Labor Party (N.S.W. Branch)","MONCRIEFF","David","1","19","51.350"
"NSW","124","Hughes","0","ABSENT","41962","ON","Pauline Hanson's One Nation","SWINBOURN","Deborah","8","41467","LP","Liberal Party of Australia, NSW Division","WARE","Jenny","6","157","76.210"
"NSW","124","Hughes","0","ABSENT","41962","ON","Pauline Hanson's One Nation","SWINBOURN","Deborah","8","41400","ALP","Australian Labor Party (N.S.W. Branch)","MONCRIEFF","David","1","49","23.790"
"NSW","124","Hughes","0","POSTAL","0","","","First Preferences","","0","41400","ALP","Australian Labor Party (N.S.W. Branch)","MONCRIEFF","David","1","2909","46.140"
"NSW","124","Hughes","0","POSTAL","0","","","First Preferences","","0","41467","LP","Liberal Party of Australia, NSW Division","WARE","Jenny","6","3396","53.860"
