2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","125","Hume","0","ABSENT","0","","","First Preferences","","0","41405","ALP","Australian Labor Party (N.S.W. Branch)","HUANG","Thomas","7","784","40.770"
"NSW","125","Hume","0","ABSENT","0","","","First Preferences","","0","41471","LP","Liberal Party of Australia, NSW Division","TAYLOR","Angus","1","1139","59.230"
"NSW","125","Hume","0","ABSENT","41955","FFPA","Family First Party Australia","SEIDEL","Bryan","2","41405","ALP","Australian Labor Party (N.S.W. Branch)","HUANG","Thomas","7","50","37.880"
"NSW","125","Hume","0","ABSENT","41955","FFPA","Family First Party Australia","SEIDEL","Bryan","2","41471","LP","Liberal Party of Australia, NSW Division","TAYLOR","Angus","1","82","62.120"
"NSW","125","Hume","0","ABSENT","41868","LTP","Libertarian Party","REES","Adrian","3","41471","LP","Liberal Party of Australia, NSW Division","TAYLOR","Angus","1","56","78.870"
"NSW","125","Hume","0","ABSENT","41868","LTP","Libertarian Party","REES","Adrian","3","41405","ALP","Australian Labor Party (N.S.W. Branch)","HUANG","Thomas","7","15","21.130"
"NSW","125","Hume","0","ABSENT","41584","GRN","The Greens NSW","BRUCE","Steve","4","41471","LP","Liberal Party of Australia, NSW Division","TAYLOR","Angus","1","83","20.600"
"NSW","125","Hume","0","ABSENT","41584","GRN","The Greens NSW","BRUCE","Steve","4","41405","ALP","Australian Labor Party (N.S.W. Branch)","HUANG","Thomas","7","320","79.400"
"NSW","125","Hume","0","ABSENT","41966","ON","Pauline Hanson's One Nation","DUCKER","Helen","5","41405","ALP","Australian Labor Party (N.S.W. Branch)","HUANG","Thomas","7","91","32.380"
"NSW","125","Hume","0","ABSENT","41966","ON","Pauline Hanson's One Nation","DUCKER","Helen","5","41471","LP","Liberal Party of Australia, NSW Division","TAYLOR","Angus","1","190","67.620"
"NSW","125","Hume","0","ABSENT","41670","CYA","Trumpet of Patriots","WOZNIAK","Troy","6","41471","LP","Liberal Party of Australia, NSW Division","TAYLOR","Angus","1","75","65.220"
