2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","131","Macarthur","0","ABSENT","0","","","First Preferences","","0","41476","LP","Liberal Party of Australia, NSW Division","PAUDEL","Binod","6","704","34.940"
"NSW","131","Macarthur","0","ABSENT","0","","","First Preferences","","0","41396","ALP","Australian Labor Party (N.S.W. Branch)","FREELANDER","Mike","3","1311","65.060"
"NSW","131","Macarthur","0","ABSENT","41482","GRN","The Greens NSW","SCOTT","Frankie","1","41396","ALP","Australian Labor Party (N.S.W. Branch)","FREELANDER","Mike","3","522","83.390"
"NSW","131","Macarthur","0","ABSENT","41482","GRN","The Greens NSW","SCOTT","Frankie","1","41476","LP","Liberal Party of Australia, NSW Division","PAUDEL","Binod","6","104","16.610"
"NSW","131","Macarthur","0","ABSENT","41864","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","PALMER","Edward","2","41476","LP","Liberal Party of Australia, NSW Division","PAUDEL","Binod","6","29","38.670"
"NSW","131","Macarthur","0","ABSENT","41864","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","PALMER","Edward","2","41396","ALP","Australian Labor Party (N.S.W. Branch)","FREELANDER","Mike","3","46","61.330"
"NSW","131","Macarthur","0","ABSENT","41747","LTP","Libertarian Party","HARVEY","Connie","4","41396","ALP","Australian Labor Party (N.S.W. Branch)","FREELANDER","Mike","3","24","35.290"
"NSW","131","Macarthur","0","ABSENT","41747","LTP","Libertarian Party","HARVEY","Connie","4","41476","LP","Liberal Party of Australia, NSW Division","PAUDEL","Binod","6","44","64.710"
"NSW","131","Macarthur","0","ABSENT","41875","ON","Pauline Hanson's One Nation","GROGAN","Gregory","5","41396","ALP","Australian Labor Party (N.S.W. Branch)","FREELANDER","Mike","3","123","40.200"
"NSW","131","Macarthur","0","ABSENT","41875","ON","Pauline Hanson's One Nation","GROGAN","Gregory","5","41476","LP","Liberal Party of Australia, NSW Division","PAUDEL","Binod","6","183","59.800"
"NSW","131","Macarthur","0","ABSENT","41800","FFPA","Family First Party Australia","CHARLESWORTH","Graham Ernest","7","41396","ALP","Australian Labor Party (N.S.W. Branch)","FREELANDER","Mike","3","89","44.720"
"NSW","131","Macarthur","0","ABSENT","41800","FFPA","Family First Party Australia","CHARLESWORTH","Graham Ernest","7","41476","LP","Liberal Party of Australia, NSW Division","PAUDEL","Binod","6","110","55.280"
"NSW","131","Macarthur","0","POSTAL","0","","","First Preferences","","0","41476","LP","Liberal Party of Australia, NSW Division","PAUDEL","Binod","6","2358","34.390"
"NSW","131","Macarthur","0","POSTAL","0","","","First Preferences","","0","41396","ALP","Australian Labor Party (N.S.W. Branch)","FREELANDER","Mike","3","4498","65.610"
"NSW","131","Macarthur","0","POSTAL","41482","GRN","The Greens NSW","SCOTT","Frankie","1","41396","ALP","Australian Labor Party (N.S.W. Branch)","FREELANDER","Mike","3","824","86.550"
"NSW","131","Macarthur","0","POSTAL","41482","GRN","The Greens NSW","SCOTT","Frankie","1","41476","LP","Liberal Party of Australia, NSW Division","PAUDEL","Binod","6","128","13.450"
"NSW","131","Macarthur","0","POSTAL","41864","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","PALMER","Edward","2","41396","ALP","Australian Labor Party (N.S.W. Branch)","FREELANDER","Mike","3","99","70.710"
"NSW","131","Macarthur","0","POSTAL","41864","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","PALMER","Edward","2","41476","LP","Liberal Party of Australia, NSW Division","PAUDEL","Binod","6","41","29.290"
