2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","135","New England","0","ABSENT","0","","","First Preferences","","0","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","795","64.950"
"NSW","135","New England","0","ABSENT","0","","","First Preferences","","0","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","429","35.050"
"NSW","135","New England","0","ABSENT","41622","GRN","The Greens NSW","WALES","Wendy","2","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","84","28.870"
"NSW","135","New England","0","ABSENT","41622","GRN","The Greens NSW","WALES","Wendy","2","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","207","71.130"
"NSW","135","New England","0","ABSENT","33409","IND","Independent","LEDGER","Natasha","3","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","35","37.630"
"NSW","135","New England","0","ABSENT","33409","IND","Independent","LEDGER","Natasha","3","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","58","62.370"
"NSW","135","New England","0","ABSENT","41805","FFPA","Family First Party Australia","MASTERS","Holly","5","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","71","71.720"
"NSW","135","New England","0","ABSENT","41805","FFPA","Family First Party Australia","MASTERS","Holly","5","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","28","28.280"
"NSW","135","New England","0","ABSENT","41681","CYA","Trumpet of Patriots","JUCHAU","Todd Charles","6","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","25","29.760"
"NSW","135","New England","0","ABSENT","41681","CYA","Trumpet of Patriots","JUCHAU","Todd Charles","6","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","59","70.240"
"NSW","135","New England","0","ABSENT","41894","ON","Pauline Hanson's One Nation","LARKHAM","Brent","7","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","67","26.480"
"NSW","135","New England","0","ABSENT","41894","ON","Pauline Hanson's One Nation","LARKHAM","Brent","7","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","186","73.520"
"NSW","135","New England","0","POSTAL","0","","","First Preferences","","0","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","1437","24.370"
"NSW","135","New England","0","POSTAL","0","","","First Preferences","","0","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","4460","75.630"
"NSW","135","New England","0","POSTAL","41622","GRN","The Greens NSW","WALES","Wendy","2","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","488","86.370"
"NSW","135","New England","0","POSTAL","41622","GRN","The Greens NSW","WALES","Wendy","2","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","77","13.630"
"NSW","135","New England","0","POSTAL","33409","IND","Independent","LEDGER","Natasha","3","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","215","60.220"
"NSW","135","New England","0","POSTAL","33409","IND","Independent","LEDGER","Natasha","3","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","142","39.780"
"NSW","135","New England","0","POSTAL","41805","FFPA","Family First Party Australia","MASTERS","Holly","5","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","45","23.810"
"NSW","135","New England","0","POSTAL","41805","FFPA","Family First Party Australia","MASTERS","Holly","5","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","144","76.190"
"NSW","135","New England","0","POSTAL","41681","CYA","Trumpet of Patriots","JUCHAU","Todd Charles","6","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","74","36.270"
"NSW","135","New England","0","POSTAL","41681","CYA","Trumpet of Patriots","JUCHAU","Todd Charles","6","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","130","63.730"
"NSW","135","New England","0","POSTAL","41894","ON","Pauline Hanson's One Nation","LARKHAM","Brent","7","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","158","20.410"
"NSW","135","New England","0","POSTAL","41894","ON","Pauline Hanson's One Nation","LARKHAM","Brent","7","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","616","79.590"
"NSW","135","New England","0","PRE_POLL","0","","","First Preferences","","0","41945","NP","National Party of Australia - N.S.W.","JOYCE","Barnaby","1","1532","70.180"
"NSW","135","New England","0","PRE_POLL","0","","","First Preferences","","0","41423","ALP","Australian Labor Party (N.S.W. Branch)","HUGHES","Laura","4","651","29.820"
