2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","136","Newcastle","0","ABSENT","0","","","First Preferences","","0","41422","ALP","Australian Labor Party (N.S.W. Branch)","CLAYDON","Sharon","5","1248","59.060"
"NSW","136","Newcastle","0","ABSENT","0","","","First Preferences","","0","41620","GRN","The Greens NSW","McCABE","Charlotte","3","865","40.940"
"NSW","136","Newcastle","0","ABSENT","41695","CYA","Trumpet of Patriots","STEFANAC","Jennifer","1","41422","ALP","Australian Labor Party (N.S.W. Branch)","CLAYDON","Sharon","5","62","32.120"
"NSW","136","Newcastle","0","ABSENT","41695","CYA","Trumpet of Patriots","STEFANAC","Jennifer","1","41620","GRN","The Greens NSW","McCABE","Charlotte","3","131","67.880"
"NSW","136","Newcastle","0","ABSENT","42049","SAL","Socialist Alliance","O'BRIEN","Steve","2","41422","ALP","Australian Labor Party (N.S.W. Branch)","CLAYDON","Sharon","5","19","29.230"
"NSW","136","Newcastle","0","ABSENT","42049","SAL","Socialist Alliance","O'BRIEN","Steve","2","41620","GRN","The Greens NSW","McCABE","Charlotte","3","46","70.770"
"NSW","136","Newcastle","0","ABSENT","41488","LP","Liberal Party of Australia, NSW Division","McPHEE","Asarri","4","41422","ALP","Australian Labor Party (N.S.W. Branch)","CLAYDON","Sharon","5","292","53.680"
"NSW","136","Newcastle","0","ABSENT","41488","LP","Liberal Party of Australia, NSW Division","McPHEE","Asarri","4","41620","GRN","The Greens NSW","McCABE","Charlotte","3","252","46.320"
"NSW","136","Newcastle","0","ABSENT","41807","FFPA","Family First Party Australia","BRIGGS","Jason","6","41620","GRN","The Greens NSW","McCABE","Charlotte","3","42","37.170"
"NSW","136","Newcastle","0","ABSENT","41807","FFPA","Family First Party Australia","BRIGGS","Jason","6","41422","ALP","Australian Labor Party (N.S.W. Branch)","CLAYDON","Sharon","5","71","62.830"
"NSW","136","Newcastle","0","ABSENT","41993","","Non Affiliated","CREECH","Robert","7","41620","GRN","The Greens NSW","McCABE","Charlotte","3","15","39.470"
"NSW","136","Newcastle","0","ABSENT","41993","","Non Affiliated","CREECH","Robert","7","41422","ALP","Australian Labor Party (N.S.W. Branch)","CLAYDON","Sharon","5","23","60.530"
"NSW","136","Newcastle","0","ABSENT","41893","ON","Pauline Hanson's One Nation","HEYNE","Phillip","8","41620","GRN","The Greens NSW","McCABE","Charlotte","3","119","46.480"
"NSW","136","Newcastle","0","ABSENT","41893","ON","Pauline Hanson's One Nation","HEYNE","Phillip","8","41422","ALP","Australian Labor Party (N.S.W. Branch)","CLAYDON","Sharon","5","137","53.520"
"NSW","136","Newcastle","0","POSTAL","0","","","First Preferences","","0","41620","GRN","The Greens NSW","McCABE","Charlotte","3","1416","21.800"
"NSW","136","Newcastle","0","POSTAL","0","","","First Preferences","","0","41422","ALP","Australian Labor Party (N.S.W. Branch)","CLAYDON","Sharon","5","5078","78.200"
"NSW","136","Newcastle","0","POSTAL","41695","CYA","Trumpet of Patriots","STEFANAC","Jennifer","1","41620","GRN","The Greens NSW","McCABE","Charlotte","3","141","44.760"
