2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","144","Reid","0","ABSENT","0","","","First Preferences","","0","41514","LP","Liberal Party of Australia, NSW Division","CHUNG","Grange","2","883","37.700"
"NSW","144","Reid","0","ABSENT","0","","","First Preferences","","0","41434","ALP","Australian Labor Party (N.S.W. Branch)","SITOU","Sally","5","1459","62.300"
"NSW","144","Reid","0","ABSENT","41633","GRN","The Greens NSW","SOMERVILLE","Joanna","1","41514","LP","Liberal Party of Australia, NSW Division","CHUNG","Grange","2","120","17.140"
"NSW","144","Reid","0","ABSENT","41633","GRN","The Greens NSW","SOMERVILLE","Joanna","1","41434","ALP","Australian Labor Party (N.S.W. Branch)","SITOU","Sally","5","580","82.860"
"NSW","144","Reid","0","ABSENT","41693","CYA","Trumpet of Patriots","SARIKAYA","David","3","41434","ALP","Australian Labor Party (N.S.W. Branch)","SITOU","Sally","5","37","34.260"
"NSW","144","Reid","0","ABSENT","41693","CYA","Trumpet of Patriots","SARIKAYA","David","3","41514","LP","Liberal Party of Australia, NSW Division","CHUNG","Grange","2","71","65.740"
"NSW","144","Reid","0","ABSENT","41892","ON","Pauline Hanson's One Nation","INGROUILLE","Gina","4","41434","ALP","Australian Labor Party (N.S.W. Branch)","SITOU","Sally","5","41","31.780"
"NSW","144","Reid","0","ABSENT","41892","ON","Pauline Hanson's One Nation","INGROUILLE","Gina","4","41514","LP","Liberal Party of Australia, NSW Division","CHUNG","Grange","2","88","68.220"
"NSW","144","Reid","0","ABSENT","41975","LTP","Libertarian Party","MEAD","Clinton","6","41434","ALP","Australian Labor Party (N.S.W. Branch)","SITOU","Sally","5","11","16.920"
"NSW","144","Reid","0","ABSENT","41975","LTP","Libertarian Party","MEAD","Clinton","6","41514","LP","Liberal Party of Australia, NSW Division","CHUNG","Grange","2","54","83.080"
"NSW","144","Reid","0","ABSENT","40614","IND","Independent","COMMERFORD","Steven","7","41434","ALP","Australian Labor Party (N.S.W. Branch)","SITOU","Sally","5","93","68.890"
"NSW","144","Reid","0","ABSENT","40614","IND","Independent","COMMERFORD","Steven","7","41514","LP","Liberal Party of Australia, NSW Division","CHUNG","Grange","2","42","31.110"
"NSW","144","Reid","0","POSTAL","0","","","First Preferences","","0","41514","LP","Liberal Party of Australia, NSW Division","CHUNG","Grange","2","4764","42.750"
"NSW","144","Reid","0","POSTAL","0","","","First Preferences","","0","41434","ALP","Australian Labor Party (N.S.W. Branch)","SITOU","Sally","5","6380","57.250"
"NSW","144","Reid","0","POSTAL","41633","GRN","The Greens NSW","SOMERVILLE","Joanna","1","41434","ALP","Australian Labor Party (N.S.W. Branch)","SITOU","Sally","5","1111","86.320"
"NSW","144","Reid","0","POSTAL","41633","GRN","The Greens NSW","SOMERVILLE","Joanna","1","41514","LP","Liberal Party of Australia, NSW Division","CHUNG","Grange","2","176","13.680"
"NSW","144","Reid","0","POSTAL","41693","CYA","Trumpet of Patriots","SARIKAYA","David","3","41434","ALP","Australian Labor Party (N.S.W. Branch)","SITOU","Sally","5","65","29.550"
"NSW","144","Reid","0","POSTAL","41693","CYA","Trumpet of Patriots","SARIKAYA","David","3","41514","LP","Liberal Party of Australia, NSW Division","CHUNG","Grange","2","155","70.450"
