2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","250","Riverina","0","ABSENT","0","","","First Preferences","","0","41445","ALP","Australian Labor Party (N.S.W. Branch)","JEFFRESON","Mark","5","369","40.770"
"NSW","250","Riverina","0","ABSENT","0","","","First Preferences","","0","41954","NP","National Party of Australia - N.S.W.","McCORMACK","Michael","11","536","59.230"
"NSW","250","Riverina","0","ABSENT","41895","ON","Pauline Hanson's One Nation","CRAIG","Mark","1","41445","ALP","Australian Labor Party (N.S.W. Branch)","JEFFRESON","Mark","5","96","33.330"
"NSW","250","Riverina","0","ABSENT","41895","ON","Pauline Hanson's One Nation","CRAIG","Mark","1","41954","NP","National Party of Australia - N.S.W.","McCORMACK","Michael","11","192","66.670"
"NSW","250","Riverina","0","ABSENT","41643","ASP","Shooters, Fishers and Farmers Party","GREGORY","Desiree","2","41445","ALP","Australian Labor Party (N.S.W. Branch)","JEFFRESON","Mark","5","55","37.670"
"NSW","250","Riverina","0","ABSENT","41643","ASP","Shooters, Fishers and Farmers Party","GREGORY","Desiree","2","41954","NP","National Party of Australia - N.S.W.","McCORMACK","Michael","11","91","62.330"
"NSW","250","Riverina","0","ABSENT","41814","FFPA","Family First Party Australia","BURGE","Mark","3","41445","ALP","Australian Labor Party (N.S.W. Branch)","JEFFRESON","Mark","5","31","40.260"
"NSW","250","Riverina","0","ABSENT","41814","FFPA","Family First Party Australia","BURGE","Mark","3","41954","NP","National Party of Australia - N.S.W.","McCORMACK","Michael","11","46","59.740"
"NSW","250","Riverina","0","ABSENT","41977","IND","Independent","BAIKIE","Barbara","4","41954","NP","National Party of Australia - N.S.W.","McCORMACK","Michael","11","16","35.560"
"NSW","250","Riverina","0","ABSENT","41977","IND","Independent","BAIKIE","Barbara","4","41445","ALP","Australian Labor Party (N.S.W. Branch)","JEFFRESON","Mark","5","29","64.440"
