2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","148","Shortland","0","ABSENT","0","","","First Preferences","","0","41545","LP","Liberal Party of Australia, NSW Division","KING","Emma","6","598","32.540"
"NSW","148","Shortland","0","ABSENT","0","","","First Preferences","","0","41347","ALP","Australian Labor Party (N.S.W. Branch)","CONROY","Pat","3","1240","67.460"
"NSW","148","Shortland","0","ABSENT","41861","LTP","Libertarian Party","ROBERTSON","Geoffrey Mark","1","41545","LP","Liberal Party of Australia, NSW Division","KING","Emma","6","46","39.320"
"NSW","148","Shortland","0","ABSENT","41861","LTP","Libertarian Party","ROBERTSON","Geoffrey Mark","1","41347","ALP","Australian Labor Party (N.S.W. Branch)","CONROY","Pat","3","71","60.680"
"NSW","148","Shortland","0","ABSENT","40672","IND","Independent","PHEILS","James","2","41545","LP","Liberal Party of Australia, NSW Division","KING","Emma","6","68","34.170"
"NSW","148","Shortland","0","ABSENT","40672","IND","Independent","PHEILS","James","2","41347","ALP","Australian Labor Party (N.S.W. Branch)","CONROY","Pat","3","131","65.830"
"NSW","148","Shortland","0","ABSENT","41908","ON","Pauline Hanson's One Nation","REED","Barry","4","41545","LP","Liberal Party of Australia, NSW Division","KING","Emma","6","235","61.040"
"NSW","148","Shortland","0","ABSENT","41908","ON","Pauline Hanson's One Nation","REED","Barry","4","41347","ALP","Australian Labor Party (N.S.W. Branch)","CONROY","Pat","3","150","38.960"
"NSW","148","Shortland","0","ABSENT","41825","FFPA","Family First Party Australia","DI GIROLAMO","Pietro","5","41347","ALP","Australian Labor Party (N.S.W. Branch)","CONROY","Pat","3","53","43.800"
"NSW","148","Shortland","0","ABSENT","41825","FFPA","Family First Party Australia","DI GIROLAMO","Pietro","5","41545","LP","Liberal Party of Australia, NSW Division","KING","Emma","6","68","56.200"
"NSW","148","Shortland","0","ABSENT","41632","GRN","The Greens NSW","DOYLE","Therese","7","41347","ALP","Australian Labor Party (N.S.W. Branch)","CONROY","Pat","3","539","78.570"
"NSW","148","Shortland","0","ABSENT","41632","GRN","The Greens NSW","DOYLE","Therese","7","41545","LP","Liberal Party of Australia, NSW Division","KING","Emma","6","147","21.430"
"NSW","148","Shortland","0","POSTAL","0","","","First Preferences","","0","41545","LP","Liberal Party of Australia, NSW Division","KING","Emma","6","3421","36.140"
"NSW","148","Shortland","0","POSTAL","0","","","First Preferences","","0","41347","ALP","Australian Labor Party (N.S.W. Branch)","CONROY","Pat","3","6045","63.860"
"NSW","148","Shortland","0","POSTAL","41861","LTP","Libertarian Party","ROBERTSON","Geoffrey Mark","1","41347","ALP","Australian Labor Party (N.S.W. Branch)","CONROY","Pat","3","72","40.000"
"NSW","148","Shortland","0","POSTAL","41861","LTP","Libertarian Party","ROBERTSON","Geoffrey Mark","1","41545","LP","Liberal Party of Australia, NSW Division","KING","Emma","6","108","60.000"
"NSW","148","Shortland","0","POSTAL","40672","IND","Independent","PHEILS","James","2","41347","ALP","Australian Labor Party (N.S.W. Branch)","CONROY","Pat","3","305","61.870"
"NSW","148","Shortland","0","POSTAL","40672","IND","Independent","PHEILS","James","2","41545","LP","Liberal Party of Australia, NSW Division","KING","Emma","6","188","38.130"
