2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NT","306","Lingiari","0","ABSENT","0","","","First Preferences","","0","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","487","65.020"
"NT","306","Lingiari","0","ABSENT","0","","","First Preferences","","0","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","262","34.980"
"NT","306","Lingiari","0","ABSENT","40635","CEC","Australian Citizens Party","FLYNN","Peter","2","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","23","58.970"
"NT","306","Lingiari","0","ABSENT","40635","CEC","Australian Citizens Party","FLYNN","Peter","2","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","16","41.030"
"NT","306","Lingiari","0","ABSENT","41843","IAP","Indigenous - Aboriginal Party of Australia","TOMLINS","Chris","3","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","60","64.520"
"NT","306","Lingiari","0","ABSENT","41843","IAP","Indigenous - Aboriginal Party of Australia","TOMLINS","Chris","3","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","33","35.480"
"NT","306","Lingiari","0","ABSENT","41151","GRN","Australian Greens","McFARLAND","Blair","4","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","26","22.810"
"NT","306","Lingiari","0","ABSENT","41151","GRN","Australian Greens","McFARLAND","Blair","4","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","88","77.190"
"NT","306","Lingiari","0","ABSENT","41020","ON","Pauline Hanson's One Nation","BAIRAMIS","Sakellarios","5","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","81","77.880"
"NT","306","Lingiari","0","ABSENT","41020","ON","Pauline Hanson's One Nation","BAIRAMIS","Sakellarios","5","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","23","22.120"
"NT","306","Lingiari","0","POSTAL","0","","","First Preferences","","0","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","736","65.890"
"NT","306","Lingiari","0","POSTAL","0","","","First Preferences","","0","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","381","34.110"
"NT","306","Lingiari","0","POSTAL","40635","CEC","Australian Citizens Party","FLYNN","Peter","2","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","29","69.050"
"NT","306","Lingiari","0","POSTAL","40635","CEC","Australian Citizens Party","FLYNN","Peter","2","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","13","30.950"
"NT","306","Lingiari","0","POSTAL","41843","IAP","Indigenous - Aboriginal Party of Australia","TOMLINS","Chris","3","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","9","34.620"
"NT","306","Lingiari","0","POSTAL","41843","IAP","Indigenous - Aboriginal Party of Australia","TOMLINS","Chris","3","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","17","65.380"
"NT","306","Lingiari","0","POSTAL","41151","GRN","Australian Greens","McFARLAND","Blair","4","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","24","13.260"
"NT","306","Lingiari","0","POSTAL","41151","GRN","Australian Greens","McFARLAND","Blair","4","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","157","86.740"
"NT","306","Lingiari","0","POSTAL","41020","ON","Pauline Hanson's One Nation","BAIRAMIS","Sakellarios","5","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","168","82.350"
"NT","306","Lingiari","0","POSTAL","41020","ON","Pauline Hanson's One Nation","BAIRAMIS","Sakellarios","5","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","36","17.650"
"NT","306","Lingiari","0","PRE_POLL","0","","","First Preferences","","0","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","723","45.850"
"NT","306","Lingiari","0","PRE_POLL","0","","","First Preferences","","0","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","854","54.150"
"NT","306","Lingiari","0","PRE_POLL","40635","CEC","Australian Citizens Party","FLYNN","Peter","2","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","42","55.260"
"NT","306","Lingiari","0","PRE_POLL","40635","CEC","Australian Citizens Party","FLYNN","Peter","2","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","34","44.740"
"NT","306","Lingiari","0","PRE_POLL","41843","IAP","Indigenous - Aboriginal Party of Australia","TOMLINS","Chris","3","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","38","31.670"
"NT","306","Lingiari","0","PRE_POLL","41843","IAP","Indigenous - Aboriginal Party of Australia","TOMLINS","Chris","3","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","82","68.330"
"NT","306","Lingiari","0","PRE_POLL","41151","GRN","Australian Greens","McFARLAND","Blair","4","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","54","13.370"
"NT","306","Lingiari","0","PRE_POLL","41151","GRN","Australian Greens","McFARLAND","Blair","4","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","350","86.630"
"NT","306","Lingiari","0","PRE_POLL","41020","ON","Pauline Hanson's One Nation","BAIRAMIS","Sakellarios","5","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","270","81.820"
"NT","306","Lingiari","0","PRE_POLL","41020","ON","Pauline Hanson's One Nation","BAIRAMIS","Sakellarios","5","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","60","18.180"
"NT","306","Lingiari","0","PROVISIONAL","0","","","First Preferences","","0","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","34","61.820"
"NT","306","Lingiari","0","PROVISIONAL","0","","","First Preferences","","0","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","21","38.180"
"NT","306","Lingiari","0","PROVISIONAL","40635","CEC","Australian Citizens Party","FLYNN","Peter","2","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","1","100.000"
"NT","306","Lingiari","0","PROVISIONAL","40635","CEC","Australian Citizens Party","FLYNN","Peter","2","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","0","0.000"
"NT","306","Lingiari","0","PROVISIONAL","41843","IAP","Indigenous - Aboriginal Party of Australia","TOMLINS","Chris","3","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","3","75.000"
"NT","306","Lingiari","0","PROVISIONAL","41843","IAP","Indigenous - Aboriginal Party of Australia","TOMLINS","Chris","3","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","1","25.000"
"NT","306","Lingiari","0","PROVISIONAL","41151","GRN","Australian Greens","McFARLAND","Blair","4","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","0","0.000"
"NT","306","Lingiari","0","PROVISIONAL","41151","GRN","Australian Greens","McFARLAND","Blair","4","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","6","100.000"
"NT","306","Lingiari","0","PROVISIONAL","41020","ON","Pauline Hanson's One Nation","BAIRAMIS","Sakellarios","5","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","3","100.000"
"NT","306","Lingiari","0","PROVISIONAL","41020","ON","Pauline Hanson's One Nation","BAIRAMIS","Sakellarios","5","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","0","0.000"
"NT","306","Lingiari","8701","Alice Springs","0","","","First Preferences","","0","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","401","58.630"
"NT","306","Lingiari","8701","Alice Springs","0","","","First Preferences","","0","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","283","41.370"
"NT","306","Lingiari","8701","Alice Springs","40635","CEC","Australian Citizens Party","FLYNN","Peter","2","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","6","31.580"
"NT","306","Lingiari","8701","Alice Springs","40635","CEC","Australian Citizens Party","FLYNN","Peter","2","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","13","68.420"
"NT","306","Lingiari","8701","Alice Springs","41843","IAP","Indigenous - Aboriginal Party of Australia","TOMLINS","Chris","3","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","45","93.750"
"NT","306","Lingiari","8701","Alice Springs","41843","IAP","Indigenous - Aboriginal Party of Australia","TOMLINS","Chris","3","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","3","6.250"
"NT","306","Lingiari","8701","Alice Springs","41151","GRN","Australian Greens","McFARLAND","Blair","4","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","28","11.160"
"NT","306","Lingiari","8701","Alice Springs","41151","GRN","Australian Greens","McFARLAND","Blair","4","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","223","88.840"
"NT","306","Lingiari","8701","Alice Springs","41020","ON","Pauline Hanson's One Nation","BAIRAMIS","Sakellarios","5","41011","ALP","Australian Labor Party (Northern Territory) Branch","SCRYMGOUR","Marion","1","14","18.920"
"NT","306","Lingiari","8701","Alice Springs","41020","ON","Pauline Hanson's One Nation","BAIRAMIS","Sakellarios","5","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","60","81.080"
"NT","306","Lingiari","8706","Berry Springs","0","","","First Preferences","","0","41126","CLP","Country Liberal Party (NT)","SIEBERT","Lisa","6","180","60.200"
