2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","156","Brisbane","0","ABSENT","0","","","First Preferences","","0","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","1415","46.890"
"QLD","156","Brisbane","0","ABSENT","0","","","First Preferences","","0","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","1603","53.110"
"QLD","156","Brisbane","0","ABSENT","40933","ON","Pauline Hanson's One Nation","WOOD","Cheryl","1","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","137","70.260"
"QLD","156","Brisbane","0","ABSENT","40933","ON","Pauline Hanson's One Nation","WOOD","Cheryl","1","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","58","29.740"
"QLD","156","Brisbane","0","ABSENT","40884","FFPA","Family First Party Australia","SANDS","Kirsten","3","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","33","50.770"
"QLD","156","Brisbane","0","ABSENT","40884","FFPA","Family First Party Australia","SANDS","Kirsten","3","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","32","49.230"
"QLD","156","Brisbane","0","ABSENT","41268","GRN","Queensland Greens","BATES","Stephen","4","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","1409","90.730"
"QLD","156","Brisbane","0","ABSENT","41268","GRN","Queensland Greens","BATES","Stephen","4","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","144","9.270"
"QLD","156","Brisbane","0","ABSENT","41335","CYA","Trumpet of Patriots","THIELE","Brian William","6","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","41","34.450"
"QLD","156","Brisbane","0","ABSENT","41335","CYA","Trumpet of Patriots","THIELE","Brian William","6","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","78","65.550"
"QLD","156","Brisbane","0","ABSENT","40964","GRPF","Gerard Rennick People First","WHEELER","Joseph","7","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","48","32.210"
"QLD","156","Brisbane","0","ABSENT","40964","GRPF","Gerard Rennick People First","WHEELER","Joseph","7","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","101","67.790"
"QLD","156","Brisbane","0","ABSENT","40685","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","BLACKWOOD","Rachael","8","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","45","64.290"
"QLD","156","Brisbane","0","ABSENT","40685","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","BLACKWOOD","Rachael","8","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","25","35.710"
"QLD","156","Brisbane","0","POSTAL","0","","","First Preferences","","0","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","6471","41.620"
"QLD","156","Brisbane","0","POSTAL","0","","","First Preferences","","0","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","9075","58.380"
"QLD","156","Brisbane","0","POSTAL","40933","ON","Pauline Hanson's One Nation","WOOD","Cheryl","1","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","137","24.770"
"QLD","156","Brisbane","0","POSTAL","40933","ON","Pauline Hanson's One Nation","WOOD","Cheryl","1","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","416","75.230"
"QLD","156","Brisbane","0","POSTAL","40884","FFPA","Family First Party Australia","SANDS","Kirsten","3","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","56","33.140"
"QLD","156","Brisbane","0","POSTAL","40884","FFPA","Family First Party Australia","SANDS","Kirsten","3","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","113","66.860"
"QLD","156","Brisbane","0","POSTAL","41268","GRN","Queensland Greens","BATES","Stephen","4","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","3558","91.560"
"QLD","156","Brisbane","0","POSTAL","41268","GRN","Queensland Greens","BATES","Stephen","4","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","328","8.440"
"QLD","156","Brisbane","0","POSTAL","41335","CYA","Trumpet of Patriots","THIELE","Brian William","6","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","67","25.000"
"QLD","156","Brisbane","0","POSTAL","41335","CYA","Trumpet of Patriots","THIELE","Brian William","6","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","201","75.000"
"QLD","156","Brisbane","0","POSTAL","40964","GRPF","Gerard Rennick People First","WHEELER","Joseph","7","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","89","25.500"
"QLD","156","Brisbane","0","POSTAL","40964","GRPF","Gerard Rennick People First","WHEELER","Joseph","7","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","260","74.500"
"QLD","156","Brisbane","0","POSTAL","40685","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","BLACKWOOD","Rachael","8","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","164","73.210"
"QLD","156","Brisbane","0","POSTAL","40685","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","BLACKWOOD","Rachael","8","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","60","26.790"
"QLD","156","Brisbane","0","PRE_POLL","0","","","First Preferences","","0","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","2024","50.360"
"QLD","156","Brisbane","0","PRE_POLL","0","","","First Preferences","","0","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","1995","49.640"
"QLD","156","Brisbane","0","PRE_POLL","40933","ON","Pauline Hanson's One Nation","WOOD","Cheryl","1","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","95","37.700"
"QLD","156","Brisbane","0","PRE_POLL","40933","ON","Pauline Hanson's One Nation","WOOD","Cheryl","1","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","157","62.300"
"QLD","156","Brisbane","0","PRE_POLL","40884","FFPA","Family First Party Australia","SANDS","Kirsten","3","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","23","40.350"
"QLD","156","Brisbane","0","PRE_POLL","40884","FFPA","Family First Party Australia","SANDS","Kirsten","3","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","34","59.650"
"QLD","156","Brisbane","0","PRE_POLL","41268","GRN","Queensland Greens","BATES","Stephen","4","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","1585","91.780"
"QLD","156","Brisbane","0","PRE_POLL","41268","GRN","Queensland Greens","BATES","Stephen","4","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","142","8.220"
"QLD","156","Brisbane","0","PRE_POLL","41335","CYA","Trumpet of Patriots","THIELE","Brian William","6","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","29","29.290"
"QLD","156","Brisbane","0","PRE_POLL","41335","CYA","Trumpet of Patriots","THIELE","Brian William","6","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","70","70.710"
"QLD","156","Brisbane","0","PRE_POLL","40964","GRPF","Gerard Rennick People First","WHEELER","Joseph","7","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","58","36.710"
"QLD","156","Brisbane","0","PRE_POLL","40964","GRPF","Gerard Rennick People First","WHEELER","Joseph","7","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","100","63.290"
"QLD","156","Brisbane","0","PRE_POLL","40685","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","BLACKWOOD","Rachael","8","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","51","73.910"
"QLD","156","Brisbane","0","PRE_POLL","40685","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","BLACKWOOD","Rachael","8","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","18","26.090"
"QLD","156","Brisbane","0","PROVISIONAL","0","","","First Preferences","","0","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","134","60.630"
"QLD","156","Brisbane","0","PROVISIONAL","0","","","First Preferences","","0","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","87","39.370"
"QLD","156","Brisbane","0","PROVISIONAL","40933","ON","Pauline Hanson's One Nation","WOOD","Cheryl","1","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","4","44.440"
"QLD","156","Brisbane","0","PROVISIONAL","40933","ON","Pauline Hanson's One Nation","WOOD","Cheryl","1","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","5","55.560"
"QLD","156","Brisbane","0","PROVISIONAL","40884","FFPA","Family First Party Australia","SANDS","Kirsten","3","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","1","50.000"
"QLD","156","Brisbane","0","PROVISIONAL","40884","FFPA","Family First Party Australia","SANDS","Kirsten","3","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","1","50.000"
"QLD","156","Brisbane","0","PROVISIONAL","41268","GRN","Queensland Greens","BATES","Stephen","4","40731","ALP","Australian Labor Party (State of Queensland)","JARRETT","Madonna","2","104","92.040"
"QLD","156","Brisbane","0","PROVISIONAL","41268","GRN","Queensland Greens","BATES","Stephen","4","41215","LNP","Liberal National Party of Queensland","EVANS","Trevor","5","9","7.960"
