2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","311","Flynn","0","ABSENT","0","","","First Preferences","","0","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","607","42.930"
"QLD","311","Flynn","0","ABSENT","0","","","First Preferences","","0","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","807","57.070"
"QLD","311","Flynn","0","ABSENT","40615","IND","Independent","ANDERSON","John","1","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","88","71.540"
"QLD","311","Flynn","0","ABSENT","40615","IND","Independent","ANDERSON","John","1","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","35","28.460"
"QLD","311","Flynn","0","ABSENT","41337","CYA","Trumpet of Patriots","ZUNKER","Peter","3","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","68","39.080"
"QLD","311","Flynn","0","ABSENT","41337","CYA","Trumpet of Patriots","ZUNKER","Peter","3","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","106","60.920"
"QLD","311","Flynn","0","ABSENT","40888","FFPA","Family First Party Australia","DORIAN","Peter","4","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","39","44.830"
"QLD","311","Flynn","0","ABSENT","40888","FFPA","Family First Party Australia","DORIAN","Peter","4","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","48","55.170"
"QLD","311","Flynn","0","ABSENT","41284","GRN","Queensland Greens","BAMBRICK","Paul","5","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","54","22.880"
"QLD","311","Flynn","0","ABSENT","41284","GRN","Queensland Greens","BAMBRICK","Paul","5","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","182","77.120"
"QLD","311","Flynn","0","ABSENT","40966","GRPF","Gerard Rennick People First","PRICE","Lance","6","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","128","75.290"
"QLD","311","Flynn","0","ABSENT","40966","GRPF","Gerard Rennick People First","PRICE","Lance","6","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","42","24.710"
"QLD","311","Flynn","0","ABSENT","17322","IND","Independent","SCOTT","Duncan","7","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","32","52.460"
"QLD","311","Flynn","0","ABSENT","17322","IND","Independent","SCOTT","Duncan","7","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","29","47.540"
"QLD","311","Flynn","0","ABSENT","40934","ON","Pauline Hanson's One Nation","HARRIS","David","9","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","340","70.980"
"QLD","311","Flynn","0","ABSENT","40934","ON","Pauline Hanson's One Nation","HARRIS","David","9","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","139","29.020"
"QLD","311","Flynn","0","POSTAL","0","","","First Preferences","","0","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","6562","72.480"
"QLD","311","Flynn","0","POSTAL","0","","","First Preferences","","0","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","2492","27.520"
"QLD","311","Flynn","0","POSTAL","40615","IND","Independent","ANDERSON","John","1","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","148","43.660"
"QLD","311","Flynn","0","POSTAL","40615","IND","Independent","ANDERSON","John","1","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","191","56.340"
"QLD","311","Flynn","0","POSTAL","41337","CYA","Trumpet of Patriots","ZUNKER","Peter","3","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","270","68.700"
"QLD","311","Flynn","0","POSTAL","41337","CYA","Trumpet of Patriots","ZUNKER","Peter","3","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","123","31.300"
"QLD","311","Flynn","0","POSTAL","40888","FFPA","Family First Party Australia","DORIAN","Peter","4","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","174","69.050"
"QLD","311","Flynn","0","POSTAL","40888","FFPA","Family First Party Australia","DORIAN","Peter","4","40774","ALP","Australian Labor Party (State of Queensland)","MADELL","Helen","2","78","30.950"
"QLD","311","Flynn","0","POSTAL","41284","GRN","Queensland Greens","BAMBRICK","Paul","5","41161","LNP","Liberal National Party of Queensland","BOYCE","Colin","8","75","16.850"
