2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","166","Hinkler","0","ABSENT","0","","","First Preferences","","0","40751","ALP","Australian Labor Party (State of Queensland)","MEARS","Trish","4","416","47.060"
"QLD","166","Hinkler","0","ABSENT","0","","","First Preferences","","0","41182","LNP","Liberal National Party of Queensland","BATT","David","2","468","52.940"
"QLD","166","Hinkler","0","ABSENT","41249","GRN","Queensland Greens","McLEAN","Andrew","1","40751","ALP","Australian Labor Party (State of Queensland)","MEARS","Trish","4","147","67.120"
"QLD","166","Hinkler","0","ABSENT","41249","GRN","Queensland Greens","McLEAN","Andrew","1","41182","LNP","Liberal National Party of Queensland","BATT","David","2","72","32.880"
"QLD","166","Hinkler","0","ABSENT","41667","IND","Independent","O'BRIEN","Michael","3","40751","ALP","Australian Labor Party (State of Queensland)","MEARS","Trish","4","43","50.590"
"QLD","166","Hinkler","0","ABSENT","41667","IND","Independent","O'BRIEN","Michael","3","41182","LNP","Liberal National Party of Queensland","BATT","David","2","42","49.410"
"QLD","166","Hinkler","0","ABSENT","40902","FFPA","Family First Party Australia","PETRUS","Kerry","5","41182","LNP","Liberal National Party of Queensland","BATT","David","2","70","62.500"
"QLD","166","Hinkler","0","ABSENT","40902","FFPA","Family First Party Australia","PETRUS","Kerry","5","40751","ALP","Australian Labor Party (State of Queensland)","MEARS","Trish","4","42","37.500"
"QLD","166","Hinkler","0","ABSENT","40948","ON","Pauline Hanson's One Nation","CARMAN","Tyler","6","41182","LNP","Liberal National Party of Queensland","BATT","David","2","223","72.640"
"QLD","166","Hinkler","0","ABSENT","40948","ON","Pauline Hanson's One Nation","CARMAN","Tyler","6","40751","ALP","Australian Labor Party (State of Queensland)","MEARS","Trish","4","84","27.360"
"QLD","166","Hinkler","0","ABSENT","41360","CYA","Trumpet of Patriots","BLOHBERGER","Robert","7","41182","LNP","Liberal National Party of Queensland","BATT","David","2","61","61.620"
