2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","168","Leichhardt","0","ABSENT","0","","","First Preferences","","0","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","473","61.110"
"QLD","168","Leichhardt","0","ABSENT","0","","","First Preferences","","0","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","301","38.890"
"QLD","168","Leichhardt","0","ABSENT","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","136","68.690"
"QLD","168","Leichhardt","0","ABSENT","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","62","31.310"
"QLD","168","Leichhardt","0","ABSENT","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","40","29.850"
"QLD","168","Leichhardt","0","ABSENT","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","94","70.150"
"QLD","168","Leichhardt","0","ABSENT","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","9","36.000"
"QLD","168","Leichhardt","0","ABSENT","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","16","64.000"
"QLD","168","Leichhardt","0","ABSENT","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","92","61.330"
"QLD","168","Leichhardt","0","ABSENT","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","58","38.670"
"QLD","168","Leichhardt","0","ABSENT","40903","FFPA","Family First Party Australia","SEARLE","Les","6","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","25","39.060"
"QLD","168","Leichhardt","0","ABSENT","40903","FFPA","Family First Party Australia","SEARLE","Les","6","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","39","60.940"
"QLD","168","Leichhardt","0","ABSENT","40621","IND","Independent","MILLER","Norman","8","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","16","50.000"
"QLD","168","Leichhardt","0","ABSENT","40621","IND","Independent","MILLER","Norman","8","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","16","50.000"
"QLD","168","Leichhardt","0","ABSENT","41258","GRN","Queensland Greens","MUSUMECI","Phillip","9","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","36","16.000"
"QLD","168","Leichhardt","0","ABSENT","41258","GRN","Queensland Greens","MUSUMECI","Phillip","9","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","189","84.000"
"QLD","168","Leichhardt","0","ABSENT","41374","CYA","Trumpet of Patriots","DOWLING","Greg Ian","10","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","28","53.850"
"QLD","168","Leichhardt","0","ABSENT","41374","CYA","Trumpet of Patriots","DOWLING","Greg Ian","10","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","24","46.150"
"QLD","168","Leichhardt","0","POSTAL","0","","","First Preferences","","0","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","3484","50.130"
"QLD","168","Leichhardt","0","POSTAL","0","","","First Preferences","","0","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","3466","49.870"
"QLD","168","Leichhardt","0","POSTAL","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","108","30.770"
"QLD","168","Leichhardt","0","POSTAL","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","243","69.230"
"QLD","168","Leichhardt","0","POSTAL","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","660","75.090"
"QLD","168","Leichhardt","0","POSTAL","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","219","24.910"
"QLD","168","Leichhardt","0","POSTAL","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","51","76.120"
"QLD","168","Leichhardt","0","POSTAL","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","16","23.880"
"QLD","168","Leichhardt","0","POSTAL","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","440","66.270"
"QLD","168","Leichhardt","0","POSTAL","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","224","33.730"
"QLD","168","Leichhardt","0","POSTAL","40903","FFPA","Family First Party Australia","SEARLE","Les","6","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","127","72.160"
"QLD","168","Leichhardt","0","POSTAL","40903","FFPA","Family First Party Australia","SEARLE","Les","6","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","49","27.840"
"QLD","168","Leichhardt","0","POSTAL","40621","IND","Independent","MILLER","Norman","8","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","70","46.050"
"QLD","168","Leichhardt","0","POSTAL","40621","IND","Independent","MILLER","Norman","8","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","82","53.950"
"QLD","168","Leichhardt","0","POSTAL","41258","GRN","Queensland Greens","MUSUMECI","Phillip","9","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","88","10.960"
"QLD","168","Leichhardt","0","POSTAL","41258","GRN","Queensland Greens","MUSUMECI","Phillip","9","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","715","89.040"
"QLD","168","Leichhardt","0","POSTAL","41374","CYA","Trumpet of Patriots","DOWLING","Greg Ian","10","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","172","65.150"
"QLD","168","Leichhardt","0","POSTAL","41374","CYA","Trumpet of Patriots","DOWLING","Greg Ian","10","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","92","34.850"
"QLD","168","Leichhardt","0","PRE_POLL","0","","","First Preferences","","0","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","1244","58.320"
"QLD","168","Leichhardt","0","PRE_POLL","0","","","First Preferences","","0","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","889","41.680"
"QLD","168","Leichhardt","0","PRE_POLL","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","73","32.590"
"QLD","168","Leichhardt","0","PRE_POLL","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","151","67.410"
"QLD","168","Leichhardt","0","PRE_POLL","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","288","77.630"
"QLD","168","Leichhardt","0","PRE_POLL","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","83","22.370"
"QLD","168","Leichhardt","0","PRE_POLL","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","50","64.100"
"QLD","168","Leichhardt","0","PRE_POLL","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","28","35.900"
"QLD","168","Leichhardt","0","PRE_POLL","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","157","64.080"
"QLD","168","Leichhardt","0","PRE_POLL","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","88","35.920"
"QLD","168","Leichhardt","0","PRE_POLL","40903","FFPA","Family First Party Australia","SEARLE","Les","6","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","29","53.700"
"QLD","168","Leichhardt","0","PRE_POLL","40903","FFPA","Family First Party Australia","SEARLE","Les","6","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","25","46.300"
"QLD","168","Leichhardt","0","PRE_POLL","40621","IND","Independent","MILLER","Norman","8","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","29","40.850"
"QLD","168","Leichhardt","0","PRE_POLL","40621","IND","Independent","MILLER","Norman","8","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","42","59.150"
"QLD","168","Leichhardt","0","PRE_POLL","41258","GRN","Queensland Greens","MUSUMECI","Phillip","9","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","54","11.270"
"QLD","168","Leichhardt","0","PRE_POLL","41258","GRN","Queensland Greens","MUSUMECI","Phillip","9","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","425","88.730"
"QLD","168","Leichhardt","0","PRE_POLL","41374","CYA","Trumpet of Patriots","DOWLING","Greg Ian","10","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","64","57.660"
"QLD","168","Leichhardt","0","PRE_POLL","41374","CYA","Trumpet of Patriots","DOWLING","Greg Ian","10","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","47","42.340"
"QLD","168","Leichhardt","0","PROVISIONAL","0","","","First Preferences","","0","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","30","28.300"
"QLD","168","Leichhardt","0","PROVISIONAL","0","","","First Preferences","","0","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","76","71.700"
"QLD","168","Leichhardt","0","PROVISIONAL","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","1","6.670"
"QLD","168","Leichhardt","0","PROVISIONAL","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","14","93.330"
"QLD","168","Leichhardt","0","PROVISIONAL","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","4","50.000"
"QLD","168","Leichhardt","0","PROVISIONAL","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","4","50.000"
"QLD","168","Leichhardt","0","PROVISIONAL","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","2","66.670"
"QLD","168","Leichhardt","0","PROVISIONAL","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","1","33.330"
"QLD","168","Leichhardt","0","PROVISIONAL","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","12","63.160"
"QLD","168","Leichhardt","0","PROVISIONAL","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","7","36.840"
"QLD","168","Leichhardt","0","PROVISIONAL","40903","FFPA","Family First Party Australia","SEARLE","Les","6","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","3","50.000"
"QLD","168","Leichhardt","0","PROVISIONAL","40903","FFPA","Family First Party Australia","SEARLE","Les","6","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","3","50.000"
"QLD","168","Leichhardt","0","PROVISIONAL","40621","IND","Independent","MILLER","Norman","8","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","4","66.670"
"QLD","168","Leichhardt","0","PROVISIONAL","40621","IND","Independent","MILLER","Norman","8","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","2","33.330"
"QLD","168","Leichhardt","0","PROVISIONAL","41258","GRN","Queensland Greens","MUSUMECI","Phillip","9","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","6","25.000"
"QLD","168","Leichhardt","0","PROVISIONAL","41258","GRN","Queensland Greens","MUSUMECI","Phillip","9","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","18","75.000"
"QLD","168","Leichhardt","0","PROVISIONAL","41374","CYA","Trumpet of Patriots","DOWLING","Greg Ian","10","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","0","0.000"
"QLD","168","Leichhardt","0","PROVISIONAL","41374","CYA","Trumpet of Patriots","DOWLING","Greg Ian","10","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","2","100.000"
"QLD","168","Leichhardt","5926","Mooroobool","0","","","First Preferences","","0","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","398","64.510"
"QLD","168","Leichhardt","5926","Mooroobool","0","","","First Preferences","","0","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","219","35.490"
"QLD","168","Leichhardt","5926","Mooroobool","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","26","30.590"
"QLD","168","Leichhardt","5926","Mooroobool","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","59","69.410"
"QLD","168","Leichhardt","5926","Mooroobool","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","58","80.560"
"QLD","168","Leichhardt","5926","Mooroobool","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","14","19.440"
"QLD","168","Leichhardt","5926","Mooroobool","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","9","75.000"
"QLD","168","Leichhardt","5926","Mooroobool","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","3","25.000"
"QLD","168","Leichhardt","5926","Mooroobool","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","27","61.360"
"QLD","168","Leichhardt","5926","Mooroobool","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","17","38.640"
"QLD","168","Leichhardt","5926","Mooroobool","40903","FFPA","Family First Party Australia","SEARLE","Les","6","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","21","70.000"
"QLD","168","Leichhardt","5926","Mooroobool","40903","FFPA","Family First Party Australia","SEARLE","Les","6","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","9","30.000"
"QLD","168","Leichhardt","5926","Mooroobool","40621","IND","Independent","MILLER","Norman","8","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","10","34.480"
"QLD","168","Leichhardt","5926","Mooroobool","40621","IND","Independent","MILLER","Norman","8","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","19","65.520"
"QLD","168","Leichhardt","5926","Mooroobool","41258","GRN","Queensland Greens","MUSUMECI","Phillip","9","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","11","9.820"
"QLD","168","Leichhardt","5926","Mooroobool","41258","GRN","Queensland Greens","MUSUMECI","Phillip","9","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","101","90.180"
"QLD","168","Leichhardt","5926","Mooroobool","41374","CYA","Trumpet of Patriots","DOWLING","Greg Ian","10","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","18","78.260"
"QLD","168","Leichhardt","5926","Mooroobool","41374","CYA","Trumpet of Patriots","DOWLING","Greg Ian","10","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","5","21.740"
"QLD","168","Leichhardt","5927","Bamaga","0","","","First Preferences","","0","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","26","12.320"
"QLD","168","Leichhardt","5927","Bamaga","0","","","First Preferences","","0","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","185","87.680"
"QLD","168","Leichhardt","5927","Bamaga","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","7","25.930"
"QLD","168","Leichhardt","5927","Bamaga","40935","HMP","Legalise Cannabis Australia","DANIELS","Nicholas James Nigel","1","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","20","74.070"
"QLD","168","Leichhardt","5927","Bamaga","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","8","61.540"
"QLD","168","Leichhardt","5927","Bamaga","40953","ON","Pauline Hanson's One Nation","HICKS","Robert","2","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","5","38.460"
"QLD","168","Leichhardt","5927","Bamaga","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","1","25.000"
"QLD","168","Leichhardt","5927","Bamaga","42026","LTP","Libertarian Party","RUSSELL","Lloyd","3","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","3","75.000"
"QLD","168","Leichhardt","5927","Bamaga","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","2","33.330"
"QLD","168","Leichhardt","5927","Bamaga","41835","KAP","Katter's Australian Party (KAP)","COLLINS","Daniel","4","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","4","66.670"
"QLD","168","Leichhardt","5927","Bamaga","40903","FFPA","Family First Party Australia","SEARLE","Les","6","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","9","56.250"
"QLD","168","Leichhardt","5927","Bamaga","40903","FFPA","Family First Party Australia","SEARLE","Les","6","40771","ALP","Australian Labor Party (State of Queensland)","SMITH","Matt","5","7","43.750"
"QLD","168","Leichhardt","5927","Bamaga","40621","IND","Independent","MILLER","Norman","8","41187","LNP","Liberal National Party of Queensland","NEAL","Jeremy","7","0","0.000"
