2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","170","Maranoa","0","ABSENT","0","","","First Preferences","","0","41037","ON","Pauline Hanson's One Nation","DUNCAN","Sharon","8","335","24.190"
"QLD","170","Maranoa","0","ABSENT","0","","","First Preferences","","0","41162","LNP","Liberal National Party of Queensland","LITTLEPROUD","David","2","1050","75.810"
"QLD","170","Maranoa","0","ABSENT","40975","GRPF","Gerard Rennick People First","DRAPER","Rod","1","41037","ON","Pauline Hanson's One Nation","DUNCAN","Sharon","8","117","62.570"
"QLD","170","Maranoa","0","ABSENT","40975","GRPF","Gerard Rennick People First","DRAPER","Rod","1","41162","LNP","Liberal National Party of Queensland","LITTLEPROUD","David","2","70","37.430"
"QLD","170","Maranoa","0","ABSENT","41274","GRN","Queensland Greens","JOHNSTON","Elizabeth","3","41037","ON","Pauline Hanson's One Nation","DUNCAN","Sharon","8","100","43.860"
"QLD","170","Maranoa","0","ABSENT","41274","GRN","Queensland Greens","JOHNSTON","Elizabeth","3","41162","LNP","Liberal National Party of Queensland","LITTLEPROUD","David","2","128","56.140"
"QLD","170","Maranoa","0","ABSENT","40690","LTP","Libertarian Party","OFFERDAHL","Michael","4","41037","ON","Pauline Hanson's One Nation","DUNCAN","Sharon","8","30","60.000"
"QLD","170","Maranoa","0","ABSENT","40690","LTP","Libertarian Party","OFFERDAHL","Michael","4","41162","LNP","Liberal National Party of Queensland","LITTLEPROUD","David","2","20","40.000"
"QLD","170","Maranoa","0","ABSENT","40912","FFPA","Family First Party Australia","WHITTLE","John Matthew","5","41162","LNP","Liberal National Party of Queensland","LITTLEPROUD","David","2","39","45.880"
"QLD","170","Maranoa","0","ABSENT","40912","FFPA","Family First Party Australia","WHITTLE","John Matthew","5","41037","ON","Pauline Hanson's One Nation","DUNCAN","Sharon","8","46","54.120"
"QLD","170","Maranoa","0","ABSENT","40787","ALP","Australian Labor Party (State of Queensland)","NEWMAN","Alex","6","41162","LNP","Liberal National Party of Queensland","LITTLEPROUD","David","2","201","57.760"
"QLD","170","Maranoa","0","ABSENT","40787","ALP","Australian Labor Party (State of Queensland)","NEWMAN","Alex","6","41037","ON","Pauline Hanson's One Nation","DUNCAN","Sharon","8","147","42.240"
"QLD","170","Maranoa","0","ABSENT","41351","CYA","Trumpet of Patriots","CUMES","Jonathan Allen","7","41162","LNP","Liberal National Party of Queensland","LITTLEPROUD","David","2","20","20.200"
"QLD","170","Maranoa","0","ABSENT","41351","CYA","Trumpet of Patriots","CUMES","Jonathan Allen","7","41037","ON","Pauline Hanson's One Nation","DUNCAN","Sharon","8","79","79.800"
