2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","172","Moncrieff","0","ABSENT","0","","","First Preferences","","0","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","753","45.800"
"QLD","172","Moncrieff","0","ABSENT","0","","","First Preferences","","0","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","891","54.200"
"QLD","172","Moncrieff","0","ABSENT","40697","IND","Independent","ARROWSMITH","Nicole","1","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","93","43.260"
"QLD","172","Moncrieff","0","ABSENT","40697","IND","Independent","ARROWSMITH","Nicole","1","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","122","56.740"
"QLD","172","Moncrieff","0","ABSENT","41459","IND","Independent","WELD ALI","Waddah","2","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","32","47.060"
"QLD","172","Moncrieff","0","ABSENT","41459","IND","Independent","WELD ALI","Waddah","2","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","36","52.940"
"QLD","172","Moncrieff","0","ABSENT","41278","GRN","Queensland Greens","SPAIN","Sally","3","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","134","23.180"
"QLD","172","Moncrieff","0","ABSENT","41278","GRN","Queensland Greens","SPAIN","Sally","3","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","444","76.820"
"QLD","172","Moncrieff","0","ABSENT","40947","ON","Pauline Hanson's One Nation","WADSWORTH","Glen","5","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","185","70.080"
"QLD","172","Moncrieff","0","ABSENT","40947","ON","Pauline Hanson's One Nation","WADSWORTH","Glen","5","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","79","29.920"
"QLD","172","Moncrieff","0","ABSENT","40908","FFPA","Family First Party Australia","FEA","Ruth","6","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","59","60.200"
"QLD","172","Moncrieff","0","ABSENT","40908","FFPA","Family First Party Australia","FEA","Ruth","6","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","39","39.800"
"QLD","172","Moncrieff","0","ABSENT","40967","GRPF","Gerard Rennick People First","SZORKOVSZKY","Natasha Anne","7","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","115","70.550"
"QLD","172","Moncrieff","0","ABSENT","40967","GRPF","Gerard Rennick People First","SZORKOVSZKY","Natasha Anne","7","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","48","29.450"
"QLD","172","Moncrieff","0","ABSENT","41368","CYA","Trumpet of Patriots","NAICKER","Vic","9","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","95","61.290"
"QLD","172","Moncrieff","0","ABSENT","41368","CYA","Trumpet of Patriots","NAICKER","Vic","9","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","60","38.710"
"QLD","172","Moncrieff","0","POSTAL","0","","","First Preferences","","0","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","4130","34.470"
"QLD","172","Moncrieff","0","POSTAL","0","","","First Preferences","","0","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","7851","65.530"
"QLD","172","Moncrieff","0","POSTAL","40697","IND","Independent","ARROWSMITH","Nicole","1","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","367","38.310"
"QLD","172","Moncrieff","0","POSTAL","40697","IND","Independent","ARROWSMITH","Nicole","1","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","591","61.690"
"QLD","172","Moncrieff","0","POSTAL","41459","IND","Independent","WELD ALI","Waddah","2","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","52","42.280"
"QLD","172","Moncrieff","0","POSTAL","41459","IND","Independent","WELD ALI","Waddah","2","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","71","57.720"
"QLD","172","Moncrieff","0","POSTAL","41278","GRN","Queensland Greens","SPAIN","Sally","3","41174","LNP","Liberal National Party of Queensland","BELL","Angie","4","213","17.460"
"QLD","172","Moncrieff","0","POSTAL","41278","GRN","Queensland Greens","SPAIN","Sally","3","40791","ALP","Australian Labor Party (State of Queensland)","STUART","Blair","8","1007","82.540"
