2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","174","Oxley","0","ABSENT","0","","","First Preferences","","0","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","609","27.260"
"QLD","174","Oxley","0","ABSENT","0","","","First Preferences","","0","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","1625","72.740"
"QLD","174","Oxley","0","ABSENT","40952","ON","Pauline Hanson's One Nation","BAKER","Darren","2","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","162","65.060"
"QLD","174","Oxley","0","ABSENT","40952","ON","Pauline Hanson's One Nation","BAKER","Darren","2","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","87","34.940"
"QLD","174","Oxley","0","ABSENT","41465","","Non Affiliated","HEAD","Mike","3","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","23","35.940"
"QLD","174","Oxley","0","ABSENT","41465","","Non Affiliated","HEAD","Mike","3","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","41","64.060"
"QLD","174","Oxley","0","ABSENT","41397","CYA","Trumpet of Patriots","MAGUIRE","Mark","4","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","73","59.840"
"QLD","174","Oxley","0","ABSENT","41397","CYA","Trumpet of Patriots","MAGUIRE","Mark","4","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","49","40.160"
"QLD","174","Oxley","0","ABSENT","41281","GRN","Queensland Greens","HOLT","Brandan","6","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","578","83.410"
"QLD","174","Oxley","0","ABSENT","41281","GRN","Queensland Greens","HOLT","Brandan","6","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","115","16.590"
"QLD","174","Oxley","0","ABSENT","40913","FFPA","Family First Party Australia","TENTO","William","7","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","59","38.820"
"QLD","174","Oxley","0","ABSENT","40913","FFPA","Family First Party Australia","TENTO","William","7","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","93","61.180"
"QLD","174","Oxley","0","POSTAL","0","","","First Preferences","","0","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","4291","31.250"
"QLD","174","Oxley","0","POSTAL","0","","","First Preferences","","0","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","9441","68.750"
"QLD","174","Oxley","0","POSTAL","40952","ON","Pauline Hanson's One Nation","BAKER","Darren","2","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","383","29.830"
"QLD","174","Oxley","0","POSTAL","40952","ON","Pauline Hanson's One Nation","BAKER","Darren","2","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","901","70.170"
"QLD","174","Oxley","0","POSTAL","41465","","Non Affiliated","HEAD","Mike","3","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","162","63.040"
"QLD","174","Oxley","0","POSTAL","41465","","Non Affiliated","HEAD","Mike","3","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","95","36.960"
"QLD","174","Oxley","0","POSTAL","41397","CYA","Trumpet of Patriots","MAGUIRE","Mark","4","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","200","36.100"
"QLD","174","Oxley","0","POSTAL","41397","CYA","Trumpet of Patriots","MAGUIRE","Mark","4","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","354","63.900"
"QLD","174","Oxley","0","POSTAL","41281","GRN","Queensland Greens","HOLT","Brandan","6","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","1738","87.870"
"QLD","174","Oxley","0","POSTAL","41281","GRN","Queensland Greens","HOLT","Brandan","6","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","240","12.130"
"QLD","174","Oxley","0","POSTAL","40913","FFPA","Family First Party Australia","TENTO","William","7","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","175","33.270"
"QLD","174","Oxley","0","POSTAL","40913","FFPA","Family First Party Australia","TENTO","William","7","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","351","66.730"
"QLD","174","Oxley","0","PRE_POLL","0","","","First Preferences","","0","41181","LNP","Liberal National Party of Queensland","BURNS","Kevin","5","687","29.830"
"QLD","174","Oxley","0","PRE_POLL","0","","","First Preferences","","0","40800","ALP","Australian Labor Party (State of Queensland)","DICK","Milton","1","1616","70.170"
