2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","175","Petrie","0","ABSENT","0","","","First Preferences","","0","40801","ALP","Australian Labor Party (State of Queensland)","COMER","Emma","3","1292","55.400"
"QLD","175","Petrie","0","ABSENT","0","","","First Preferences","","0","41185","LNP","Liberal National Party of Queensland","HOWARTH","Luke","4","1040","44.600"
"QLD","175","Petrie","0","ABSENT","41403","CYA","Trumpet of Patriots","MENSINK","Ryan","1","40801","ALP","Australian Labor Party (State of Queensland)","COMER","Emma","3","127","49.800"
"QLD","175","Petrie","0","ABSENT","41403","CYA","Trumpet of Patriots","MENSINK","Ryan","1","41185","LNP","Liberal National Party of Queensland","HOWARTH","Luke","4","128","50.200"
"QLD","175","Petrie","0","ABSENT","40955","ON","Pauline Hanson's One Nation","SHIRES","Nicole","2","40801","ALP","Australian Labor Party (State of Queensland)","COMER","Emma","3","113","33.830"
"QLD","175","Petrie","0","ABSENT","40955","ON","Pauline Hanson's One Nation","SHIRES","Nicole","2","41185","LNP","Liberal National Party of Queensland","HOWARTH","Luke","4","221","66.170"
"QLD","175","Petrie","0","ABSENT","41288","GRN","Queensland Greens","PAUL","Nikil","5","40801","ALP","Australian Labor Party (State of Queensland)","COMER","Emma","3","645","81.340"
"QLD","175","Petrie","0","ABSENT","41288","GRN","Queensland Greens","PAUL","Nikil","5","41185","LNP","Liberal National Party of Queensland","HOWARTH","Luke","4","148","18.660"
"QLD","175","Petrie","0","ABSENT","40894","FFPA","Family First Party Australia","HALL","Sharan","6","40801","ALP","Australian Labor Party (State of Queensland)","COMER","Emma","3","69","35.030"
"QLD","175","Petrie","0","ABSENT","40894","FFPA","Family First Party Australia","HALL","Sharan","6","41185","LNP","Liberal National Party of Queensland","HOWARTH","Luke","4","128","64.970"
"QLD","175","Petrie","0","POSTAL","0","","","First Preferences","","0","40801","ALP","Australian Labor Party (State of Queensland)","COMER","Emma","3","6939","43.920"
"QLD","175","Petrie","0","POSTAL","0","","","First Preferences","","0","41185","LNP","Liberal National Party of Queensland","HOWARTH","Luke","4","8859","56.080"
"QLD","175","Petrie","0","POSTAL","41403","CYA","Trumpet of Patriots","MENSINK","Ryan","1","41185","LNP","Liberal National Party of Queensland","HOWARTH","Luke","4","400","55.790"
"QLD","175","Petrie","0","POSTAL","41403","CYA","Trumpet of Patriots","MENSINK","Ryan","1","40801","ALP","Australian Labor Party (State of Queensland)","COMER","Emma","3","317","44.210"
"QLD","175","Petrie","0","POSTAL","40955","ON","Pauline Hanson's One Nation","SHIRES","Nicole","2","41185","LNP","Liberal National Party of Queensland","HOWARTH","Luke","4","961","72.690"
"QLD","175","Petrie","0","POSTAL","40955","ON","Pauline Hanson's One Nation","SHIRES","Nicole","2","40801","ALP","Australian Labor Party (State of Queensland)","COMER","Emma","3","361","27.310"
