2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","177","Ryan","0","ABSENT","0","","","First Preferences","","0","41192","LNP","Liberal National Party of Queensland","FORREST","Maggie","5","908","43.140"
"QLD","177","Ryan","0","ABSENT","0","","","First Preferences","","0","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","1197","56.860"
"QLD","177","Ryan","0","ABSENT","40905","FFPA","Family First Party Australia","GALLEHAWK","Donna","1","41192","LNP","Liberal National Party of Queensland","FORREST","Maggie","5","48","68.570"
"QLD","177","Ryan","0","ABSENT","40905","FFPA","Family First Party Australia","GALLEHAWK","Donna","1","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","22","31.430"
"QLD","177","Ryan","0","ABSENT","40807","ALP","Australian Labor Party (State of Queensland)","HACK","Rebecca","2","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","817","72.950"
"QLD","177","Ryan","0","ABSENT","40807","ALP","Australian Labor Party (State of Queensland)","HACK","Rebecca","2","41192","LNP","Liberal National Party of Queensland","FORREST","Maggie","5","303","27.050"
"QLD","177","Ryan","0","ABSENT","40687","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","MASTERTON","Gina","3","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","38","84.440"
"QLD","177","Ryan","0","ABSENT","40687","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","MASTERTON","Gina","3","41192","LNP","Liberal National Party of Queensland","FORREST","Maggie","5","7","15.560"
"QLD","177","Ryan","0","ABSENT","40974","GRPF","Gerard Rennick People First","DE LAPP","N","6","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","37","32.460"
"QLD","177","Ryan","0","ABSENT","40974","GRPF","Gerard Rennick People First","DE LAPP","N","6","41192","LNP","Liberal National Party of Queensland","FORREST","Maggie","5","77","67.540"
"QLD","177","Ryan","0","ABSENT","41415","CYA","Trumpet of Patriots","HUNT","Ryan","7","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","20","21.510"
"QLD","177","Ryan","0","ABSENT","41415","CYA","Trumpet of Patriots","HUNT","Ryan","7","41192","LNP","Liberal National Party of Queensland","FORREST","Maggie","5","73","78.490"
"QLD","177","Ryan","0","ABSENT","40960","ON","Pauline Hanson's One Nation","ELSOM","Robbie","8","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","30","26.790"
"QLD","177","Ryan","0","ABSENT","40960","ON","Pauline Hanson's One Nation","ELSOM","Robbie","8","41192","LNP","Liberal National Party of Queensland","FORREST","Maggie","5","82","73.210"
"QLD","177","Ryan","0","POSTAL","0","","","First Preferences","","0","41192","LNP","Liberal National Party of Queensland","FORREST","Maggie","5","7589","66.460"
"QLD","177","Ryan","0","POSTAL","0","","","First Preferences","","0","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","3830","33.540"
"QLD","177","Ryan","0","POSTAL","40905","FFPA","Family First Party Australia","GALLEHAWK","Donna","1","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","79","37.620"
"QLD","177","Ryan","0","POSTAL","40905","FFPA","Family First Party Australia","GALLEHAWK","Donna","1","41192","LNP","Liberal National Party of Queensland","FORREST","Maggie","5","131","62.380"
"QLD","177","Ryan","0","POSTAL","40807","ALP","Australian Labor Party (State of Queensland)","HACK","Rebecca","2","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","3559","73.160"
"QLD","177","Ryan","0","POSTAL","40807","ALP","Australian Labor Party (State of Queensland)","HACK","Rebecca","2","41192","LNP","Liberal National Party of Queensland","FORREST","Maggie","5","1306","26.840"
"QLD","177","Ryan","0","POSTAL","40687","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","MASTERTON","Gina","3","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","149","71.290"
"QLD","177","Ryan","0","POSTAL","40687","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","MASTERTON","Gina","3","41192","LNP","Liberal National Party of Queensland","FORREST","Maggie","5","60","28.710"
"QLD","177","Ryan","0","POSTAL","40974","GRPF","Gerard Rennick People First","DE LAPP","N","6","41285","GRN","Queensland Greens","WATSON-BROWN","Elizabeth","4","78","22.290"
