2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","316","Wright","0","ABSENT","0","","","First Preferences","","0","40798","ALP","Australian Labor Party (State of Queensland)","McCREADIE","Pam","6","1261","51.640"
"QLD","316","Wright","0","ABSENT","0","","","First Preferences","","0","41199","LNP","Liberal National Party of Queensland","BUCHHOLZ","Scott","5","1181","48.360"
"QLD","316","Wright","0","ABSENT","40962","ON","Pauline Hanson's One Nation","DAVIS","Natalie","1","40798","ALP","Australian Labor Party (State of Queensland)","McCREADIE","Pam","6","199","27.640"
"QLD","316","Wright","0","ABSENT","40962","ON","Pauline Hanson's One Nation","DAVIS","Natalie","1","41199","LNP","Liberal National Party of Queensland","BUCHHOLZ","Scott","5","521","72.360"
"QLD","316","Wright","0","ABSENT","41289","GRN","Queensland Greens","THOMPSON","Nicole","2","40798","ALP","Australian Labor Party (State of Queensland)","McCREADIE","Pam","6","634","82.120"
"QLD","316","Wright","0","ABSENT","41289","GRN","Queensland Greens","THOMPSON","Nicole","2","41199","LNP","Liberal National Party of Queensland","BUCHHOLZ","Scott","5","138","17.880"
"QLD","316","Wright","0","ABSENT","40915","FFPA","Family First Party Australia","ROSE","Julie","3","41199","LNP","Liberal National Party of Queensland","BUCHHOLZ","Scott","5","131","65.170"
"QLD","316","Wright","0","ABSENT","40915","FFPA","Family First Party Australia","ROSE","Julie","3","40798","ALP","Australian Labor Party (State of Queensland)","McCREADIE","Pam","6","70","34.830"
"QLD","316","Wright","0","ABSENT","41433","CYA","Trumpet of Patriots","THOMPSON","Scott","4","41199","LNP","Liberal National Party of Queensland","BUCHHOLZ","Scott","5","220","69.400"
"QLD","316","Wright","0","ABSENT","41433","CYA","Trumpet of Patriots","THOMPSON","Scott","4","40798","ALP","Australian Labor Party (State of Queensland)","McCREADIE","Pam","6","97","30.600"
"QLD","316","Wright","0","ABSENT","41516","AJP","Animal Justice Party","SNYMAN","Chloe Leeanne","7","41199","LNP","Liberal National Party of Queensland","BUCHHOLZ","Scott","5","62","44.930"
