2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"SA","179","Adelaide","0","ABSENT","0","","","First Preferences","","0","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","2285","64.350"
"SA","179","Adelaide","0","ABSENT","0","","","First Preferences","","0","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","1266","35.650"
"SA","179","Adelaide","0","ABSENT","41809","AJP","Animal Justice Party","PENGILLEY","Lionel","1","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","173","82.380"
"SA","179","Adelaide","0","ABSENT","41809","AJP","Animal Justice Party","PENGILLEY","Lionel","1","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","37","17.620"
"SA","179","Adelaide","0","ABSENT","41039","CYA","Trumpet of Patriots","MARKS","Steve","3","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","111","51.150"
"SA","179","Adelaide","0","ABSENT","41039","CYA","Trumpet of Patriots","MARKS","Steve","3","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","106","48.850"
"SA","179","Adelaide","0","ABSENT","41013","GRN","Australian Greens","MONTI","Mat","4","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","1257","91.350"
"SA","179","Adelaide","0","ABSENT","41013","GRN","Australian Greens","MONTI","Mat","4","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","119","8.650"
"SA","179","Adelaide","0","ABSENT","41060","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","McMILLAN","Matthew","5","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","55","73.330"
"SA","179","Adelaide","0","ABSENT","41060","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","McMILLAN","Matthew","5","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","20","26.670"
"SA","179","Adelaide","0","ABSENT","42034","ON","Pauline Hanson's One Nation","SIZE","Riley","6","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","202","74.260"
"SA","179","Adelaide","0","ABSENT","42034","ON","Pauline Hanson's One Nation","SIZE","Riley","6","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","70","25.740"
"SA","179","Adelaide","0","POSTAL","0","","","First Preferences","","0","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","4371","36.900"
"SA","179","Adelaide","0","POSTAL","0","","","First Preferences","","0","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","7473","63.100"
"SA","179","Adelaide","0","POSTAL","41809","AJP","Animal Justice Party","PENGILLEY","Lionel","1","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","117","27.590"
"SA","179","Adelaide","0","POSTAL","41809","AJP","Animal Justice Party","PENGILLEY","Lionel","1","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","307","72.410"
"SA","179","Adelaide","0","POSTAL","41039","CYA","Trumpet of Patriots","MARKS","Steve","3","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","296","63.520"
"SA","179","Adelaide","0","POSTAL","41039","CYA","Trumpet of Patriots","MARKS","Steve","3","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","170","36.480"
"SA","179","Adelaide","0","POSTAL","41013","GRN","Australian Greens","MONTI","Mat","4","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","164","8.140"
"SA","179","Adelaide","0","POSTAL","41013","GRN","Australian Greens","MONTI","Mat","4","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","1851","91.860"
"SA","179","Adelaide","0","POSTAL","41060","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","McMILLAN","Matthew","5","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","49","23.330"
"SA","179","Adelaide","0","POSTAL","41060","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","McMILLAN","Matthew","5","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","161","76.670"
"SA","179","Adelaide","0","POSTAL","42034","ON","Pauline Hanson's One Nation","SIZE","Riley","6","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","540","71.620"
"SA","179","Adelaide","0","POSTAL","42034","ON","Pauline Hanson's One Nation","SIZE","Riley","6","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","214","28.380"
"SA","179","Adelaide","0","PRE_POLL","0","","","First Preferences","","0","41014","LP","Liberal Party of Australia (S.A. Division)","GRANTHAM","Amy","7","934","35.980"
"SA","179","Adelaide","0","PRE_POLL","0","","","First Preferences","","0","41210","ALP","Australian Labor Party (South Australian Branch)","GEORGANAS","Steve","2","1662","64.020"
