2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"SA","180","Barker","0","ABSENT","0","","","First Preferences","","0","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","961","64.240"
"SA","180","Barker","0","ABSENT","0","","","First Preferences","","0","41214","ALP","Australian Labor Party (South Australian Branch)","ROTHE","James","4","535","35.760"
"SA","180","Barker","0","ABSENT","36466","IND","Independent","HILLAM","Rosa","2","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","26","44.070"
"SA","180","Barker","0","ABSENT","36466","IND","Independent","HILLAM","Rosa","2","41214","ALP","Australian Labor Party (South Australian Branch)","ROTHE","James","4","33","55.930"
"SA","180","Barker","0","ABSENT","40657","NP","National Party of Australia (S.A.) Inc.","PIETZSCH","Jonathan","3","41214","ALP","Australian Labor Party (South Australian Branch)","ROTHE","James","4","7","20.000"
"SA","180","Barker","0","ABSENT","40657","NP","National Party of Australia (S.A.) Inc.","PIETZSCH","Jonathan","3","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","28","80.000"
"SA","180","Barker","0","ABSENT","42023","ON","Pauline Hanson's One Nation","TROETH","Jennifer","5","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","137","65.870"
"SA","180","Barker","0","ABSENT","42023","ON","Pauline Hanson's One Nation","TROETH","Jennifer","5","41214","ALP","Australian Labor Party (South Australian Branch)","ROTHE","James","4","71","34.130"
"SA","180","Barker","0","ABSENT","41048","FFPA","Family First Party Australia","BROHIER","Michael","6","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","46","54.120"
"SA","180","Barker","0","ABSENT","41048","FFPA","Family First Party Australia","BROHIER","Michael","6","41214","ALP","Australian Labor Party (South Australian Branch)","ROTHE","James","4","39","45.880"
"SA","180","Barker","0","ABSENT","40619","IND","Independent","PENNO","Ian","7","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","16","42.110"
"SA","180","Barker","0","ABSENT","40619","IND","Independent","PENNO","Ian","7","41214","ALP","Australian Labor Party (South Australian Branch)","ROTHE","James","4","22","57.890"
"SA","180","Barker","0","ABSENT","41041","CYA","Trumpet of Patriots","JAMESON","Robert","8","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","62","53.450"
"SA","180","Barker","0","ABSENT","41041","CYA","Trumpet of Patriots","JAMESON","Robert","8","41214","ALP","Australian Labor Party (South Australian Branch)","ROTHE","James","4","54","46.550"
"SA","180","Barker","0","ABSENT","41017","GRN","Australian Greens","SUMNER","Major Moogy","9","41214","ALP","Australian Labor Party (South Australian Branch)","ROTHE","James","4","295","82.170"
"SA","180","Barker","0","ABSENT","41017","GRN","Australian Greens","SUMNER","Major Moogy","9","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","64","17.830"
"SA","180","Barker","0","ABSENT","40674","IND","Independent","SCHOLES","Cody","10","41214","ALP","Australian Labor Party (South Australian Branch)","ROTHE","James","4","19","55.880"
"SA","180","Barker","0","ABSENT","40674","IND","Independent","SCHOLES","Cody","10","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","15","44.120"
"SA","180","Barker","0","POSTAL","0","","","First Preferences","","0","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","5995","69.950"
"SA","180","Barker","0","POSTAL","0","","","First Preferences","","0","41214","ALP","Australian Labor Party (South Australian Branch)","ROTHE","James","4","2576","30.050"
"SA","180","Barker","0","POSTAL","36466","IND","Independent","HILLAM","Rosa","2","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","77","41.180"
"SA","180","Barker","0","POSTAL","36466","IND","Independent","HILLAM","Rosa","2","41214","ALP","Australian Labor Party (South Australian Branch)","ROTHE","James","4","110","58.820"
"SA","180","Barker","0","POSTAL","40657","NP","National Party of Australia (S.A.) Inc.","PIETZSCH","Jonathan","3","41016","LP","Liberal Party of Australia (S.A. Division)","PASIN","Tony","1","213","81.920"
