2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"SA","182","Boothby","0","ABSENT","0","","","First Preferences","","0","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","1621","59.070"
"SA","182","Boothby","0","ABSENT","0","","","First Preferences","","0","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","1123","40.930"
"SA","182","Boothby","0","ABSENT","41043","CYA","Trumpet of Patriots","HUSSEY","Nicole","1","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","76","40.860"
"SA","182","Boothby","0","ABSENT","41043","CYA","Trumpet of Patriots","HUSSEY","Nicole","1","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","110","59.140"
"SA","182","Boothby","0","ABSENT","41062","FFPA","Family First Party Australia","PRIOR","Samuel","2","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","77","50.660"
"SA","182","Boothby","0","ABSENT","41062","FFPA","Family First Party Australia","PRIOR","Samuel","2","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","75","49.340"
"SA","182","Boothby","0","ABSENT","42028","ON","Pauline Hanson's One Nation","SCOTT","Tonya","3","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","132","65.350"
"SA","182","Boothby","0","ABSENT","42028","ON","Pauline Hanson's One Nation","SCOTT","Tonya","3","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","70","34.650"
"SA","182","Boothby","0","ABSENT","41019","GRN","Australian Greens","WELLS","Joanna","5","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","144","12.880"
"SA","182","Boothby","0","ABSENT","41019","GRN","Australian Greens","WELLS","Joanna","5","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","974","87.120"
"SA","182","Boothby","0","POSTAL","0","","","First Preferences","","0","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","6295","46.510"
"SA","182","Boothby","0","POSTAL","0","","","First Preferences","","0","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","7239","53.490"
"SA","182","Boothby","0","POSTAL","41043","CYA","Trumpet of Patriots","HUSSEY","Nicole","1","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","257","60.330"
"SA","182","Boothby","0","POSTAL","41043","CYA","Trumpet of Patriots","HUSSEY","Nicole","1","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","169","39.670"
"SA","182","Boothby","0","POSTAL","41062","FFPA","Family First Party Australia","PRIOR","Samuel","2","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","171","56.620"
"SA","182","Boothby","0","POSTAL","41062","FFPA","Family First Party Australia","PRIOR","Samuel","2","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","131","43.380"
"SA","182","Boothby","0","POSTAL","42028","ON","Pauline Hanson's One Nation","SCOTT","Tonya","3","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","399","72.940"
"SA","182","Boothby","0","POSTAL","42028","ON","Pauline Hanson's One Nation","SCOTT","Tonya","3","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","148","27.060"
"SA","182","Boothby","0","POSTAL","41019","GRN","Australian Greens","WELLS","Joanna","5","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","204","10.030"
"SA","182","Boothby","0","POSTAL","41019","GRN","Australian Greens","WELLS","Joanna","5","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","1829","89.970"
"SA","182","Boothby","0","PRE_POLL","0","","","First Preferences","","0","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","1048","40.530"
"SA","182","Boothby","0","PRE_POLL","0","","","First Preferences","","0","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","1538","59.470"
"SA","182","Boothby","0","PRE_POLL","41043","CYA","Trumpet of Patriots","HUSSEY","Nicole","1","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","74","56.920"
"SA","182","Boothby","0","PRE_POLL","41043","CYA","Trumpet of Patriots","HUSSEY","Nicole","1","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","56","43.080"
"SA","182","Boothby","0","PRE_POLL","41062","FFPA","Family First Party Australia","PRIOR","Samuel","2","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","52","50.980"
"SA","182","Boothby","0","PRE_POLL","41062","FFPA","Family First Party Australia","PRIOR","Samuel","2","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","50","49.020"
"SA","182","Boothby","0","PRE_POLL","42028","ON","Pauline Hanson's One Nation","SCOTT","Tonya","3","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","119","66.480"
"SA","182","Boothby","0","PRE_POLL","42028","ON","Pauline Hanson's One Nation","SCOTT","Tonya","3","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","60","33.520"
"SA","182","Boothby","0","PRE_POLL","41019","GRN","Australian Greens","WELLS","Joanna","5","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","100","11.790"
"SA","182","Boothby","0","PRE_POLL","41019","GRN","Australian Greens","WELLS","Joanna","5","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","748","88.210"
"SA","182","Boothby","0","PROVISIONAL","0","","","First Preferences","","0","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","210","66.040"
"SA","182","Boothby","0","PROVISIONAL","0","","","First Preferences","","0","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","108","33.960"
"SA","182","Boothby","0","PROVISIONAL","41043","CYA","Trumpet of Patriots","HUSSEY","Nicole","1","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","15","57.690"
"SA","182","Boothby","0","PROVISIONAL","41043","CYA","Trumpet of Patriots","HUSSEY","Nicole","1","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","11","42.310"
"SA","182","Boothby","0","PROVISIONAL","41062","FFPA","Family First Party Australia","PRIOR","Samuel","2","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","8","53.330"
"SA","182","Boothby","0","PROVISIONAL","41062","FFPA","Family First Party Australia","PRIOR","Samuel","2","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","7","46.670"
"SA","182","Boothby","0","PROVISIONAL","42028","ON","Pauline Hanson's One Nation","SCOTT","Tonya","3","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","6","31.580"
"SA","182","Boothby","0","PROVISIONAL","42028","ON","Pauline Hanson's One Nation","SCOTT","Tonya","3","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","13","68.420"
"SA","182","Boothby","0","PROVISIONAL","41019","GRN","Australian Greens","WELLS","Joanna","5","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","14","11.110"
"SA","182","Boothby","0","PROVISIONAL","41019","GRN","Australian Greens","WELLS","Joanna","5","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","112","88.890"
"SA","182","Boothby","6859","Belair","0","","","First Preferences","","0","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","568","69.950"
"SA","182","Boothby","6859","Belair","0","","","First Preferences","","0","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","244","30.050"
"SA","182","Boothby","6859","Belair","41043","CYA","Trumpet of Patriots","HUSSEY","Nicole","1","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","6","24.000"
"SA","182","Boothby","6859","Belair","41043","CYA","Trumpet of Patriots","HUSSEY","Nicole","1","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","19","76.000"
"SA","182","Boothby","6859","Belair","41062","FFPA","Family First Party Australia","PRIOR","Samuel","2","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","6","23.080"
"SA","182","Boothby","6859","Belair","41062","FFPA","Family First Party Australia","PRIOR","Samuel","2","41021","LP","Liberal Party of Australia (S.A. Division)","FLINT","Nicolle","6","20","76.920"
"SA","182","Boothby","6859","Belair","42028","ON","Pauline Hanson's One Nation","SCOTT","Tonya","3","41197","ALP","Australian Labor Party (South Australian Branch)","MILLER-FROST","Louise","4","7","21.210"
