2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"SA","186","Kingston","0","ABSENT","0","","","First Preferences","","0","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","622","27.400"
"SA","186","Kingston","0","ABSENT","0","","","First Preferences","","0","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","1648","72.600"
"SA","186","Kingston","0","ABSENT","42042","ON","Pauline Hanson's One Nation","SKRLJ","Nathan","2","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","91","33.330"
"SA","186","Kingston","0","ABSENT","42042","ON","Pauline Hanson's One Nation","SKRLJ","Nathan","2","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","182","66.670"
"SA","186","Kingston","0","ABSENT","41026","GRN","Australian Greens","PHOTAKIS","John","3","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","665","89.620"
"SA","186","Kingston","0","ABSENT","41026","GRN","Australian Greens","PHOTAKIS","John","3","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","77","10.380"
"SA","186","Kingston","0","ABSENT","41054","FFPA","Family First Party Australia","PRICE","Steven","5","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","66","42.580"
"SA","186","Kingston","0","ABSENT","41054","FFPA","Family First Party Australia","PRICE","Steven","5","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","89","57.420"
"SA","186","Kingston","0","ABSENT","41046","CYA","Trumpet of Patriots","JACKSON","Russell Patrick","6","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","104","58.430"
"SA","186","Kingston","0","ABSENT","41046","CYA","Trumpet of Patriots","JACKSON","Russell Patrick","6","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","74","41.570"
"SA","186","Kingston","0","ABSENT","41797","AJP","Animal Justice Party","LIU","Bin","7","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","60","72.290"
"SA","186","Kingston","0","ABSENT","41797","AJP","Animal Justice Party","LIU","Bin","7","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","23","27.710"
"SA","186","Kingston","0","POSTAL","0","","","First Preferences","","0","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","3326","27.600"
"SA","186","Kingston","0","POSTAL","0","","","First Preferences","","0","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","8725","72.400"
"SA","186","Kingston","0","POSTAL","42042","ON","Pauline Hanson's One Nation","SKRLJ","Nathan","2","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","285","27.890"
"SA","186","Kingston","0","POSTAL","42042","ON","Pauline Hanson's One Nation","SKRLJ","Nathan","2","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","737","72.110"
"SA","186","Kingston","0","POSTAL","41026","GRN","Australian Greens","PHOTAKIS","John","3","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","1298","88.540"
"SA","186","Kingston","0","POSTAL","41026","GRN","Australian Greens","PHOTAKIS","John","3","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","168","11.460"
"SA","186","Kingston","0","POSTAL","41054","FFPA","Family First Party Australia","PRICE","Steven","5","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","119","32.080"
"SA","186","Kingston","0","POSTAL","41054","FFPA","Family First Party Australia","PRICE","Steven","5","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","252","67.920"
"SA","186","Kingston","0","POSTAL","41046","CYA","Trumpet of Patriots","JACKSON","Russell Patrick","6","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","204","38.710"
"SA","186","Kingston","0","POSTAL","41046","CYA","Trumpet of Patriots","JACKSON","Russell Patrick","6","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","323","61.290"
"SA","186","Kingston","0","POSTAL","41797","AJP","Animal Justice Party","LIU","Bin","7","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","251","69.150"
"SA","186","Kingston","0","POSTAL","41797","AJP","Animal Justice Party","LIU","Bin","7","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","112","30.850"
"SA","186","Kingston","0","PRE_POLL","0","","","First Preferences","","0","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","619","32.360"
"SA","186","Kingston","0","PRE_POLL","0","","","First Preferences","","0","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","1294","67.640"
"SA","186","Kingston","0","PRE_POLL","42042","ON","Pauline Hanson's One Nation","SKRLJ","Nathan","2","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","53","23.870"
"SA","186","Kingston","0","PRE_POLL","42042","ON","Pauline Hanson's One Nation","SKRLJ","Nathan","2","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","169","76.130"
"SA","186","Kingston","0","PRE_POLL","41026","GRN","Australian Greens","PHOTAKIS","John","3","41201","ALP","Australian Labor Party (South Australian Branch)","RISHWORTH","Amanda","1","389","89.020"
"SA","186","Kingston","0","PRE_POLL","41026","GRN","Australian Greens","PHOTAKIS","John","3","41030","LP","Liberal Party of Australia (S.A. Division)","RISHWORTH","Jim","4","48","10.980"
