2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"SA","187","Makin","0","ABSENT","0","","","First Preferences","","0","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","1729","70.000"
"SA","187","Makin","0","ABSENT","0","","","First Preferences","","0","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","741","30.000"
"SA","187","Makin","0","ABSENT","41802","AJP","Animal Justice Party","RUSSELL","Geoff","1","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","72","40.910"
"SA","187","Makin","0","ABSENT","41802","AJP","Animal Justice Party","RUSSELL","Geoff","1","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","104","59.090"
"SA","187","Makin","0","ABSENT","41028","GRN","Australian Greens","MOORE","Samuel","2","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","627","83.490"
"SA","187","Makin","0","ABSENT","41028","GRN","Australian Greens","MOORE","Samuel","2","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","124","16.510"
"SA","187","Makin","0","ABSENT","41057","FFPA","Family First Party Australia","NANCARROW","Sue","3","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","111","60.990"
"SA","187","Makin","0","ABSENT","41057","FFPA","Family First Party Australia","NANCARROW","Sue","3","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","71","39.010"
"SA","187","Makin","0","ABSENT","41047","CYA","Trumpet of Patriots","ALDRIDGE","Mark","4","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","100","39.530"
"SA","187","Makin","0","ABSENT","41047","CYA","Trumpet of Patriots","ALDRIDGE","Mark","4","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","153","60.470"
"SA","187","Makin","0","ABSENT","42036","ON","Pauline Hanson's One Nation","DEW-FENNELL","Alison","5","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","226","67.460"
"SA","187","Makin","0","ABSENT","42036","ON","Pauline Hanson's One Nation","DEW-FENNELL","Alison","5","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","109","32.540"
"SA","187","Makin","0","ABSENT","41071","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","HANNA","Amelie","6","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","18","34.620"
"SA","187","Makin","0","ABSENT","41071","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","HANNA","Amelie","6","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","34","65.380"
"SA","187","Makin","0","POSTAL","0","","","First Preferences","","0","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","3739","35.560"
"SA","187","Makin","0","POSTAL","0","","","First Preferences","","0","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","6775","64.440"
"SA","187","Makin","0","POSTAL","41802","AJP","Animal Justice Party","RUSSELL","Geoff","1","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","149","39.730"
"SA","187","Makin","0","POSTAL","41802","AJP","Animal Justice Party","RUSSELL","Geoff","1","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","226","60.270"
"SA","187","Makin","0","POSTAL","41028","GRN","Australian Greens","MOORE","Samuel","2","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","174","15.010"
"SA","187","Makin","0","POSTAL","41028","GRN","Australian Greens","MOORE","Samuel","2","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","985","84.990"
"SA","187","Makin","0","POSTAL","41057","FFPA","Family First Party Australia","NANCARROW","Sue","3","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","279","67.230"
"SA","187","Makin","0","POSTAL","41057","FFPA","Family First Party Australia","NANCARROW","Sue","3","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","136","32.770"
"SA","187","Makin","0","POSTAL","41047","CYA","Trumpet of Patriots","ALDRIDGE","Mark","4","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","297","56.900"
"SA","187","Makin","0","POSTAL","41047","CYA","Trumpet of Patriots","ALDRIDGE","Mark","4","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","225","43.100"
"SA","187","Makin","0","POSTAL","42036","ON","Pauline Hanson's One Nation","DEW-FENNELL","Alison","5","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","709","67.980"
"SA","187","Makin","0","POSTAL","42036","ON","Pauline Hanson's One Nation","DEW-FENNELL","Alison","5","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","334","32.020"
"SA","187","Makin","0","POSTAL","41071","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","HANNA","Amelie","6","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","25","23.360"
"SA","187","Makin","0","POSTAL","41071","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","HANNA","Amelie","6","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","82","76.640"
"SA","187","Makin","0","PRE_POLL","0","","","First Preferences","","0","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","1159","64.750"
"SA","187","Makin","0","PRE_POLL","0","","","First Preferences","","0","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","631","35.250"
"SA","187","Makin","0","PRE_POLL","41802","AJP","Animal Justice Party","RUSSELL","Geoff","1","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","51","55.430"
"SA","187","Makin","0","PRE_POLL","41802","AJP","Animal Justice Party","RUSSELL","Geoff","1","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","41","44.570"
"SA","187","Makin","0","PRE_POLL","41028","GRN","Australian Greens","MOORE","Samuel","2","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","68","17.000"
"SA","187","Makin","0","PRE_POLL","41028","GRN","Australian Greens","MOORE","Samuel","2","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","332","83.000"
"SA","187","Makin","0","PRE_POLL","41057","FFPA","Family First Party Australia","NANCARROW","Sue","3","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","79","71.820"
"SA","187","Makin","0","PRE_POLL","41057","FFPA","Family First Party Australia","NANCARROW","Sue","3","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","31","28.180"
"SA","187","Makin","0","PRE_POLL","41047","CYA","Trumpet of Patriots","ALDRIDGE","Mark","4","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","89","66.420"
"SA","187","Makin","0","PRE_POLL","41047","CYA","Trumpet of Patriots","ALDRIDGE","Mark","4","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","45","33.580"
"SA","187","Makin","0","PRE_POLL","42036","ON","Pauline Hanson's One Nation","DEW-FENNELL","Alison","5","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","151","65.940"
"SA","187","Makin","0","PRE_POLL","42036","ON","Pauline Hanson's One Nation","DEW-FENNELL","Alison","5","41172","ALP","Australian Labor Party (South Australian Branch)","ZAPPIA","Tony","8","78","34.060"
"SA","187","Makin","0","PRE_POLL","41071","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","HANNA","Amelie","6","41033","LP","Liberal Party of Australia (S.A. Division)","ZAGLADOV","Irena","7","12","35.290"
