2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"SA","188","Mayo","0","ABSENT","0","","","First Preferences","","0","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","1024","59.500"
"SA","188","Mayo","0","ABSENT","0","","","First Preferences","","0","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","697","40.500"
"SA","188","Mayo","0","ABSENT","41035","LP","Liberal Party of Australia (S.A. Division)","BASIC","Zane","1","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","241","28.620"
"SA","188","Mayo","0","ABSENT","41035","LP","Liberal Party of Australia (S.A. Division)","BASIC","Zane","1","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","601","71.380"
"SA","188","Mayo","0","ABSENT","41029","GRN","Australian Greens","DAWSON-SCOTT","Genevieve","3","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","584","66.670"
"SA","188","Mayo","0","ABSENT","41029","GRN","Australian Greens","DAWSON-SCOTT","Genevieve","3","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","292","33.330"
"SA","188","Mayo","0","ABSENT","41058","FFPA","Family First Party Australia","HACKETT","Ben","4","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","46","35.110"
"SA","188","Mayo","0","ABSENT","41058","FFPA","Family First Party Australia","HACKETT","Ben","4","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","85","64.890"
"SA","188","Mayo","0","ABSENT","42045","ON","Pauline Hanson's One Nation","HEWETT","Rebecca","6","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","189","71.050"
"SA","188","Mayo","0","ABSENT","42045","ON","Pauline Hanson's One Nation","HEWETT","Rebecca","6","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","77","28.950"
"SA","188","Mayo","0","ABSENT","41049","CYA","Trumpet of Patriots","BIDWELL","Simeon Trump","7","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","104","71.720"
"SA","188","Mayo","0","ABSENT","41049","CYA","Trumpet of Patriots","BIDWELL","Simeon Trump","7","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","41","28.280"
"SA","188","Mayo","0","POSTAL","0","","","First Preferences","","0","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","3068","37.880"
"SA","188","Mayo","0","POSTAL","0","","","First Preferences","","0","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","5032","62.120"
"SA","188","Mayo","0","POSTAL","41035","LP","Liberal Party of Australia (S.A. Division)","BASIC","Zane","1","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","3382","86.760"
"SA","188","Mayo","0","POSTAL","41035","LP","Liberal Party of Australia (S.A. Division)","BASIC","Zane","1","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","516","13.240"
"SA","188","Mayo","0","POSTAL","41029","GRN","Australian Greens","DAWSON-SCOTT","Genevieve","3","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","668","44.530"
"SA","188","Mayo","0","POSTAL","41029","GRN","Australian Greens","DAWSON-SCOTT","Genevieve","3","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","832","55.470"
"SA","188","Mayo","0","POSTAL","41058","FFPA","Family First Party Australia","HACKETT","Ben","4","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","252","70.390"
"SA","188","Mayo","0","POSTAL","41058","FFPA","Family First Party Australia","HACKETT","Ben","4","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","106","29.610"
"SA","188","Mayo","0","POSTAL","42045","ON","Pauline Hanson's One Nation","HEWETT","Rebecca","6","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","719","76.730"
"SA","188","Mayo","0","POSTAL","42045","ON","Pauline Hanson's One Nation","HEWETT","Rebecca","6","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","218","23.270"
"SA","188","Mayo","0","POSTAL","41049","CYA","Trumpet of Patriots","BIDWELL","Simeon Trump","7","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","302","75.880"
"SA","188","Mayo","0","POSTAL","41049","CYA","Trumpet of Patriots","BIDWELL","Simeon Trump","7","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","96","24.120"
"SA","188","Mayo","0","PRE_POLL","0","","","First Preferences","","0","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","881","48.430"
"SA","188","Mayo","0","PRE_POLL","0","","","First Preferences","","0","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","938","51.570"
"SA","188","Mayo","0","PRE_POLL","41035","LP","Liberal Party of Australia (S.A. Division)","BASIC","Zane","1","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","806","81.250"
"SA","188","Mayo","0","PRE_POLL","41035","LP","Liberal Party of Australia (S.A. Division)","BASIC","Zane","1","41186","ALP","Australian Labor Party (South Australian Branch)","BELL","Marisa","5","186","18.750"
"SA","188","Mayo","0","PRE_POLL","41029","GRN","Australian Greens","DAWSON-SCOTT","Genevieve","3","40653","XEN","Centre Alliance","SHARKIE","Rebekha","2","187","30.560"
