2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"SA","190","Sturt","0","ABSENT","0","","","First Preferences","","0","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","1485","57.250"
"SA","190","Sturt","0","ABSENT","0","","","First Preferences","","0","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","1109","42.750"
"SA","190","Sturt","0","ABSENT","41061","FFPA","Family First Party Australia","MERVIN JOSHUA","","2","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","70","45.160"
"SA","190","Sturt","0","ABSENT","41061","FFPA","Family First Party Australia","MERVIN JOSHUA","","2","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","85","54.840"
"SA","190","Sturt","0","ABSENT","40618","IND","Independent","COOPER","Verity","4","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","163","71.490"
"SA","190","Sturt","0","ABSENT","40618","IND","Independent","COOPER","Verity","4","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","65","28.510"
"SA","190","Sturt","0","ABSENT","42052","ON","Pauline Hanson's One Nation","BOGATEC","Peter","5","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","52","26.800"
"SA","190","Sturt","0","ABSENT","42052","ON","Pauline Hanson's One Nation","BOGATEC","Peter","5","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","142","73.200"
"SA","190","Sturt","0","ABSENT","41052","CYA","Trumpet of Patriots","DUFFIELD","Nicholas","6","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","80","64.520"
"SA","190","Sturt","0","ABSENT","41052","CYA","Trumpet of Patriots","DUFFIELD","Nicholas","6","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","44","35.480"
"SA","190","Sturt","0","ABSENT","41034","GRN","Australian Greens","McCUSKER","Katie","7","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","116","12.080"
"SA","190","Sturt","0","ABSENT","41034","GRN","Australian Greens","McCUSKER","Katie","7","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","844","87.920"
"SA","190","Sturt","0","POSTAL","0","","","First Preferences","","0","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","7339","52.960"
"SA","190","Sturt","0","POSTAL","0","","","First Preferences","","0","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","6518","47.040"
"SA","190","Sturt","0","POSTAL","41061","FFPA","Family First Party Australia","MERVIN JOSHUA","","2","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","199","65.680"
"SA","190","Sturt","0","POSTAL","41061","FFPA","Family First Party Australia","MERVIN JOSHUA","","2","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","104","34.320"
"SA","190","Sturt","0","POSTAL","40618","IND","Independent","COOPER","Verity","4","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","357","30.100"
"SA","190","Sturt","0","POSTAL","40618","IND","Independent","COOPER","Verity","4","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","829","69.900"
"SA","190","Sturt","0","POSTAL","42052","ON","Pauline Hanson's One Nation","BOGATEC","Peter","5","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","521","75.840"
"SA","190","Sturt","0","POSTAL","42052","ON","Pauline Hanson's One Nation","BOGATEC","Peter","5","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","166","24.160"
"SA","190","Sturt","0","POSTAL","41052","CYA","Trumpet of Patriots","DUFFIELD","Nicholas","6","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","265","62.350"
"SA","190","Sturt","0","POSTAL","41052","CYA","Trumpet of Patriots","DUFFIELD","Nicholas","6","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","160","37.650"
"SA","190","Sturt","0","POSTAL","41034","GRN","Australian Greens","McCUSKER","Katie","7","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","234","12.450"
"SA","190","Sturt","0","POSTAL","41034","GRN","Australian Greens","McCUSKER","Katie","7","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","1645","87.550"
"SA","190","Sturt","0","PRE_POLL","0","","","First Preferences","","0","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","1062","45.910"
"SA","190","Sturt","0","PRE_POLL","0","","","First Preferences","","0","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","1251","54.090"
"SA","190","Sturt","0","PRE_POLL","41061","FFPA","Family First Party Australia","MERVIN JOSHUA","","2","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","38","56.720"
"SA","190","Sturt","0","PRE_POLL","41061","FFPA","Family First Party Australia","MERVIN JOSHUA","","2","41209","ALP","Australian Labor Party (South Australian Branch)","CLUTTERHAM","Claire","1","29","43.280"
"SA","190","Sturt","0","PRE_POLL","40618","IND","Independent","COOPER","Verity","4","41042","LP","Liberal Party of Australia (S.A. Division)","STEVENS","James","3","67","35.640"
