2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"TAS","192","Bass","0","ABSENT","0","","","First Preferences","","0","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","456","45.970"
"TAS","192","Bass","0","ABSENT","0","","","First Preferences","","0","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","536","54.030"
"TAS","192","Bass","0","ABSENT","40738","CEC","Australian Citizens Party","LARNER","Caroline","2","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","9","60.000"
"TAS","192","Bass","0","ABSENT","40738","CEC","Australian Citizens Party","LARNER","Caroline","2","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","6","40.000"
"TAS","192","Bass","0","ABSENT","42067","ON","Pauline Hanson's One Nation","POTTER","Jordan","4","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","47","35.070"
"TAS","192","Bass","0","ABSENT","42067","ON","Pauline Hanson's One Nation","POTTER","Jordan","4","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","87","64.930"
"TAS","192","Bass","0","ABSENT","41322","GRN","Australian Greens","McLENNAN","Charlene","5","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","245","87.810"
"TAS","192","Bass","0","ABSENT","41322","GRN","Australian Greens","McLENNAN","Charlene","5","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","34","12.190"
"TAS","192","Bass","0","ABSENT","36070","IND","Independent","RAZAY","George","6","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","45","46.880"
"TAS","192","Bass","0","ABSENT","36070","IND","Independent","RAZAY","George","6","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","51","53.130"
"TAS","192","Bass","0","ABSENT","42108","CYA","Trumpet of Patriots","BROOMHALL","Ray","7","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","21","36.840"
"TAS","192","Bass","0","ABSENT","42108","CYA","Trumpet of Patriots","BROOMHALL","Ray","7","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","36","63.160"
"TAS","192","Bass","0","POSTAL","0","","","First Preferences","","0","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","3978","51.240"
"TAS","192","Bass","0","POSTAL","0","","","First Preferences","","0","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","3786","48.760"
"TAS","192","Bass","0","POSTAL","40738","CEC","Australian Citizens Party","LARNER","Caroline","2","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","66","57.390"
"TAS","192","Bass","0","POSTAL","40738","CEC","Australian Citizens Party","LARNER","Caroline","2","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","49","42.610"
"TAS","192","Bass","0","POSTAL","42067","ON","Pauline Hanson's One Nation","POTTER","Jordan","4","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","247","37.830"
"TAS","192","Bass","0","POSTAL","42067","ON","Pauline Hanson's One Nation","POTTER","Jordan","4","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","406","62.170"
"TAS","192","Bass","0","POSTAL","41322","GRN","Australian Greens","McLENNAN","Charlene","5","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","774","83.410"
"TAS","192","Bass","0","POSTAL","41322","GRN","Australian Greens","McLENNAN","Charlene","5","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","154","16.590"
"TAS","192","Bass","0","POSTAL","36070","IND","Independent","RAZAY","George","6","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","307","55.620"
"TAS","192","Bass","0","POSTAL","36070","IND","Independent","RAZAY","George","6","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","245","44.380"
"TAS","192","Bass","0","POSTAL","42108","CYA","Trumpet of Patriots","BROOMHALL","Ray","7","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","108","34.730"
"TAS","192","Bass","0","POSTAL","42108","CYA","Trumpet of Patriots","BROOMHALL","Ray","7","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","203","65.270"
"TAS","192","Bass","0","PRE_POLL","0","","","First Preferences","","0","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","601","48.700"
"TAS","192","Bass","0","PRE_POLL","0","","","First Preferences","","0","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","633","51.300"
"TAS","192","Bass","0","PRE_POLL","40738","CEC","Australian Citizens Party","LARNER","Caroline","2","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","9","52.940"
"TAS","192","Bass","0","PRE_POLL","40738","CEC","Australian Citizens Party","LARNER","Caroline","2","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","8","47.060"
"TAS","192","Bass","0","PRE_POLL","42067","ON","Pauline Hanson's One Nation","POTTER","Jordan","4","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","34","25.760"
"TAS","192","Bass","0","PRE_POLL","42067","ON","Pauline Hanson's One Nation","POTTER","Jordan","4","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","98","74.240"
"TAS","192","Bass","0","PRE_POLL","41322","GRN","Australian Greens","McLENNAN","Charlene","5","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","282","91.860"
"TAS","192","Bass","0","PRE_POLL","41322","GRN","Australian Greens","McLENNAN","Charlene","5","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","25","8.140"
"TAS","192","Bass","0","PRE_POLL","36070","IND","Independent","RAZAY","George","6","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","52","61.900"
"TAS","192","Bass","0","PRE_POLL","36070","IND","Independent","RAZAY","George","6","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","32","38.100"
"TAS","192","Bass","0","PRE_POLL","42108","CYA","Trumpet of Patriots","BROOMHALL","Ray","7","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","17","34.000"
"TAS","192","Bass","0","PRE_POLL","42108","CYA","Trumpet of Patriots","BROOMHALL","Ray","7","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","33","66.000"
"TAS","192","Bass","0","PROVISIONAL","0","","","First Preferences","","0","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","105","67.310"
"TAS","192","Bass","0","PROVISIONAL","0","","","First Preferences","","0","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","51","32.690"
"TAS","192","Bass","0","PROVISIONAL","40738","CEC","Australian Citizens Party","LARNER","Caroline","2","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","1","100.000"
"TAS","192","Bass","0","PROVISIONAL","40738","CEC","Australian Citizens Party","LARNER","Caroline","2","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","0","0.000"
"TAS","192","Bass","0","PROVISIONAL","42067","ON","Pauline Hanson's One Nation","POTTER","Jordan","4","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","5","33.330"
"TAS","192","Bass","0","PROVISIONAL","42067","ON","Pauline Hanson's One Nation","POTTER","Jordan","4","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","10","66.670"
"TAS","192","Bass","0","PROVISIONAL","41322","GRN","Australian Greens","McLENNAN","Charlene","5","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","27","81.820"
"TAS","192","Bass","0","PROVISIONAL","41322","GRN","Australian Greens","McLENNAN","Charlene","5","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","6","18.180"
"TAS","192","Bass","0","PROVISIONAL","36070","IND","Independent","RAZAY","George","6","41546","ALP","Australian Labor Party (Tasmanian Branch)","TEESDALE","Jess","1","6","42.860"
"TAS","192","Bass","0","PROVISIONAL","36070","IND","Independent","RAZAY","George","6","40756","LP","Liberal Party of Australia - Tasmanian Division","ARCHER","Bridget Kathleen","3","8","57.140"
