2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"TAS","319","Clark","0","ABSENT","0","","","First Preferences","","0","33553","IND","Independent","WILKIE","Andrew","1","1063","66.230"
"TAS","319","Clark","0","ABSENT","0","","","First Preferences","","0","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","542","33.770"
"TAS","319","Clark","0","ABSENT","41157","GRN","Australian Greens","SHELLEY","Janet","2","33553","IND","Independent","WILKIE","Andrew","1","260","59.090"
"TAS","319","Clark","0","ABSENT","41157","GRN","Australian Greens","SHELLEY","Janet","2","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","180","40.910"
"TAS","319","Clark","0","ABSENT","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","33553","IND","Independent","WILKIE","Andrew","1","191","61.410"
"TAS","319","Clark","0","ABSENT","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","120","38.590"
"TAS","319","Clark","0","ABSENT","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","46","30.670"
"TAS","319","Clark","0","ABSENT","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","33553","IND","Independent","WILKIE","Andrew","1","104","69.330"
"TAS","319","Clark","0","POSTAL","0","","","First Preferences","","0","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","1521","26.670"
"TAS","319","Clark","0","POSTAL","0","","","First Preferences","","0","33553","IND","Independent","WILKIE","Andrew","1","4182","73.330"
"TAS","319","Clark","0","POSTAL","41157","GRN","Australian Greens","SHELLEY","Janet","2","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","200","31.010"
"TAS","319","Clark","0","POSTAL","41157","GRN","Australian Greens","SHELLEY","Janet","2","33553","IND","Independent","WILKIE","Andrew","1","445","68.990"
"TAS","319","Clark","0","POSTAL","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","417","31.570"
"TAS","319","Clark","0","POSTAL","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","33553","IND","Independent","WILKIE","Andrew","1","904","68.430"
"TAS","319","Clark","0","POSTAL","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","131","34.380"
"TAS","319","Clark","0","POSTAL","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","33553","IND","Independent","WILKIE","Andrew","1","250","65.620"
"TAS","319","Clark","0","PRE_POLL","0","","","First Preferences","","0","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","477","30.950"
"TAS","319","Clark","0","PRE_POLL","0","","","First Preferences","","0","33553","IND","Independent","WILKIE","Andrew","1","1064","69.050"
"TAS","319","Clark","0","PRE_POLL","41157","GRN","Australian Greens","SHELLEY","Janet","2","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","156","35.210"
"TAS","319","Clark","0","PRE_POLL","41157","GRN","Australian Greens","SHELLEY","Janet","2","33553","IND","Independent","WILKIE","Andrew","1","287","64.790"
"TAS","319","Clark","0","PRE_POLL","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","123","35.040"
"TAS","319","Clark","0","PRE_POLL","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","33553","IND","Independent","WILKIE","Andrew","1","228","64.960"
"TAS","319","Clark","0","PRE_POLL","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","28","26.670"
"TAS","319","Clark","0","PRE_POLL","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","33553","IND","Independent","WILKIE","Andrew","1","77","73.330"
"TAS","319","Clark","0","PROVISIONAL","0","","","First Preferences","","0","33553","IND","Independent","WILKIE","Andrew","1","85","68.550"
"TAS","319","Clark","0","PROVISIONAL","0","","","First Preferences","","0","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","39","31.450"
"TAS","319","Clark","0","PROVISIONAL","41157","GRN","Australian Greens","SHELLEY","Janet","2","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","10","29.410"
"TAS","319","Clark","0","PROVISIONAL","41157","GRN","Australian Greens","SHELLEY","Janet","2","33553","IND","Independent","WILKIE","Andrew","1","24","70.590"
"TAS","319","Clark","0","PROVISIONAL","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","7","25.930"
"TAS","319","Clark","0","PROVISIONAL","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","33553","IND","Independent","WILKIE","Andrew","1","20","74.070"
"TAS","319","Clark","0","PROVISIONAL","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","4","40.000"
"TAS","319","Clark","0","PROVISIONAL","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","33553","IND","Independent","WILKIE","Andrew","1","6","60.000"
"TAS","319","Clark","8442","Battery Point","0","","","First Preferences","","0","33553","IND","Independent","WILKIE","Andrew","1","458","82.370"
"TAS","319","Clark","8442","Battery Point","0","","","First Preferences","","0","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","98","17.630"
"TAS","319","Clark","8442","Battery Point","41157","GRN","Australian Greens","SHELLEY","Janet","2","33553","IND","Independent","WILKIE","Andrew","1","109","85.830"
"TAS","319","Clark","8442","Battery Point","41157","GRN","Australian Greens","SHELLEY","Janet","2","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","18","14.170"
"TAS","319","Clark","8442","Battery Point","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","44","28.210"
"TAS","319","Clark","8442","Battery Point","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","33553","IND","Independent","WILKIE","Andrew","1","112","71.790"
"TAS","319","Clark","8442","Battery Point","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","33553","IND","Independent","WILKIE","Andrew","1","14","73.680"
"TAS","319","Clark","8442","Battery Point","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","5","26.320"
"TAS","319","Clark","8443","Moonah East","0","","","First Preferences","","0","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","359","32.790"
"TAS","319","Clark","8443","Moonah East","0","","","First Preferences","","0","33553","IND","Independent","WILKIE","Andrew","1","736","67.210"
"TAS","319","Clark","8443","Moonah East","41157","GRN","Australian Greens","SHELLEY","Janet","2","33553","IND","Independent","WILKIE","Andrew","1","190","69.090"
"TAS","319","Clark","8443","Moonah East","41157","GRN","Australian Greens","SHELLEY","Janet","2","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","85","30.910"
"TAS","319","Clark","8443","Moonah East","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","33553","IND","Independent","WILKIE","Andrew","1","94","61.040"
"TAS","319","Clark","8443","Moonah East","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","60","38.960"
"TAS","319","Clark","8443","Moonah East","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","33553","IND","Independent","WILKIE","Andrew","1","40","65.570"
"TAS","319","Clark","8443","Moonah East","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","21","34.430"
"TAS","319","Clark","8445","Cascades","0","","","First Preferences","","0","33553","IND","Independent","WILKIE","Andrew","1","598","85.310"
"TAS","319","Clark","8445","Cascades","0","","","First Preferences","","0","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","103","14.690"
"TAS","319","Clark","8445","Cascades","41157","GRN","Australian Greens","SHELLEY","Janet","2","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","32","13.110"
"TAS","319","Clark","8445","Cascades","41157","GRN","Australian Greens","SHELLEY","Janet","2","33553","IND","Independent","WILKIE","Andrew","1","212","86.890"
"TAS","319","Clark","8445","Cascades","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","28","50.910"
"TAS","319","Clark","8445","Cascades","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","33553","IND","Independent","WILKIE","Andrew","1","27","49.090"
"TAS","319","Clark","8445","Cascades","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","33553","IND","Independent","WILKIE","Andrew","1","17","73.910"
"TAS","319","Clark","8445","Cascades","42055","ON","Pauline Hanson's One Nation","GRIGGS","Cathy","5","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","6","26.090"
"TAS","319","Clark","8446","Chigwell","0","","","First Preferences","","0","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","314","43.550"
"TAS","319","Clark","8446","Chigwell","0","","","First Preferences","","0","33553","IND","Independent","WILKIE","Andrew","1","407","56.450"
"TAS","319","Clark","8446","Chigwell","41157","GRN","Australian Greens","SHELLEY","Janet","2","33553","IND","Independent","WILKIE","Andrew","1","47","55.290"
"TAS","319","Clark","8446","Chigwell","41157","GRN","Australian Greens","SHELLEY","Janet","2","41524","ALP","Australian Labor Party (Tasmanian Branch)","HECK","Heidi","4","38","44.710"
"TAS","319","Clark","8446","Chigwell","40766","LP","Liberal Party of Australia - Tasmanian Division","DI FLORIO","Marilena","3","33553","IND","Independent","WILKIE","Andrew","1","66","54.100"
