2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"TAS","195","Franklin","0","ABSENT","0","","","First Preferences","","0","41533","ALP","Australian Labor Party (Tasmanian Branch)","COLLINS","Julie","6","908","67.410"
"TAS","195","Franklin","0","ABSENT","0","","","First Preferences","","0","40655","IND","Independent","GEORGE","Peter","2","439","32.590"
"TAS","195","Franklin","0","ABSENT","40776","LP","Liberal Party of Australia - Tasmanian Division","GARVIN","Josh","1","41533","ALP","Australian Labor Party (Tasmanian Branch)","COLLINS","Julie","6","225","48.080"
"TAS","195","Franklin","0","ABSENT","40776","LP","Liberal Party of Australia - Tasmanian Division","GARVIN","Josh","1","40655","IND","Independent","GEORGE","Peter","2","243","51.920"
"TAS","195","Franklin","0","ABSENT","40733","IND","Independent","BLOMELEY","Brendan","3","41533","ALP","Australian Labor Party (Tasmanian Branch)","COLLINS","Julie","6","47","45.630"
"TAS","195","Franklin","0","ABSENT","40733","IND","Independent","BLOMELEY","Brendan","3","40655","IND","Independent","GEORGE","Peter","2","56","54.370"
"TAS","195","Franklin","0","ABSENT","42053","ON","Pauline Hanson's One Nation","POPESCU","Stefan","4","40655","IND","Independent","GEORGE","Peter","2","104","65.410"
"TAS","195","Franklin","0","ABSENT","42053","ON","Pauline Hanson's One Nation","POPESCU","Stefan","4","41533","ALP","Australian Labor Party (Tasmanian Branch)","COLLINS","Julie","6","55","34.590"
"TAS","195","Franklin","0","ABSENT","41159","GRN","Australian Greens","FITZGERALD","Owen","5","41533","ALP","Australian Labor Party (Tasmanian Branch)","COLLINS","Julie","6","223","52.970"
"TAS","195","Franklin","0","ABSENT","41159","GRN","Australian Greens","FITZGERALD","Owen","5","40655","IND","Independent","GEORGE","Peter","2","198","47.030"
"TAS","195","Franklin","0","POSTAL","0","","","First Preferences","","0","41533","ALP","Australian Labor Party (Tasmanian Branch)","COLLINS","Julie","6","3479","68.460"
"TAS","195","Franklin","0","POSTAL","0","","","First Preferences","","0","40655","IND","Independent","GEORGE","Peter","2","1603","31.540"
"TAS","195","Franklin","0","POSTAL","40776","LP","Liberal Party of Australia - Tasmanian Division","GARVIN","Josh","1","40655","IND","Independent","GEORGE","Peter","2","992","47.920"
"TAS","195","Franklin","0","POSTAL","40776","LP","Liberal Party of Australia - Tasmanian Division","GARVIN","Josh","1","41533","ALP","Australian Labor Party (Tasmanian Branch)","COLLINS","Julie","6","1078","52.080"
"TAS","195","Franklin","0","POSTAL","40733","IND","Independent","BLOMELEY","Brendan","3","40655","IND","Independent","GEORGE","Peter","2","261","51.990"
"TAS","195","Franklin","0","POSTAL","40733","IND","Independent","BLOMELEY","Brendan","3","41533","ALP","Australian Labor Party (Tasmanian Branch)","COLLINS","Julie","6","241","48.010"
"TAS","195","Franklin","0","POSTAL","42053","ON","Pauline Hanson's One Nation","POPESCU","Stefan","4","40655","IND","Independent","GEORGE","Peter","2","319","64.440"
"TAS","195","Franklin","0","POSTAL","42053","ON","Pauline Hanson's One Nation","POPESCU","Stefan","4","41533","ALP","Australian Labor Party (Tasmanian Branch)","COLLINS","Julie","6","176","35.560"
"TAS","195","Franklin","0","POSTAL","41159","GRN","Australian Greens","FITZGERALD","Owen","5","40655","IND","Independent","GEORGE","Peter","2","385","52.240"
