2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"TAS","196","Lyons","0","ABSENT","0","","","First Preferences","","0","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","736","35.150"
"TAS","196","Lyons","0","ABSENT","0","","","First Preferences","","0","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","1358","64.850"
"TAS","196","Lyons","0","ABSENT","42110","CYA","Trumpet of Patriots","GRAHAM","Sarah","1","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","134","65.050"
"TAS","196","Lyons","0","ABSENT","42110","CYA","Trumpet of Patriots","GRAHAM","Sarah","1","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","72","34.950"
"TAS","196","Lyons","0","ABSENT","40736","CEC","Australian Citizens Party","PHIBBS","Michael","2","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","14","60.870"
"TAS","196","Lyons","0","ABSENT","40736","CEC","Australian Citizens Party","PHIBBS","Michael","2","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","9","39.130"
"TAS","196","Lyons","0","ABSENT","41158","GRN","Australian Greens","ALLAN","Alistair","3","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","460","87.290"
"TAS","196","Lyons","0","ABSENT","41158","GRN","Australian Greens","ALLAN","Alistair","3","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","67","12.710"
"TAS","196","Lyons","0","ABSENT","42058","ON","Pauline Hanson's One Nation","BROADBY","Shaun","5","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","126","62.380"
"TAS","196","Lyons","0","ABSENT","42058","ON","Pauline Hanson's One Nation","BROADBY","Shaun","5","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","76","37.620"
"TAS","196","Lyons","0","ABSENT","40656","IND","Independent","OFFORD","Angela","6","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","98","66.670"
"TAS","196","Lyons","0","ABSENT","40656","IND","Independent","OFFORD","Angela","6","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","49","33.330"
"TAS","196","Lyons","0","ABSENT","41838","ASP","Shooters, Fishers and Farmers Party","DI FALCO","Carlo","7","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","101","54.590"
"TAS","196","Lyons","0","ABSENT","41838","ASP","Shooters, Fishers and Farmers Party","DI FALCO","Carlo","7","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","84","45.410"
"TAS","196","Lyons","0","POSTAL","0","","","First Preferences","","0","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","4457","60.170"
"TAS","196","Lyons","0","POSTAL","0","","","First Preferences","","0","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","2950","39.830"
"TAS","196","Lyons","0","POSTAL","42110","CYA","Trumpet of Patriots","GRAHAM","Sarah","1","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","146","34.270"
"TAS","196","Lyons","0","POSTAL","42110","CYA","Trumpet of Patriots","GRAHAM","Sarah","1","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","280","65.730"
"TAS","196","Lyons","0","POSTAL","40736","CEC","Australian Citizens Party","PHIBBS","Michael","2","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","23","41.070"
"TAS","196","Lyons","0","POSTAL","40736","CEC","Australian Citizens Party","PHIBBS","Michael","2","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","33","58.930"
"TAS","196","Lyons","0","POSTAL","41158","GRN","Australian Greens","ALLAN","Alistair","3","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","727","87.700"
"TAS","196","Lyons","0","POSTAL","41158","GRN","Australian Greens","ALLAN","Alistair","3","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","102","12.300"
"TAS","196","Lyons","0","POSTAL","42058","ON","Pauline Hanson's One Nation","BROADBY","Shaun","5","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","248","36.360"
"TAS","196","Lyons","0","POSTAL","42058","ON","Pauline Hanson's One Nation","BROADBY","Shaun","5","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","434","63.640"
"TAS","196","Lyons","0","POSTAL","40656","IND","Independent","OFFORD","Angela","6","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","226","65.700"
"TAS","196","Lyons","0","POSTAL","40656","IND","Independent","OFFORD","Angela","6","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","118","34.300"
"TAS","196","Lyons","0","POSTAL","41838","ASP","Shooters, Fishers and Farmers Party","DI FALCO","Carlo","7","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","248","49.900"
"TAS","196","Lyons","0","POSTAL","41838","ASP","Shooters, Fishers and Farmers Party","DI FALCO","Carlo","7","40784","LP","Liberal Party of Australia - Tasmanian Division","BOWER","Susie","4","249","50.100"
"TAS","196","Lyons","0","PRE_POLL","0","","","First Preferences","","0","41538","ALP","Australian Labor Party (Tasmanian Branch)","WHITE","Rebecca","8","673","58.270"
