2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","203","Calwell","0","ABSENT","0","","","First Preferences","","0","40860","ALP","Australian Labor Party (Victorian Branch)","ABDO","Basem","9","1132","75.720"
"VIC","203","Calwell","0","ABSENT","0","","","First Preferences","","0","40630","IND","Independent","MOORE","Carly","1","363","24.280"
"VIC","203","Calwell","0","ABSENT","41604","FFPA","Family First Party Australia","BENGTSSON","Maria","2","40860","ALP","Australian Labor Party (Victorian Branch)","ABDO","Basem","9","64","40.760"
"VIC","203","Calwell","0","ABSENT","41604","FFPA","Family First Party Australia","BENGTSSON","Maria","2","40630","IND","Independent","MOORE","Carly","1","93","59.240"
"VIC","203","Calwell","0","ABSENT","41232","HMP","Legalise Cannabis Australia","DEL ROSARIO-MAKRIDIS","Gianni","3","40630","IND","Independent","MOORE","Carly","1","130","53.500"
"VIC","203","Calwell","0","ABSENT","41232","HMP","Legalise Cannabis Australia","DEL ROSARIO-MAKRIDIS","Gianni","3","40860","ALP","Australian Labor Party (Victorian Branch)","ABDO","Basem","9","113","46.500"
"VIC","203","Calwell","0","ABSENT","42008","IND","Independent","MOSLIH","Samim","4","40630","IND","Independent","MOORE","Carly","1","34","18.680"
"VIC","203","Calwell","0","ABSENT","42008","IND","Independent","MOSLIH","Samim","4","40860","ALP","Australian Labor Party (Victorian Branch)","ABDO","Basem","9","148","81.320"
"VIC","203","Calwell","0","ABSENT","41525","ON","Pauline Hanson's One Nation","TOMA","Luay","5","40860","ALP","Australian Labor Party (Victorian Branch)","ABDO","Basem","9","57","28.930"
"VIC","203","Calwell","0","ABSENT","41525","ON","Pauline Hanson's One Nation","TOMA","Luay","5","40630","IND","Independent","MOORE","Carly","1","140","71.070"
"VIC","203","Calwell","0","ABSENT","40654","IND","Independent","YOUHANA","Joseph","6","40630","IND","Independent","MOORE","Carly","1","85","56.290"
"VIC","203","Calwell","0","ABSENT","40654","IND","Independent","YOUHANA","Joseph","6","40860","ALP","Australian Labor Party (Victorian Branch)","ABDO","Basem","9","66","43.710"
"VIC","203","Calwell","0","ABSENT","41084","GVIC","The Australian Greens - Victoria","GARCHA","Ravneet Kaur","7","40860","ALP","Australian Labor Party (Victorian Branch)","ABDO","Basem","9","383","70.790"
"VIC","203","Calwell","0","ABSENT","41084","GVIC","The Australian Greens - Victoria","GARCHA","Ravneet Kaur","7","40630","IND","Independent","MOORE","Carly","1","158","29.210"
"VIC","203","Calwell","0","ABSENT","41362","CYA","Trumpet of Patriots","ISSA","Assaad","8","40630","IND","Independent","MOORE","Carly","1","74","55.220"
"VIC","203","Calwell","0","ABSENT","41362","CYA","Trumpet of Patriots","ISSA","Assaad","8","40860","ALP","Australian Labor Party (Victorian Branch)","ABDO","Basem","9","60","44.780"
"VIC","203","Calwell","0","ABSENT","41196","","Non Affiliated","PEACH","Morgan","10","40860","ALP","Australian Labor Party (Victorian Branch)","ABDO","Basem","9","13","44.830"
"VIC","203","Calwell","0","ABSENT","41196","","Non Affiliated","PEACH","Morgan","10","40630","IND","Independent","MOORE","Carly","1","16","55.170"
"VIC","203","Calwell","0","ABSENT","40700","CEC","Australian Citizens Party","HAWLI","Bassima","11","40630","IND","Independent","MOORE","Carly","1","38","34.860"
