2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","204","Casey","0","ABSENT","0","","","First Preferences","","0","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","971","46.370"
"VIC","204","Casey","0","ABSENT","0","","","First Preferences","","0","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","1123","53.630"
"VIC","204","Casey","0","ABSENT","41389","CYA","Trumpet of Patriots","COURTIS","Phillip","1","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","78","40.210"
"VIC","204","Casey","0","ABSENT","41389","CYA","Trumpet of Patriots","COURTIS","Phillip","1","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","116","59.790"
"VIC","204","Casey","0","ABSENT","41507","ON","Pauline Hanson's One Nation","LIVORI","Ambere","2","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","60","21.350"
"VIC","204","Casey","0","ABSENT","41507","ON","Pauline Hanson's One Nation","LIVORI","Ambere","2","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","221","78.650"
"VIC","204","Casey","0","ABSENT","41319","AJP","Animal Justice Party","BOND","Chloe","3","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","99","72.260"
"VIC","204","Casey","0","ABSENT","41319","AJP","Animal Justice Party","BOND","Chloe","3","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","38","27.740"
"VIC","204","Casey","0","ABSENT","41576","FFPA","Family First Party Australia","NEBAUER","Dan","4","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","83","66.400"
"VIC","204","Casey","0","ABSENT","41576","FFPA","Family First Party Australia","NEBAUER","Dan","4","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","42","33.600"
"VIC","204","Casey","0","ABSENT","41083","GVIC","The Australian Greens - Victoria","BLAIR","Merran","5","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","82","11.220"
"VIC","204","Casey","0","ABSENT","41083","GVIC","The Australian Greens - Victoria","BLAIR","Merran","5","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","649","88.780"
"VIC","204","Casey","0","ABSENT","36746","IND","Independent","FERRES MILES","Claire","7","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","72","23.840"
"VIC","204","Casey","0","ABSENT","36746","IND","Independent","FERRES MILES","Claire","7","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","230","76.160"
"VIC","204","Casey","0","POSTAL","0","","","First Preferences","","0","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","9840","68.440"
"VIC","204","Casey","0","POSTAL","0","","","First Preferences","","0","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","4538","31.560"
"VIC","204","Casey","0","POSTAL","41389","CYA","Trumpet of Patriots","COURTIS","Phillip","1","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","458","67.950"
"VIC","204","Casey","0","POSTAL","41389","CYA","Trumpet of Patriots","COURTIS","Phillip","1","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","216","32.050"
"VIC","204","Casey","0","POSTAL","41507","ON","Pauline Hanson's One Nation","LIVORI","Ambere","2","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","754","77.650"
"VIC","204","Casey","0","POSTAL","41507","ON","Pauline Hanson's One Nation","LIVORI","Ambere","2","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","217","22.350"
"VIC","204","Casey","0","POSTAL","41319","AJP","Animal Justice Party","BOND","Chloe","3","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","141","28.370"
"VIC","204","Casey","0","POSTAL","41319","AJP","Animal Justice Party","BOND","Chloe","3","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","356","71.630"
"VIC","204","Casey","0","POSTAL","41576","FFPA","Family First Party Australia","NEBAUER","Dan","4","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","302","75.690"
"VIC","204","Casey","0","POSTAL","41576","FFPA","Family First Party Australia","NEBAUER","Dan","4","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","97","24.310"
"VIC","204","Casey","0","POSTAL","41083","GVIC","The Australian Greens - Victoria","BLAIR","Merran","5","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","134","9.980"
"VIC","204","Casey","0","POSTAL","41083","GVIC","The Australian Greens - Victoria","BLAIR","Merran","5","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","1209","90.020"
"VIC","204","Casey","0","POSTAL","36746","IND","Independent","FERRES MILES","Claire","7","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","389","23.430"
"VIC","204","Casey","0","POSTAL","36746","IND","Independent","FERRES MILES","Claire","7","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","1271","76.570"
"VIC","204","Casey","0","PRE_POLL","0","","","First Preferences","","0","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","756","39.920"
"VIC","204","Casey","0","PRE_POLL","0","","","First Preferences","","0","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","1138","60.080"
"VIC","204","Casey","0","PRE_POLL","41389","CYA","Trumpet of Patriots","COURTIS","Phillip","1","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","90","66.180"
"VIC","204","Casey","0","PRE_POLL","41389","CYA","Trumpet of Patriots","COURTIS","Phillip","1","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","46","33.820"
"VIC","204","Casey","0","PRE_POLL","41507","ON","Pauline Hanson's One Nation","LIVORI","Ambere","2","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","135","75.840"
"VIC","204","Casey","0","PRE_POLL","41507","ON","Pauline Hanson's One Nation","LIVORI","Ambere","2","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","43","24.160"
"VIC","204","Casey","0","PRE_POLL","41319","AJP","Animal Justice Party","BOND","Chloe","3","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","19","30.650"
"VIC","204","Casey","0","PRE_POLL","41319","AJP","Animal Justice Party","BOND","Chloe","3","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","43","69.350"
"VIC","204","Casey","0","PRE_POLL","41576","FFPA","Family First Party Australia","NEBAUER","Dan","4","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","74","79.570"
"VIC","204","Casey","0","PRE_POLL","41576","FFPA","Family First Party Australia","NEBAUER","Dan","4","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","19","20.430"
"VIC","204","Casey","0","PRE_POLL","41083","GVIC","The Australian Greens - Victoria","BLAIR","Merran","5","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","47","10.780"
"VIC","204","Casey","0","PRE_POLL","41083","GVIC","The Australian Greens - Victoria","BLAIR","Merran","5","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","389","89.220"
"VIC","204","Casey","0","PRE_POLL","36746","IND","Independent","FERRES MILES","Claire","7","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","42","15.160"
"VIC","204","Casey","0","PRE_POLL","36746","IND","Independent","FERRES MILES","Claire","7","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","235","84.840"
"VIC","204","Casey","0","PROVISIONAL","0","","","First Preferences","","0","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","39","50.000"
"VIC","204","Casey","0","PROVISIONAL","0","","","First Preferences","","0","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","39","50.000"
"VIC","204","Casey","0","PROVISIONAL","41389","CYA","Trumpet of Patriots","COURTIS","Phillip","1","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","7","77.780"
"VIC","204","Casey","0","PROVISIONAL","41389","CYA","Trumpet of Patriots","COURTIS","Phillip","1","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","2","22.220"
"VIC","204","Casey","0","PROVISIONAL","41507","ON","Pauline Hanson's One Nation","LIVORI","Ambere","2","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","6","85.710"
"VIC","204","Casey","0","PROVISIONAL","41507","ON","Pauline Hanson's One Nation","LIVORI","Ambere","2","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","1","14.290"
"VIC","204","Casey","0","PROVISIONAL","41319","AJP","Animal Justice Party","BOND","Chloe","3","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","4","57.140"
"VIC","204","Casey","0","PROVISIONAL","41319","AJP","Animal Justice Party","BOND","Chloe","3","40857","ALP","Australian Labor Party (Victorian Branch)","OAKLEY","Naomi","6","3","42.860"
"VIC","204","Casey","0","PROVISIONAL","41576","FFPA","Family First Party Australia","NEBAUER","Dan","4","40757","LP","Liberal Party of Australia (Victorian Division)","VIOLI","Aaron","8","6","85.710"
