2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","320","Cooper","0","ABSENT","0","","","First Preferences","","0","40856","ALP","Australian Labor Party (Victorian Branch)","KEARNEY","Ged","2","1658","50.440"
"VIC","320","Cooper","0","ABSENT","0","","","First Preferences","","0","41089","GVIC","The Australian Greens - Victoria","BURNETT","Tara","3","1629","49.560"
"VIC","320","Cooper","0","ABSENT","41564","ON","Pauline Hanson's One Nation","TURNER","William","1","40856","ALP","Australian Labor Party (Victorian Branch)","KEARNEY","Ged","2","227","69.630"
"VIC","320","Cooper","0","ABSENT","41564","ON","Pauline Hanson's One Nation","TURNER","William","1","41089","GVIC","The Australian Greens - Victoria","BURNETT","Tara","3","99","30.370"
"VIC","320","Cooper","0","ABSENT","40767","LP","Liberal Party of Australia (Victorian Division)","TODHUNTER","Stewart","4","41089","GVIC","The Australian Greens - Victoria","BURNETT","Tara","3","262","36.850"
"VIC","320","Cooper","0","ABSENT","40767","LP","Liberal Party of Australia (Victorian Division)","TODHUNTER","Stewart","4","40856","ALP","Australian Labor Party (Victorian Branch)","KEARNEY","Ged","2","449","63.150"
"VIC","320","Cooper","0","ABSENT","41002","VNS","Victorian Socialists","LARKIN","Kath","5","41089","GVIC","The Australian Greens - Victoria","BURNETT","Tara","3","325","84.640"
"VIC","320","Cooper","0","ABSENT","41002","VNS","Victorian Socialists","LARKIN","Kath","5","40856","ALP","Australian Labor Party (Victorian Branch)","KEARNEY","Ged","2","59","15.360"
"VIC","320","Cooper","0","ABSENT","41206","HMP","Legalise Cannabis Australia","STOLZENBERG","Donna","6","41089","GVIC","The Australian Greens - Victoria","BURNETT","Tara","3","191","56.180"
"VIC","320","Cooper","0","ABSENT","41206","HMP","Legalise Cannabis Australia","STOLZENBERG","Donna","6","40856","ALP","Australian Labor Party (Victorian Branch)","KEARNEY","Ged","2","149","43.820"
"VIC","320","Cooper","0","POSTAL","0","","","First Preferences","","0","40856","ALP","Australian Labor Party (Victorian Branch)","KEARNEY","Ged","2","7612","71.230"
"VIC","320","Cooper","0","POSTAL","0","","","First Preferences","","0","41089","GVIC","The Australian Greens - Victoria","BURNETT","Tara","3","3075","28.770"
"VIC","320","Cooper","0","POSTAL","41564","ON","Pauline Hanson's One Nation","TURNER","William","1","41089","GVIC","The Australian Greens - Victoria","BURNETT","Tara","3","317","29.240"
