2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","209","Deakin","0","ABSENT","0","","","First Preferences","","0","40861","ALP","Australian Labor Party (Victorian Branch)","GREGG","Matt","1","1532","53.210"
"VIC","209","Deakin","0","ABSENT","0","","","First Preferences","","0","40795","LP","Liberal Party of Australia (Victorian Division)","SUKKAR","Michael","2","1347","46.790"
"VIC","209","Deakin","0","ABSENT","40868","IND","Independent","NESS","Jess","3","40861","ALP","Australian Labor Party (Victorian Branch)","GREGG","Matt","1","177","71.950"
"VIC","209","Deakin","0","ABSENT","40868","IND","Independent","NESS","Jess","3","40795","LP","Liberal Party of Australia (Victorian Division)","SUKKAR","Michael","2","69","28.050"
"VIC","209","Deakin","0","ABSENT","41512","ON","Pauline Hanson's One Nation","COOKE","Anne","4","40861","ALP","Australian Labor Party (Victorian Branch)","GREGG","Matt","1","45","24.060"
"VIC","209","Deakin","0","ABSENT","41512","ON","Pauline Hanson's One Nation","COOKE","Anne","4","40795","LP","Liberal Party of Australia (Victorian Division)","SUKKAR","Michael","2","142","75.940"
"VIC","209","Deakin","0","ABSENT","41547","FFPA","Family First Party Australia","GRIFFITH-JONES","Richard","5","40861","ALP","Australian Labor Party (Victorian Branch)","GREGG","Matt","1","44","35.200"
"VIC","209","Deakin","0","ABSENT","41547","FFPA","Family First Party Australia","GRIFFITH-JONES","Richard","5","40795","LP","Liberal Party of Australia (Victorian Division)","SUKKAR","Michael","2","81","64.800"
"VIC","209","Deakin","0","ABSENT","41128","GVIC","The Australian Greens - Victoria","MILLS","Amy","6","40795","LP","Liberal Party of Australia (Victorian Division)","SUKKAR","Michael","2","84","10.810"
"VIC","209","Deakin","0","ABSENT","41128","GVIC","The Australian Greens - Victoria","MILLS","Amy","6","40861","ALP","Australian Labor Party (Victorian Branch)","GREGG","Matt","1","693","89.190"
"VIC","209","Deakin","0","ABSENT","41387","CYA","Trumpet of Patriots","WILDE","Milton","7","40795","LP","Liberal Party of Australia (Victorian Division)","SUKKAR","Michael","2","73","68.870"
"VIC","209","Deakin","0","ABSENT","41387","CYA","Trumpet of Patriots","WILDE","Milton","7","40861","ALP","Australian Labor Party (Victorian Branch)","GREGG","Matt","1","33","31.130"
