2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","210","Dunkley","0","ABSENT","0","","","First Preferences","","0","40864","ALP","Australian Labor Party (Victorian Branch)","BELYEA","Jodie","7","1110","53.160"
"VIC","210","Dunkley","0","ABSENT","0","","","First Preferences","","0","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","978","46.840"
"VIC","210","Dunkley","0","ABSENT","41683","IND","Independent","THURLEY","Robert","2","40864","ALP","Australian Labor Party (Victorian Branch)","BELYEA","Jodie","7","48","45.280"
"VIC","210","Dunkley","0","ABSENT","41683","IND","Independent","THURLEY","Robert","2","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","58","54.720"
"VIC","210","Dunkley","0","ABSENT","41555","ON","Pauline Hanson's One Nation","DAVIS","Jessica","3","40864","ALP","Australian Labor Party (Victorian Branch)","BELYEA","Jodie","7","78","28.360"
"VIC","210","Dunkley","0","ABSENT","41555","ON","Pauline Hanson's One Nation","DAVIS","Jessica","3","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","197","71.640"
"VIC","210","Dunkley","0","ABSENT","41560","FFPA","Family First Party Australia","NICHOLES","Peter","4","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","56","53.330"
"VIC","210","Dunkley","0","ABSENT","41560","FFPA","Family First Party Australia","NICHOLES","Peter","4","40864","ALP","Australian Labor Party (Victorian Branch)","BELYEA","Jodie","7","49","46.670"
"VIC","210","Dunkley","0","ABSENT","41129","GVIC","The Australian Greens - Victoria","MABER","Matt","5","40864","ALP","Australian Labor Party (Victorian Branch)","BELYEA","Jodie","7","510","89.790"
"VIC","210","Dunkley","0","ABSENT","41129","GVIC","The Australian Greens - Victoria","MABER","Matt","5","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","58","10.210"
"VIC","210","Dunkley","0","ABSENT","41361","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","GATLEY","Andrew","6","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","15","32.610"
"VIC","210","Dunkley","0","ABSENT","41361","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","GATLEY","Andrew","6","40864","ALP","Australian Labor Party (Victorian Branch)","BELYEA","Jodie","7","31","67.390"
"VIC","210","Dunkley","0","ABSENT","41227","HMP","Legalise Cannabis Australia","ABBOTT","Lisa","8","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","110","33.740"
"VIC","210","Dunkley","0","ABSENT","41227","HMP","Legalise Cannabis Australia","ABBOTT","Lisa","8","40864","ALP","Australian Labor Party (Victorian Branch)","BELYEA","Jodie","7","216","66.260"
"VIC","210","Dunkley","0","POSTAL","0","","","First Preferences","","0","40864","ALP","Australian Labor Party (Victorian Branch)","BELYEA","Jodie","7","8336","51.630"
"VIC","210","Dunkley","0","POSTAL","0","","","First Preferences","","0","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","7809","48.370"
"VIC","210","Dunkley","0","POSTAL","41683","IND","Independent","THURLEY","Robert","2","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","276","40.650"
"VIC","210","Dunkley","0","POSTAL","41683","IND","Independent","THURLEY","Robert","2","40864","ALP","Australian Labor Party (Victorian Branch)","BELYEA","Jodie","7","403","59.350"
"VIC","210","Dunkley","0","POSTAL","41555","ON","Pauline Hanson's One Nation","DAVIS","Jessica","3","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","1252","70.850"
"VIC","210","Dunkley","0","POSTAL","41555","ON","Pauline Hanson's One Nation","DAVIS","Jessica","3","40864","ALP","Australian Labor Party (Victorian Branch)","BELYEA","Jodie","7","515","29.150"
"VIC","210","Dunkley","0","POSTAL","41560","FFPA","Family First Party Australia","NICHOLES","Peter","4","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","296","64.910"
"VIC","210","Dunkley","0","POSTAL","41560","FFPA","Family First Party Australia","NICHOLES","Peter","4","40864","ALP","Australian Labor Party (Victorian Branch)","BELYEA","Jodie","7","160","35.090"
"VIC","210","Dunkley","0","POSTAL","41129","GVIC","The Australian Greens - Victoria","MABER","Matt","5","40803","LP","Liberal Party of Australia (Victorian Division)","CONROY","Nathan","1","180","9.590"
