2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","212","Gellibrand","0","ABSENT","0","","","First Preferences","","0","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","760","33.200"
"VIC","212","Gellibrand","0","ABSENT","0","","","First Preferences","","0","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","1529","66.800"
"VIC","212","Gellibrand","0","ABSENT","41537","ON","Pauline Hanson's One Nation","BENNETT","Stephen","2","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","80","32.790"
"VIC","212","Gellibrand","0","ABSENT","41537","ON","Pauline Hanson's One Nation","BENNETT","Stephen","2","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","164","67.210"
"VIC","212","Gellibrand","0","ABSENT","41121","GVIC","The Australian Greens - Victoria","KRISHNA PANDI","Ponraj","4","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","118","15.030"
"VIC","212","Gellibrand","0","ABSENT","41121","GVIC","The Australian Greens - Victoria","KRISHNA PANDI","Ponraj","4","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","667","84.970"
"VIC","212","Gellibrand","0","ABSENT","41577","FFPA","Family First Party Australia","GARCIA","Jo","5","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","88","45.830"
"VIC","212","Gellibrand","0","ABSENT","41577","FFPA","Family First Party Australia","GARCIA","Jo","5","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","104","54.170"
"VIC","212","Gellibrand","0","POSTAL","0","","","First Preferences","","0","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","7309","61.970"
"VIC","212","Gellibrand","0","POSTAL","0","","","First Preferences","","0","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","4485","38.030"
"VIC","212","Gellibrand","0","POSTAL","41537","ON","Pauline Hanson's One Nation","BENNETT","Stephen","2","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","386","30.660"
"VIC","212","Gellibrand","0","POSTAL","41537","ON","Pauline Hanson's One Nation","BENNETT","Stephen","2","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","873","69.340"
"VIC","212","Gellibrand","0","POSTAL","41121","GVIC","The Australian Greens - Victoria","KRISHNA PANDI","Ponraj","4","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","1685","88.310"
"VIC","212","Gellibrand","0","POSTAL","41121","GVIC","The Australian Greens - Victoria","KRISHNA PANDI","Ponraj","4","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","223","11.690"
"VIC","212","Gellibrand","0","POSTAL","41577","FFPA","Family First Party Australia","GARCIA","Jo","5","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","320","43.420"
"VIC","212","Gellibrand","0","POSTAL","41577","FFPA","Family First Party Australia","GARCIA","Jo","5","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","417","56.580"
"VIC","212","Gellibrand","0","PRE_POLL","0","","","First Preferences","","0","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","1299","62.720"
"VIC","212","Gellibrand","0","PRE_POLL","0","","","First Preferences","","0","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","772","37.280"
"VIC","212","Gellibrand","0","PRE_POLL","41537","ON","Pauline Hanson's One Nation","BENNETT","Stephen","2","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","79","33.910"
"VIC","212","Gellibrand","0","PRE_POLL","41537","ON","Pauline Hanson's One Nation","BENNETT","Stephen","2","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","154","66.090"
"VIC","212","Gellibrand","0","PRE_POLL","41121","GVIC","The Australian Greens - Victoria","KRISHNA PANDI","Ponraj","4","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","497","85.840"
"VIC","212","Gellibrand","0","PRE_POLL","41121","GVIC","The Australian Greens - Victoria","KRISHNA PANDI","Ponraj","4","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","82","14.160"
"VIC","212","Gellibrand","0","PRE_POLL","41577","FFPA","Family First Party Australia","GARCIA","Jo","5","40836","ALP","Australian Labor Party (Victorian Branch)","WATTS","Tim","1","53","42.740"
"VIC","212","Gellibrand","0","PRE_POLL","41577","FFPA","Family First Party Australia","GARCIA","Jo","5","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","71","57.260"
"VIC","212","Gellibrand","0","PROVISIONAL","0","","","First Preferences","","0","40755","LP","Liberal Party of Australia (Victorian Division)","REESON","Ben","3","27","27.270"
