2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","309","Gorton","0","ABSENT","0","","","First Preferences","","0","40743","LP","Liberal Party of Australia (Victorian Division)","FLETCHER","John","5","759","36.490"
"VIC","309","Gorton","0","ABSENT","0","","","First Preferences","","0","40823","ALP","Australian Labor Party (Victorian Branch)","JORDAN-BAIRD","Alice","3","1321","63.510"
"VIC","309","Gorton","0","ABSENT","41218","HMP","Legalise Cannabis Australia","MENTA","Xavier","1","40743","LP","Liberal Party of Australia (Victorian Division)","FLETCHER","John","5","81","24.110"
"VIC","309","Gorton","0","ABSENT","41218","HMP","Legalise Cannabis Australia","MENTA","Xavier","1","40823","ALP","Australian Labor Party (Victorian Branch)","JORDAN-BAIRD","Alice","3","255","75.890"
"VIC","309","Gorton","0","ABSENT","41313","LTP","Libertarian Party","McCATHIE","Rob","2","40743","LP","Liberal Party of Australia (Victorian Division)","FLETCHER","John","5","39","55.710"
"VIC","309","Gorton","0","ABSENT","41313","LTP","Libertarian Party","McCATHIE","Rob","2","40823","ALP","Australian Labor Party (Victorian Branch)","JORDAN-BAIRD","Alice","3","31","44.290"
"VIC","309","Gorton","0","ABSENT","41586","FFPA","Family First Party Australia","ASHTON","Kathrine","4","40743","LP","Liberal Party of Australia (Victorian Division)","FLETCHER","John","5","86","48.860"
"VIC","309","Gorton","0","ABSENT","41586","FFPA","Family First Party Australia","ASHTON","Kathrine","4","40823","ALP","Australian Labor Party (Victorian Branch)","JORDAN-BAIRD","Alice","3","90","51.140"
"VIC","309","Gorton","0","ABSENT","41553","ON","Pauline Hanson's One Nation","REID","Alan","6","40823","ALP","Australian Labor Party (Victorian Branch)","JORDAN-BAIRD","Alice","3","75","34.400"
"VIC","309","Gorton","0","ABSENT","41553","ON","Pauline Hanson's One Nation","REID","Alan","6","40743","LP","Liberal Party of Australia (Victorian Division)","FLETCHER","John","5","143","65.600"
"VIC","309","Gorton","0","ABSENT","41107","GVIC","The Australian Greens - Victoria","HUYNH","Thuc Bao","7","40823","ALP","Australian Labor Party (Victorian Branch)","JORDAN-BAIRD","Alice","3","485","80.430"
"VIC","309","Gorton","0","ABSENT","41107","GVIC","The Australian Greens - Victoria","HUYNH","Thuc Bao","7","40743","LP","Liberal Party of Australia (Victorian Division)","FLETCHER","John","5","118","19.570"
"VIC","309","Gorton","0","POSTAL","0","","","First Preferences","","0","40743","LP","Liberal Party of Australia (Victorian Division)","FLETCHER","John","5","6975","41.760"
"VIC","309","Gorton","0","POSTAL","0","","","First Preferences","","0","40823","ALP","Australian Labor Party (Victorian Branch)","JORDAN-BAIRD","Alice","3","9726","58.240"
"VIC","309","Gorton","0","POSTAL","41218","HMP","Legalise Cannabis Australia","MENTA","Xavier","1","40823","ALP","Australian Labor Party (Victorian Branch)","JORDAN-BAIRD","Alice","3","906","68.580"
