2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","326","Hawke","0","ABSENT","0","","","First Preferences","","0","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","727","41.780"
"VIC","326","Hawke","0","ABSENT","0","","","First Preferences","","0","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","1013","58.220"
"VIC","326","Hawke","0","ABSENT","41600","FFPA","Family First Party Australia","MILUTINOVIC","Melanie","1","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","126","58.880"
"VIC","326","Hawke","0","ABSENT","41600","FFPA","Family First Party Australia","MILUTINOVIC","Melanie","1","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","88","41.120"
"VIC","326","Hawke","0","ABSENT","41240","HMP","Legalise Cannabis Australia","STARBUCK","Devon","2","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","217","68.240"
"VIC","326","Hawke","0","ABSENT","41240","HMP","Legalise Cannabis Australia","STARBUCK","Devon","2","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","101","31.760"
"VIC","326","Hawke","0","ABSENT","41101","GVIC","The Australian Greens - Victoria","NEWMAN","Sarah","3","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","52","12.060"
"VIC","326","Hawke","0","ABSENT","41101","GVIC","The Australian Greens - Victoria","NEWMAN","Sarah","3","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","379","87.940"
"VIC","326","Hawke","0","ABSENT","41320","AJP","Animal Justice Party","ADIN-JAMES","Fiona","4","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","41","66.130"
"VIC","326","Hawke","0","ABSENT","41320","AJP","Animal Justice Party","ADIN-JAMES","Fiona","4","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","21","33.870"
"VIC","326","Hawke","0","ABSENT","41630","ON","Pauline Hanson's One Nation","KATSELIS","Matthew","7","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","111","32.650"
"VIC","326","Hawke","0","ABSENT","41630","ON","Pauline Hanson's One Nation","KATSELIS","Matthew","7","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","229","67.350"
"VIC","326","Hawke","0","POSTAL","0","","","First Preferences","","0","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","7434","54.450"
"VIC","326","Hawke","0","POSTAL","0","","","First Preferences","","0","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","6218","45.550"
"VIC","326","Hawke","0","POSTAL","41600","FFPA","Family First Party Australia","MILUTINOVIC","Melanie","1","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","454","51.420"
"VIC","326","Hawke","0","POSTAL","41600","FFPA","Family First Party Australia","MILUTINOVIC","Melanie","1","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","429","48.580"
"VIC","326","Hawke","0","POSTAL","41240","HMP","Legalise Cannabis Australia","STARBUCK","Devon","2","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","607","62.260"
"VIC","326","Hawke","0","POSTAL","41240","HMP","Legalise Cannabis Australia","STARBUCK","Devon","2","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","368","37.740"
"VIC","326","Hawke","0","POSTAL","41101","GVIC","The Australian Greens - Victoria","NEWMAN","Sarah","3","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","1509","89.180"
"VIC","326","Hawke","0","POSTAL","41101","GVIC","The Australian Greens - Victoria","NEWMAN","Sarah","3","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","183","10.820"
"VIC","326","Hawke","0","POSTAL","41320","AJP","Animal Justice Party","ADIN-JAMES","Fiona","4","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","350","67.310"
"VIC","326","Hawke","0","POSTAL","41320","AJP","Animal Justice Party","ADIN-JAMES","Fiona","4","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","170","32.690"
"VIC","326","Hawke","0","POSTAL","41630","ON","Pauline Hanson's One Nation","KATSELIS","Matthew","7","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","798","34.020"
"VIC","326","Hawke","0","POSTAL","41630","ON","Pauline Hanson's One Nation","KATSELIS","Matthew","7","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","1548","65.980"
"VIC","326","Hawke","0","PRE_POLL","0","","","First Preferences","","0","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","1534","44.440"
"VIC","326","Hawke","0","PRE_POLL","0","","","First Preferences","","0","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","1918","55.560"
"VIC","326","Hawke","0","PRE_POLL","41600","FFPA","Family First Party Australia","MILUTINOVIC","Melanie","1","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","157","50.970"
"VIC","326","Hawke","0","PRE_POLL","41600","FFPA","Family First Party Australia","MILUTINOVIC","Melanie","1","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","151","49.030"
"VIC","326","Hawke","0","PRE_POLL","41240","HMP","Legalise Cannabis Australia","STARBUCK","Devon","2","40829","ALP","Australian Labor Party (Victorian Branch)","RAE","Sam","5","176","63.310"
"VIC","326","Hawke","0","PRE_POLL","41240","HMP","Legalise Cannabis Australia","STARBUCK","Devon","2","40843","LP","Liberal Party of Australia (Victorian Division)","COTTOM","Simmone","6","102","36.690"
