2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","219","Isaacs","0","ABSENT","0","","","First Preferences","","0","40753","LP","Liberal Party of Australia (Victorian Division)","OTTEY","Fiona","4","1037","35.880"
"VIC","219","Isaacs","0","ABSENT","0","","","First Preferences","","0","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","1853","64.120"
"VIC","219","Isaacs","0","ABSENT","41127","GVIC","The Australian Greens - Victoria","KIRWAN","Matthew","2","40753","LP","Liberal Party of Australia (Victorian Division)","OTTEY","Fiona","4","111","13.280"
"VIC","219","Isaacs","0","ABSENT","41127","GVIC","The Australian Greens - Victoria","KIRWAN","Matthew","2","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","725","86.720"
"VIC","219","Isaacs","0","ABSENT","41543","FFPA","Family First Party Australia","HARMSE","Audrey","3","40753","LP","Liberal Party of Australia (Victorian Division)","OTTEY","Fiona","4","119","53.600"
"VIC","219","Isaacs","0","ABSENT","41543","FFPA","Family First Party Australia","HARMSE","Audrey","3","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","103","46.400"
"VIC","219","Isaacs","0","ABSENT","41619","ON","Pauline Hanson's One Nation","McMAHON","Geoff","5","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","76","26.120"
"VIC","219","Isaacs","0","ABSENT","41619","ON","Pauline Hanson's One Nation","McMAHON","Geoff","5","40753","LP","Liberal Party of Australia (Victorian Division)","OTTEY","Fiona","4","215","73.880"
"VIC","219","Isaacs","0","POSTAL","0","","","First Preferences","","0","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","9383","61.560"
"VIC","219","Isaacs","0","POSTAL","0","","","First Preferences","","0","40753","LP","Liberal Party of Australia (Victorian Division)","OTTEY","Fiona","4","5859","38.440"
"VIC","219","Isaacs","0","POSTAL","41127","GVIC","The Australian Greens - Victoria","KIRWAN","Matthew","2","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","1778","86.390"
"VIC","219","Isaacs","0","POSTAL","41127","GVIC","The Australian Greens - Victoria","KIRWAN","Matthew","2","40753","LP","Liberal Party of Australia (Victorian Division)","OTTEY","Fiona","4","280","13.610"
"VIC","219","Isaacs","0","POSTAL","41543","FFPA","Family First Party Australia","HARMSE","Audrey","3","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","337","44.170"
"VIC","219","Isaacs","0","POSTAL","41543","FFPA","Family First Party Australia","HARMSE","Audrey","3","40753","LP","Liberal Party of Australia (Victorian Division)","OTTEY","Fiona","4","426","55.830"
"VIC","219","Isaacs","0","POSTAL","41619","ON","Pauline Hanson's One Nation","McMAHON","Geoff","5","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","252","24.110"
"VIC","219","Isaacs","0","POSTAL","41619","ON","Pauline Hanson's One Nation","McMAHON","Geoff","5","40753","LP","Liberal Party of Australia (Victorian Division)","OTTEY","Fiona","4","793","75.890"
"VIC","219","Isaacs","0","PRE_POLL","0","","","First Preferences","","0","40753","LP","Liberal Party of Australia (Victorian Division)","OTTEY","Fiona","4","933","38.880"
"VIC","219","Isaacs","0","PRE_POLL","0","","","First Preferences","","0","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","1467","61.130"
"VIC","219","Isaacs","0","PRE_POLL","41127","GVIC","The Australian Greens - Victoria","KIRWAN","Matthew","2","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","521","85.970"
"VIC","219","Isaacs","0","PRE_POLL","41127","GVIC","The Australian Greens - Victoria","KIRWAN","Matthew","2","40753","LP","Liberal Party of Australia (Victorian Division)","OTTEY","Fiona","4","85","14.030"
"VIC","219","Isaacs","0","PRE_POLL","41543","FFPA","Family First Party Australia","HARMSE","Audrey","3","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","62","38.750"
"VIC","219","Isaacs","0","PRE_POLL","41543","FFPA","Family First Party Australia","HARMSE","Audrey","3","40753","LP","Liberal Party of Australia (Victorian Division)","OTTEY","Fiona","4","98","61.250"
"VIC","219","Isaacs","0","PRE_POLL","41619","ON","Pauline Hanson's One Nation","McMAHON","Geoff","5","40811","ALP","Australian Labor Party (Victorian Branch)","DREYFUS","Mark","1","45","22.390"
