2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","221","Kooyong","0","ABSENT","0","","","First Preferences","","0","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","1597","55.720"
"VIC","221","Kooyong","0","ABSENT","0","","","First Preferences","","0","36081","IND","Independent","RYAN","Monique","6","1269","44.280"
"VIC","221","Kooyong","0","ABSENT","41311","LTP","Libertarian Party","PEPPARD","Richard","1","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","77","74.040"
"VIC","221","Kooyong","0","ABSENT","41311","LTP","Libertarian Party","PEPPARD","Richard","1","36081","IND","Independent","RYAN","Monique","6","27","25.960"
"VIC","221","Kooyong","0","ABSENT","41098","GVIC","The Australian Greens - Victoria","CARTER","Jackie","3","36081","IND","Independent","RYAN","Monique","6","619","83.650"
"VIC","221","Kooyong","0","ABSENT","41098","GVIC","The Australian Greens - Victoria","CARTER","Jackie","3","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","121","16.350"
"VIC","221","Kooyong","0","ABSENT","41611","ON","Pauline Hanson's One Nation","BRACHE","Camille","4","36081","IND","Independent","RYAN","Monique","6","26","27.370"
"VIC","221","Kooyong","0","ABSENT","41611","ON","Pauline Hanson's One Nation","BRACHE","Camille","4","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","69","72.630"
"VIC","221","Kooyong","0","ABSENT","41384","CYA","Trumpet of Patriots","VADER","David","5","36081","IND","Independent","RYAN","Monique","6","24","35.820"
"VIC","221","Kooyong","0","ABSENT","41384","CYA","Trumpet of Patriots","VADER","David","5","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","43","64.180"
"VIC","221","Kooyong","0","ABSENT","40827","ALP","Australian Labor Party (Victorian Branch)","CROSBY","Clive","7","36081","IND","Independent","RYAN","Monique","6","573","70.920"
"VIC","221","Kooyong","0","ABSENT","40827","ALP","Australian Labor Party (Victorian Branch)","CROSBY","Clive","7","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","235","29.080"
"VIC","221","Kooyong","0","POSTAL","0","","","First Preferences","","0","36081","IND","Independent","RYAN","Monique","6","5757","34.620"
"VIC","221","Kooyong","0","POSTAL","0","","","First Preferences","","0","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","10874","65.380"
"VIC","221","Kooyong","0","POSTAL","41311","LTP","Libertarian Party","PEPPARD","Richard","1","36081","IND","Independent","RYAN","Monique","6","56","22.670"
"VIC","221","Kooyong","0","POSTAL","41311","LTP","Libertarian Party","PEPPARD","Richard","1","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","191","77.330"
"VIC","221","Kooyong","0","POSTAL","41098","GVIC","The Australian Greens - Victoria","CARTER","Jackie","3","36081","IND","Independent","RYAN","Monique","6","1003","87.600"
"VIC","221","Kooyong","0","POSTAL","41098","GVIC","The Australian Greens - Victoria","CARTER","Jackie","3","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","142","12.400"
"VIC","221","Kooyong","0","POSTAL","41611","ON","Pauline Hanson's One Nation","BRACHE","Camille","4","36081","IND","Independent","RYAN","Monique","6","67","29.260"
"VIC","221","Kooyong","0","POSTAL","41611","ON","Pauline Hanson's One Nation","BRACHE","Camille","4","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","162","70.740"
"VIC","221","Kooyong","0","POSTAL","41384","CYA","Trumpet of Patriots","VADER","David","5","36081","IND","Independent","RYAN","Monique","6","72","33.330"
"VIC","221","Kooyong","0","POSTAL","41384","CYA","Trumpet of Patriots","VADER","David","5","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","144","66.670"
"VIC","221","Kooyong","0","POSTAL","40827","ALP","Australian Labor Party (Victorian Branch)","CROSBY","Clive","7","36081","IND","Independent","RYAN","Monique","6","1920","71.700"
"VIC","221","Kooyong","0","POSTAL","40827","ALP","Australian Labor Party (Victorian Branch)","CROSBY","Clive","7","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","758","28.300"
"VIC","221","Kooyong","0","PRE_POLL","0","","","First Preferences","","0","36081","IND","Independent","RYAN","Monique","6","1437","44.270"
"VIC","221","Kooyong","0","PRE_POLL","0","","","First Preferences","","0","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","1809","55.730"
"VIC","221","Kooyong","0","PRE_POLL","41311","LTP","Libertarian Party","PEPPARD","Richard","1","36081","IND","Independent","RYAN","Monique","6","8","11.430"
"VIC","221","Kooyong","0","PRE_POLL","41311","LTP","Libertarian Party","PEPPARD","Richard","1","40763","LP","Liberal Party of Australia (Victorian Division)","HAMER","Amelia","2","62","88.570"
