2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","224","Mallee","0","ABSENT","0","","","First Preferences","","0","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","427","43.620"
"VIC","224","Mallee","0","ABSENT","0","","","First Preferences","","0","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","552","56.380"
"VIC","224","Mallee","0","ABSENT","41116","GVIC","The Australian Greens - Victoria","ROWAN","Nicole","1","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","241","72.160"
"VIC","224","Mallee","0","ABSENT","41116","GVIC","The Australian Greens - Victoria","ROWAN","Nicole","1","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","93","27.840"
"VIC","224","Mallee","0","ABSENT","40699","CEC","Australian Citizens Party","LAHY","Chris","3","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","9","34.620"
"VIC","224","Mallee","0","ABSENT","40699","CEC","Australian Citizens Party","LAHY","Chris","3","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","17","65.380"
"VIC","224","Mallee","0","ABSENT","41418","CYA","Trumpet of Patriots","VEITCH","Adam Troy","4","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","34","30.630"
"VIC","224","Mallee","0","ABSENT","41418","CYA","Trumpet of Patriots","VEITCH","Adam Troy","4","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","77","69.370"
"VIC","224","Mallee","0","ABSENT","41613","ON","Pauline Hanson's One Nation","WILLIAMS","Vaughan","6","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","179","81.000"
"VIC","224","Mallee","0","ABSENT","41613","ON","Pauline Hanson's One Nation","WILLIAMS","Vaughan","6","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","42","19.000"
"VIC","224","Mallee","0","ABSENT","41308","LTP","Libertarian Party","BARRY","Jeff","7","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","69","71.880"
"VIC","224","Mallee","0","ABSENT","41308","LTP","Libertarian Party","BARRY","Jeff","7","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","27","28.130"
"VIC","224","Mallee","0","ABSENT","41583","FFPA","Family First Party Australia","GRAY","Ashleigh","8","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","57","57.580"
"VIC","224","Mallee","0","ABSENT","41583","FFPA","Family First Party Australia","GRAY","Ashleigh","8","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","42","42.420"
"VIC","224","Mallee","0","POSTAL","0","","","First Preferences","","0","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","2038","27.650"
"VIC","224","Mallee","0","POSTAL","0","","","First Preferences","","0","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","5333","72.350"
"VIC","224","Mallee","0","POSTAL","41116","GVIC","The Australian Greens - Victoria","ROWAN","Nicole","1","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","178","26.100"
"VIC","224","Mallee","0","POSTAL","41116","GVIC","The Australian Greens - Victoria","ROWAN","Nicole","1","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","504","73.900"
"VIC","224","Mallee","0","POSTAL","40699","CEC","Australian Citizens Party","LAHY","Chris","3","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","45","56.250"
"VIC","224","Mallee","0","POSTAL","40699","CEC","Australian Citizens Party","LAHY","Chris","3","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","35","43.750"
"VIC","224","Mallee","0","POSTAL","41418","CYA","Trumpet of Patriots","VEITCH","Adam Troy","4","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","237","73.150"
"VIC","224","Mallee","0","POSTAL","41418","CYA","Trumpet of Patriots","VEITCH","Adam Troy","4","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","87","26.850"
"VIC","224","Mallee","0","POSTAL","41613","ON","Pauline Hanson's One Nation","WILLIAMS","Vaughan","6","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","943","80.530"
"VIC","224","Mallee","0","POSTAL","41613","ON","Pauline Hanson's One Nation","WILLIAMS","Vaughan","6","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","228","19.470"
"VIC","224","Mallee","0","POSTAL","41308","LTP","Libertarian Party","BARRY","Jeff","7","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","151","74.380"
"VIC","224","Mallee","0","POSTAL","41308","LTP","Libertarian Party","BARRY","Jeff","7","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","52","25.620"
"VIC","224","Mallee","0","POSTAL","41583","FFPA","Family First Party Australia","GRAY","Ashleigh","8","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","207","64.290"
"VIC","224","Mallee","0","POSTAL","41583","FFPA","Family First Party Australia","GRAY","Ashleigh","8","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","115","35.710"
"VIC","224","Mallee","0","PRE_POLL","0","","","First Preferences","","0","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","813","36.490"
"VIC","224","Mallee","0","PRE_POLL","0","","","First Preferences","","0","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","1415","63.510"
"VIC","224","Mallee","0","PRE_POLL","41116","GVIC","The Australian Greens - Victoria","ROWAN","Nicole","1","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","134","26.070"
"VIC","224","Mallee","0","PRE_POLL","41116","GVIC","The Australian Greens - Victoria","ROWAN","Nicole","1","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","380","73.930"
"VIC","224","Mallee","0","PRE_POLL","40699","CEC","Australian Citizens Party","LAHY","Chris","3","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","24","48.000"
"VIC","224","Mallee","0","PRE_POLL","40699","CEC","Australian Citizens Party","LAHY","Chris","3","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","26","52.000"
"VIC","224","Mallee","0","PRE_POLL","41418","CYA","Trumpet of Patriots","VEITCH","Adam Troy","4","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","112","77.240"
"VIC","224","Mallee","0","PRE_POLL","41418","CYA","Trumpet of Patriots","VEITCH","Adam Troy","4","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","33","22.760"
"VIC","224","Mallee","0","PRE_POLL","41613","ON","Pauline Hanson's One Nation","WILLIAMS","Vaughan","6","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","341","78.390"
"VIC","224","Mallee","0","PRE_POLL","41613","ON","Pauline Hanson's One Nation","WILLIAMS","Vaughan","6","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","94","21.610"
"VIC","224","Mallee","0","PRE_POLL","41308","LTP","Libertarian Party","BARRY","Jeff","7","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","107","71.330"
"VIC","224","Mallee","0","PRE_POLL","41308","LTP","Libertarian Party","BARRY","Jeff","7","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","43","28.670"
"VIC","224","Mallee","0","PRE_POLL","41583","FFPA","Family First Party Australia","GRAY","Ashleigh","8","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","106","67.090"
"VIC","224","Mallee","0","PRE_POLL","41583","FFPA","Family First Party Australia","GRAY","Ashleigh","8","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","52","32.910"
"VIC","224","Mallee","0","PROVISIONAL","0","","","First Preferences","","0","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","25","59.520"
"VIC","224","Mallee","0","PROVISIONAL","0","","","First Preferences","","0","40824","ALP","Australian Labor Party (Victorian Branch)","OLSEN","Greg","5","17","40.480"
"VIC","224","Mallee","0","PROVISIONAL","41116","GVIC","The Australian Greens - Victoria","ROWAN","Nicole","1","41140","NP","National Party of Australia - Victoria","WEBSTER","Anne","2","5","71.430"
