2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","225","Maribyrnong","0","ABSENT","0","","","First Preferences","","0","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","1006","38.710"
"VIC","225","Maribyrnong","0","ABSENT","0","","","First Preferences","","0","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","1593","61.290"
"VIC","225","Maribyrnong","0","ABSENT","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","121","8.980"
"VIC","225","Maribyrnong","0","ABSENT","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","1227","91.020"
"VIC","225","Maribyrnong","0","ABSENT","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","229","71.120"
"VIC","225","Maribyrnong","0","ABSENT","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","93","28.880"
"VIC","225","Maribyrnong","0","POSTAL","0","","","First Preferences","","0","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","6833","43.940"
"VIC","225","Maribyrnong","0","POSTAL","0","","","First Preferences","","0","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","8718","56.060"
"VIC","225","Maribyrnong","0","POSTAL","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","3009","90.960"
"VIC","225","Maribyrnong","0","POSTAL","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","299","9.040"
"VIC","225","Maribyrnong","0","POSTAL","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","457","26.870"
"VIC","225","Maribyrnong","0","POSTAL","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","1244","73.130"
"VIC","225","Maribyrnong","0","PRE_POLL","0","","","First Preferences","","0","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","1059","41.560"
"VIC","225","Maribyrnong","0","PRE_POLL","0","","","First Preferences","","0","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","1489","58.440"
"VIC","225","Maribyrnong","0","PRE_POLL","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","960","91.690"
"VIC","225","Maribyrnong","0","PRE_POLL","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","87","8.310"
"VIC","225","Maribyrnong","0","PRE_POLL","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","94","32.410"
"VIC","225","Maribyrnong","0","PRE_POLL","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","196","67.590"
"VIC","225","Maribyrnong","0","PROVISIONAL","0","","","First Preferences","","0","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","34","31.480"
"VIC","225","Maribyrnong","0","PROVISIONAL","0","","","First Preferences","","0","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","74","68.520"
"VIC","225","Maribyrnong","0","PROVISIONAL","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","27","100.000"
"VIC","225","Maribyrnong","0","PROVISIONAL","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","0","0.000"
"VIC","225","Maribyrnong","0","PROVISIONAL","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","0","0.000"
"VIC","225","Maribyrnong","0","PROVISIONAL","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","3","100.000"
"VIC","225","Maribyrnong","3348","Avondale Heights","0","","","First Preferences","","0","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","126","30.660"
"VIC","225","Maribyrnong","3348","Avondale Heights","0","","","First Preferences","","0","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","285","69.340"
"VIC","225","Maribyrnong","3348","Avondale Heights","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","11","10.580"
"VIC","225","Maribyrnong","3348","Avondale Heights","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","93","89.420"
"VIC","225","Maribyrnong","3348","Avondale Heights","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","48","75.000"
"VIC","225","Maribyrnong","3348","Avondale Heights","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","16","25.000"
"VIC","225","Maribyrnong","3358","Keilor East","0","","","First Preferences","","0","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","438","58.950"
"VIC","225","Maribyrnong","3358","Keilor East","0","","","First Preferences","","0","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","305","41.050"
"VIC","225","Maribyrnong","3358","Keilor East","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","22","18.330"
"VIC","225","Maribyrnong","3358","Keilor East","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","98","81.670"
"VIC","225","Maribyrnong","3358","Keilor East","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","61","69.320"
"VIC","225","Maribyrnong","3358","Keilor East","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","27","30.680"
"VIC","225","Maribyrnong","4580","Aberfeldie","0","","","First Preferences","","0","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","427","46.210"
"VIC","225","Maribyrnong","4580","Aberfeldie","0","","","First Preferences","","0","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","497","53.790"
"VIC","225","Maribyrnong","4580","Aberfeldie","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","25","9.880"
"VIC","225","Maribyrnong","4580","Aberfeldie","41117","GVIC","The Australian Greens - Victoria","WILLIAMS","James","1","40821","ALP","Australian Labor Party (Victorian Branch)","BRISKEY","Jo","2","228","90.120"
"VIC","225","Maribyrnong","4580","Aberfeldie","41606","ON","Pauline Hanson's One Nation","CASEY","Alannah","4","40781","LP","Liberal Party of Australia (Victorian Division)","BEDDOE","Tim","3","41","70.690"
