2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","228","Melbourne","0","ABSENT","0","","","First Preferences","","0","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","2869","57.310"
"VIC","228","Melbourne","0","ABSENT","0","","","First Preferences","","0","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","2137","42.690"
"VIC","228","Melbourne","0","ABSENT","41607","ON","Pauline Hanson's One Nation","CASEY","Melanie","1","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","62","24.120"
"VIC","228","Melbourne","0","ABSENT","41607","ON","Pauline Hanson's One Nation","CASEY","Melanie","1","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","195","75.880"
"VIC","228","Melbourne","0","ABSENT","42101","IND","Independent","SMITH","Tim","3","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","71","52.590"
"VIC","228","Melbourne","0","ABSENT","42101","IND","Independent","SMITH","Tim","3","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","64","47.410"
"VIC","228","Melbourne","0","ABSENT","42099","IND","Independent","KOUTOUFIDES","Anthony","4","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","168","62.220"
"VIC","228","Melbourne","0","ABSENT","42099","IND","Independent","KOUTOUFIDES","Anthony","4","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","102","37.780"
"VIC","228","Melbourne","0","ABSENT","41381","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","HUANG","Helen","6","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","55","40.150"
"VIC","228","Melbourne","0","ABSENT","41381","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","HUANG","Helen","6","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","82","59.850"
"VIC","228","Melbourne","0","ABSENT","40765","LP","Liberal Party of Australia (Victorian Division)","HUNT","Steph","7","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","455","30.830"
"VIC","228","Melbourne","0","ABSENT","40765","LP","Liberal Party of Australia (Victorian Division)","HUNT","Steph","7","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","1021","69.170"
"VIC","228","Melbourne","0","POSTAL","0","","","First Preferences","","0","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","4733","51.210"
"VIC","228","Melbourne","0","POSTAL","0","","","First Preferences","","0","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","4509","48.790"
"VIC","228","Melbourne","0","POSTAL","41607","ON","Pauline Hanson's One Nation","CASEY","Melanie","1","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","350","80.280"
"VIC","228","Melbourne","0","POSTAL","41607","ON","Pauline Hanson's One Nation","CASEY","Melanie","1","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","86","19.720"
"VIC","228","Melbourne","0","POSTAL","42101","IND","Independent","SMITH","Tim","3","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","157","60.380"
"VIC","228","Melbourne","0","POSTAL","42101","IND","Independent","SMITH","Tim","3","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","103","39.620"
"VIC","228","Melbourne","0","POSTAL","42099","IND","Independent","KOUTOUFIDES","Anthony","4","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","429","73.460"
"VIC","228","Melbourne","0","POSTAL","42099","IND","Independent","KOUTOUFIDES","Anthony","4","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","155","26.540"
"VIC","228","Melbourne","0","POSTAL","41381","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","HUANG","Helen","6","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","162","42.300"
"VIC","228","Melbourne","0","POSTAL","41381","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","HUANG","Helen","6","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","221","57.700"
"VIC","228","Melbourne","0","POSTAL","40765","LP","Liberal Party of Australia (Victorian Division)","HUNT","Steph","7","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","3033","78.720"
"VIC","228","Melbourne","0","POSTAL","40765","LP","Liberal Party of Australia (Victorian Division)","HUNT","Steph","7","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","820","21.280"
"VIC","228","Melbourne","0","PRE_POLL","0","","","First Preferences","","0","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","2499","48.770"
"VIC","228","Melbourne","0","PRE_POLL","0","","","First Preferences","","0","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","2625","51.230"
"VIC","228","Melbourne","0","PRE_POLL","41607","ON","Pauline Hanson's One Nation","CASEY","Melanie","1","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","208","84.210"
"VIC","228","Melbourne","0","PRE_POLL","41607","ON","Pauline Hanson's One Nation","CASEY","Melanie","1","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","39","15.790"
"VIC","228","Melbourne","0","PRE_POLL","42101","IND","Independent","SMITH","Tim","3","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","78","57.350"
"VIC","228","Melbourne","0","PRE_POLL","42101","IND","Independent","SMITH","Tim","3","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","58","42.650"
"VIC","228","Melbourne","0","PRE_POLL","42099","IND","Independent","KOUTOUFIDES","Anthony","4","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","191","65.640"
"VIC","228","Melbourne","0","PRE_POLL","42099","IND","Independent","KOUTOUFIDES","Anthony","4","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","100","34.360"
"VIC","228","Melbourne","0","PRE_POLL","41381","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","HUANG","Helen","6","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","47","37.300"
"VIC","228","Melbourne","0","PRE_POLL","41381","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","HUANG","Helen","6","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","79","62.700"
"VIC","228","Melbourne","0","PRE_POLL","40765","LP","Liberal Party of Australia (Victorian Division)","HUNT","Steph","7","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","1415","72.680"
"VIC","228","Melbourne","0","PRE_POLL","40765","LP","Liberal Party of Australia (Victorian Division)","HUNT","Steph","7","41119","GVIC","The Australian Greens - Victoria","BANDT","Adam","5","532","27.320"
"VIC","228","Melbourne","0","PROVISIONAL","0","","","First Preferences","","0","40817","ALP","Australian Labor Party (Victorian Branch)","WITTY","Sarah","2","47","43.520"
