2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","229","Menzies","0","ABSENT","0","","","First Preferences","","0","40820","ALP","Australian Labor Party (Victorian Branch)","NG","Gabriel","7","1338","51.010"
"VIC","229","Menzies","0","ABSENT","0","","","First Preferences","","0","40778","LP","Liberal Party of Australia (Victorian Division)","WOLAHAN","Keith","3","1285","48.990"
"VIC","229","Menzies","0","ABSENT","41438","CYA","Trumpet of Patriots","PALIOURAS","Amanda","1","40820","ALP","Australian Labor Party (Victorian Branch)","NG","Gabriel","7","39","23.210"
"VIC","229","Menzies","0","ABSENT","41438","CYA","Trumpet of Patriots","PALIOURAS","Amanda","1","40778","LP","Liberal Party of Australia (Victorian Division)","WOLAHAN","Keith","3","129","76.790"
"VIC","229","Menzies","0","ABSENT","41123","GVIC","The Australian Greens - Victoria","PHEASANT","Bill","2","40820","ALP","Australian Labor Party (Victorian Branch)","NG","Gabriel","7","680","88.660"
"VIC","229","Menzies","0","ABSENT","41123","GVIC","The Australian Greens - Victoria","PHEASANT","Bill","2","40778","LP","Liberal Party of Australia (Victorian Division)","WOLAHAN","Keith","3","87","11.340"
"VIC","229","Menzies","0","ABSENT","40638","IND","Independent","YEE","Stella","4","40820","ALP","Australian Labor Party (Victorian Branch)","NG","Gabriel","7","177","77.290"
"VIC","229","Menzies","0","ABSENT","40638","IND","Independent","YEE","Stella","4","40778","LP","Liberal Party of Australia (Victorian Division)","WOLAHAN","Keith","3","52","22.710"
"VIC","229","Menzies","0","ABSENT","41310","LTP","Libertarian Party","UTOYO","Joshua","5","40778","LP","Liberal Party of Australia (Victorian Division)","WOLAHAN","Keith","3","46","63.890"
"VIC","229","Menzies","0","ABSENT","41310","LTP","Libertarian Party","UTOYO","Joshua","5","40820","ALP","Australian Labor Party (Victorian Branch)","NG","Gabriel","7","26","36.110"
"VIC","229","Menzies","0","ABSENT","41580","FFPA","Family First Party Australia","SEELEY","Ann","6","40778","LP","Liberal Party of Australia (Victorian Division)","WOLAHAN","Keith","3","77","66.960"
"VIC","229","Menzies","0","ABSENT","41580","FFPA","Family First Party Australia","SEELEY","Ann","6","40820","ALP","Australian Labor Party (Victorian Branch)","NG","Gabriel","7","38","33.040"
"VIC","229","Menzies","0","ABSENT","41603","ON","Pauline Hanson's One Nation","EDWARDS-SCOTT","Jhett","8","40778","LP","Liberal Party of Australia (Victorian Division)","WOLAHAN","Keith","3","112","75.170"
"VIC","229","Menzies","0","ABSENT","41603","ON","Pauline Hanson's One Nation","EDWARDS-SCOTT","Jhett","8","40820","ALP","Australian Labor Party (Victorian Branch)","NG","Gabriel","7","37","24.830"
"VIC","229","Menzies","0","POSTAL","0","","","First Preferences","","0","40778","LP","Liberal Party of Australia (Victorian Division)","WOLAHAN","Keith","3","10641","58.780"
"VIC","229","Menzies","0","POSTAL","0","","","First Preferences","","0","40820","ALP","Australian Labor Party (Victorian Branch)","NG","Gabriel","7","7461","41.220"
"VIC","229","Menzies","0","POSTAL","41438","CYA","Trumpet of Patriots","PALIOURAS","Amanda","1","40778","LP","Liberal Party of Australia (Victorian Division)","WOLAHAN","Keith","3","387","70.880"
"VIC","229","Menzies","0","POSTAL","41438","CYA","Trumpet of Patriots","PALIOURAS","Amanda","1","40820","ALP","Australian Labor Party (Victorian Branch)","NG","Gabriel","7","159","29.120"
"VIC","229","Menzies","0","POSTAL","41123","GVIC","The Australian Greens - Victoria","PHEASANT","Bill","2","40778","LP","Liberal Party of Australia (Victorian Division)","WOLAHAN","Keith","3","239","13.750"
"VIC","229","Menzies","0","POSTAL","41123","GVIC","The Australian Greens - Victoria","PHEASANT","Bill","2","40820","ALP","Australian Labor Party (Victorian Branch)","NG","Gabriel","7","1499","86.250"
"VIC","229","Menzies","0","POSTAL","40638","IND","Independent","YEE","Stella","4","40778","LP","Liberal Party of Australia (Victorian Division)","WOLAHAN","Keith","3","295","27.990"
"VIC","229","Menzies","0","POSTAL","40638","IND","Independent","YEE","Stella","4","40820","ALP","Australian Labor Party (Victorian Branch)","NG","Gabriel","7","759","72.010"
