2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","323","Monash","0","ABSENT","0","","","First Preferences","","0","40769","LP","Liberal Party of Australia (Victorian Division)","ALDRED","Mary","4","514","46.810"
"VIC","323","Monash","0","ABSENT","0","","","First Preferences","","0","40818","ALP","Australian Labor Party (Victorian Branch)","FLETCHER","Tully","2","584","53.190"
"VIC","323","Monash","0","ABSENT","41598","ON","Pauline Hanson's One Nation","ROBINSON","Kuljeet Kaur","1","40818","ALP","Australian Labor Party (Victorian Branch)","FLETCHER","Tully","2","109","42.910"
"VIC","323","Monash","0","ABSENT","41598","ON","Pauline Hanson's One Nation","ROBINSON","Kuljeet Kaur","1","40769","LP","Liberal Party of Australia (Victorian Division)","ALDRED","Mary","4","145","57.090"
"VIC","323","Monash","0","ABSENT","36737","IND","Independent","BROADBENT","Russell","3","40769","LP","Liberal Party of Australia (Victorian Division)","ALDRED","Mary","4","124","62.310"
"VIC","323","Monash","0","ABSENT","36737","IND","Independent","BROADBENT","Russell","3","40818","ALP","Australian Labor Party (Victorian Branch)","FLETCHER","Tully","2","75","37.690"
"VIC","323","Monash","0","ABSENT","36065","IND","Independent","LEONARD","Deb","5","40818","ALP","Australian Labor Party (Victorian Branch)","FLETCHER","Tully","2","257","81.070"
"VIC","323","Monash","0","ABSENT","36065","IND","Independent","LEONARD","Deb","5","40769","LP","Liberal Party of Australia (Victorian Division)","ALDRED","Mary","4","60","18.930"
"VIC","323","Monash","0","ABSENT","41534","FFPA","Family First Party Australia","DETHLEFS","Geoff","6","40818","ALP","Australian Labor Party (Victorian Branch)","FLETCHER","Tully","2","23","35.940"
"VIC","323","Monash","0","ABSENT","41534","FFPA","Family First Party Australia","DETHLEFS","Geoff","6","40769","LP","Liberal Party of Australia (Victorian Division)","ALDRED","Mary","4","41","64.060"
"VIC","323","Monash","0","ABSENT","41233","HMP","Legalise Cannabis Australia","O'REILLY","David","7","40769","LP","Liberal Party of Australia (Victorian Division)","ALDRED","Mary","4","76","42.700"
"VIC","323","Monash","0","ABSENT","41233","HMP","Legalise Cannabis Australia","O'REILLY","David","7","40818","ALP","Australian Labor Party (Victorian Branch)","FLETCHER","Tully","2","102","57.300"
"VIC","323","Monash","0","ABSENT","41100","GVIC","The Australian Greens - Victoria","STEELE","Terence","8","40818","ALP","Australian Labor Party (Victorian Branch)","FLETCHER","Tully","2","286","86.400"
