2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","317","Burt","0","ABSENT","0","","","First Preferences","","0","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","970","34.350"
"WA","317","Burt","0","ABSENT","0","","","First Preferences","","0","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","1854","65.650"
"WA","317","Burt","0","ABSENT","41652","ON","Pauline Hanson's One Nation","IERARDI","Liz","1","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","453","71.340"
"WA","317","Burt","0","ABSENT","41652","ON","Pauline Hanson's One Nation","IERARDI","Liz","1","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","182","28.660"
"WA","317","Burt","0","ABSENT","41726","GRN","The Greens (WA) Inc","ABDUL RAZAK","Adam","3","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","790","83.860"
"WA","317","Burt","0","ABSENT","41726","GRN","The Greens (WA) Inc","ABDUL RAZAK","Adam","3","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","152","16.140"
"WA","317","Burt","0","ABSENT","41727","HMP","Legalise Cannabis Australia","CARUSO","Fiona","5","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","250","41.670"
"WA","317","Burt","0","ABSENT","41727","HMP","Legalise Cannabis Australia","CARUSO","Fiona","5","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","350","58.330"
"WA","317","Burt","0","ABSENT","41082","AUC","Australian Christians","VADAKKEDATHU","Alvin Mathew","6","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","168","67.740"
"WA","317","Burt","0","ABSENT","41082","AUC","Australian Christians","VADAKKEDATHU","Alvin Mathew","6","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","80","32.260"
"WA","317","Burt","0","ABSENT","40669","IND","Independent","TEWATIA","Ashok Kumar","7","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","69","63.300"
"WA","317","Burt","0","ABSENT","40669","IND","Independent","TEWATIA","Ashok Kumar","7","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","40","36.700"
"WA","317","Burt","0","POSTAL","0","","","First Preferences","","0","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","2476","31.540"
"WA","317","Burt","0","POSTAL","0","","","First Preferences","","0","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","5374","68.460"
"WA","317","Burt","0","POSTAL","41652","ON","Pauline Hanson's One Nation","IERARDI","Liz","1","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","337","29.410"
"WA","317","Burt","0","POSTAL","41652","ON","Pauline Hanson's One Nation","IERARDI","Liz","1","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","809","70.590"
"WA","317","Burt","0","POSTAL","41726","GRN","The Greens (WA) Inc","ABDUL RAZAK","Adam","3","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","998","86.930"
"WA","317","Burt","0","POSTAL","41726","GRN","The Greens (WA) Inc","ABDUL RAZAK","Adam","3","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","150","13.070"
"WA","317","Burt","0","POSTAL","41727","HMP","Legalise Cannabis Australia","CARUSO","Fiona","5","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","354","62.990"
"WA","317","Burt","0","POSTAL","41727","HMP","Legalise Cannabis Australia","CARUSO","Fiona","5","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","208","37.010"
"WA","317","Burt","0","POSTAL","41082","AUC","Australian Christians","VADAKKEDATHU","Alvin Mathew","6","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","115","25.840"
"WA","317","Burt","0","POSTAL","41082","AUC","Australian Christians","VADAKKEDATHU","Alvin Mathew","6","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","330","74.160"
"WA","317","Burt","0","POSTAL","40669","IND","Independent","TEWATIA","Ashok Kumar","7","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","117","60.940"
"WA","317","Burt","0","POSTAL","40669","IND","Independent","TEWATIA","Ashok Kumar","7","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","75","39.060"
"WA","317","Burt","0","PRE_POLL","0","","","First Preferences","","0","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","587","33.280"
"WA","317","Burt","0","PRE_POLL","0","","","First Preferences","","0","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","1177","66.720"
"WA","317","Burt","0","PRE_POLL","41652","ON","Pauline Hanson's One Nation","IERARDI","Liz","1","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","110","29.180"
"WA","317","Burt","0","PRE_POLL","41652","ON","Pauline Hanson's One Nation","IERARDI","Liz","1","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","267","70.820"
"WA","317","Burt","0","PRE_POLL","41726","GRN","The Greens (WA) Inc","ABDUL RAZAK","Adam","3","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","330","86.840"
"WA","317","Burt","0","PRE_POLL","41726","GRN","The Greens (WA) Inc","ABDUL RAZAK","Adam","3","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","50","13.160"
"WA","317","Burt","0","PRE_POLL","41727","HMP","Legalise Cannabis Australia","CARUSO","Fiona","5","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","115","57.790"
"WA","317","Burt","0","PRE_POLL","41727","HMP","Legalise Cannabis Australia","CARUSO","Fiona","5","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","84","42.210"
"WA","317","Burt","0","PRE_POLL","41082","AUC","Australian Christians","VADAKKEDATHU","Alvin Mathew","6","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","41","31.300"
"WA","317","Burt","0","PRE_POLL","41082","AUC","Australian Christians","VADAKKEDATHU","Alvin Mathew","6","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","90","68.700"
"WA","317","Burt","0","PRE_POLL","40669","IND","Independent","TEWATIA","Ashok Kumar","7","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","41","62.120"
"WA","317","Burt","0","PRE_POLL","40669","IND","Independent","TEWATIA","Ashok Kumar","7","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","25","37.880"
"WA","317","Burt","0","PROVISIONAL","0","","","First Preferences","","0","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","50","70.420"
"WA","317","Burt","0","PROVISIONAL","0","","","First Preferences","","0","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","21","29.580"
"WA","317","Burt","0","PROVISIONAL","41652","ON","Pauline Hanson's One Nation","IERARDI","Liz","1","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","5","55.560"
"WA","317","Burt","0","PROVISIONAL","41652","ON","Pauline Hanson's One Nation","IERARDI","Liz","1","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","4","44.440"
"WA","317","Burt","0","PROVISIONAL","41726","GRN","The Greens (WA) Inc","ABDUL RAZAK","Adam","3","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","17","85.000"
"WA","317","Burt","0","PROVISIONAL","41726","GRN","The Greens (WA) Inc","ABDUL RAZAK","Adam","3","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","3","15.000"
"WA","317","Burt","0","PROVISIONAL","41727","HMP","Legalise Cannabis Australia","CARUSO","Fiona","5","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","4","50.000"
"WA","317","Burt","0","PROVISIONAL","41727","HMP","Legalise Cannabis Australia","CARUSO","Fiona","5","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","4","50.000"
"WA","317","Burt","0","PROVISIONAL","41082","AUC","Australian Christians","VADAKKEDATHU","Alvin Mathew","6","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","1","25.000"
"WA","317","Burt","0","PROVISIONAL","41082","AUC","Australian Christians","VADAKKEDATHU","Alvin Mathew","6","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","3","75.000"
"WA","317","Burt","0","PROVISIONAL","40669","IND","Independent","TEWATIA","Ashok Kumar","7","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","1","33.330"
"WA","317","Burt","0","PROVISIONAL","40669","IND","Independent","TEWATIA","Ashok Kumar","7","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","2","66.670"
"WA","317","Burt","7467","Armadale","0","","","First Preferences","","0","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","451","75.800"
"WA","317","Burt","7467","Armadale","0","","","First Preferences","","0","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","144","24.200"
"WA","317","Burt","7467","Armadale","41652","ON","Pauline Hanson's One Nation","IERARDI","Liz","1","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","93","64.580"
"WA","317","Burt","7467","Armadale","41652","ON","Pauline Hanson's One Nation","IERARDI","Liz","1","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","51","35.420"
"WA","317","Burt","7467","Armadale","41726","GRN","The Greens (WA) Inc","ABDUL RAZAK","Adam","3","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","24","14.460"
"WA","317","Burt","7467","Armadale","41726","GRN","The Greens (WA) Inc","ABDUL RAZAK","Adam","3","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","142","85.540"
"WA","317","Burt","7467","Armadale","41727","HMP","Legalise Cannabis Australia","CARUSO","Fiona","5","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","39","35.780"
"WA","317","Burt","7467","Armadale","41727","HMP","Legalise Cannabis Australia","CARUSO","Fiona","5","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","70","64.220"
"WA","317","Burt","7467","Armadale","41082","AUC","Australian Christians","VADAKKEDATHU","Alvin Mathew","6","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","27","27.550"
"WA","317","Burt","7467","Armadale","41082","AUC","Australian Christians","VADAKKEDATHU","Alvin Mathew","6","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","71","72.450"
"WA","317","Burt","7467","Armadale","40669","IND","Independent","TEWATIA","Ashok Kumar","7","41253","ALP","Australian Labor Party (Western Australian Branch)","KEOGH","Matt","4","20","57.140"
"WA","317","Burt","7467","Armadale","40669","IND","Independent","TEWATIA","Ashok Kumar","7","41229","LP","Liberal Party (W.A. Division) Inc","AYRES","Sean","2","15","42.860"
