2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","236","Canning","0","ABSENT","0","","","First Preferences","","0","41236","LP","Liberal Party (W.A. Division) Inc","HASTIE","Andrew","1","1078","55.680"
"WA","236","Canning","0","ABSENT","0","","","First Preferences","","0","41262","ALP","Australian Labor Party (Western Australian Branch)","GOOLD","Jarrad","6","858","44.320"
"WA","236","Canning","0","ABSENT","41654","ON","Pauline Hanson's One Nation","BOVE","Fernando","2","41236","LP","Liberal Party (W.A. Division) Inc","HASTIE","Andrew","1","416","76.890"
"WA","236","Canning","0","ABSENT","41654","ON","Pauline Hanson's One Nation","BOVE","Fernando","2","41262","ALP","Australian Labor Party (Western Australian Branch)","GOOLD","Jarrad","6","125","23.110"
"WA","236","Canning","0","ABSENT","41741","GRN","The Greens (WA) Inc","CAHILL","Jordan","3","41262","ALP","Australian Labor Party (Western Australian Branch)","GOOLD","Jarrad","6","399","78.850"
"WA","236","Canning","0","ABSENT","41741","GRN","The Greens (WA) Inc","CAHILL","Jordan","3","41236","LP","Liberal Party (W.A. Division) Inc","HASTIE","Andrew","1","107","21.150"
"WA","236","Canning","0","ABSENT","41828","CEC","Australian Citizens Party","CAREY","John Raymond","4","41236","LP","Liberal Party (W.A. Division) Inc","HASTIE","Andrew","1","32","57.140"
"WA","236","Canning","0","ABSENT","41828","CEC","Australian Citizens Party","CAREY","John Raymond","4","41262","ALP","Australian Labor Party (Western Australian Branch)","GOOLD","Jarrad","6","24","42.860"
"WA","236","Canning","0","ABSENT","41732","HMP","Legalise Cannabis Australia","GULLAN","Paul","5","41262","ALP","Australian Labor Party (Western Australian Branch)","GOOLD","Jarrad","6","213","54.060"
"WA","236","Canning","0","ABSENT","41732","HMP","Legalise Cannabis Australia","GULLAN","Paul","5","41236","LP","Liberal Party (W.A. Division) Inc","HASTIE","Andrew","1","181","45.940"
"WA","236","Canning","0","POSTAL","0","","","First Preferences","","0","41236","LP","Liberal Party (W.A. Division) Inc","HASTIE","Andrew","1","5129","59.100"
"WA","236","Canning","0","POSTAL","0","","","First Preferences","","0","41262","ALP","Australian Labor Party (Western Australian Branch)","GOOLD","Jarrad","6","3549","40.900"
"WA","236","Canning","0","POSTAL","41654","ON","Pauline Hanson's One Nation","BOVE","Fernando","2","41262","ALP","Australian Labor Party (Western Australian Branch)","GOOLD","Jarrad","6","273","22.670"
"WA","236","Canning","0","POSTAL","41654","ON","Pauline Hanson's One Nation","BOVE","Fernando","2","41236","LP","Liberal Party (W.A. Division) Inc","HASTIE","Andrew","1","931","77.330"
"WA","236","Canning","0","POSTAL","41741","GRN","The Greens (WA) Inc","CAHILL","Jordan","3","41262","ALP","Australian Labor Party (Western Australian Branch)","GOOLD","Jarrad","6","669","80.890"
"WA","236","Canning","0","POSTAL","41741","GRN","The Greens (WA) Inc","CAHILL","Jordan","3","41236","LP","Liberal Party (W.A. Division) Inc","HASTIE","Andrew","1","158","19.110"
"WA","236","Canning","0","POSTAL","41828","CEC","Australian Citizens Party","CAREY","John Raymond","4","41262","ALP","Australian Labor Party (Western Australian Branch)","GOOLD","Jarrad","6","54","41.220"
"WA","236","Canning","0","POSTAL","41828","CEC","Australian Citizens Party","CAREY","John Raymond","4","41236","LP","Liberal Party (W.A. Division) Inc","HASTIE","Andrew","1","77","58.780"
"WA","236","Canning","0","POSTAL","41732","HMP","Legalise Cannabis Australia","GULLAN","Paul","5","41262","ALP","Australian Labor Party (Western Australian Branch)","GOOLD","Jarrad","6","320","54.980"
