2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","239","Forrest","0","ABSENT","0","","","First Preferences","","0","41369","ALP","Australian Labor Party (Western Australian Branch)","DOWDING","Tabitha","1","602","43.750"
"WA","239","Forrest","0","ABSENT","0","","","First Preferences","","0","41252","LP","Liberal Party (W.A. Division) Inc","SMALL","Ben","8","774","56.250"
"WA","239","Forrest","0","ABSENT","42105","IND","Independent","CHAPMAN","Sue","2","41369","ALP","Australian Labor Party (Western Australian Branch)","DOWDING","Tabitha","1","268","66.340"
"WA","239","Forrest","0","ABSENT","42105","IND","Independent","CHAPMAN","Sue","2","41252","LP","Liberal Party (W.A. Division) Inc","SMALL","Ben","8","136","33.660"
"WA","239","Forrest","0","ABSENT","41777","GRN","The Greens (WA) Inc","BEARDMAN","Georgia","3","41252","LP","Liberal Party (W.A. Division) Inc","SMALL","Ben","8","84","16.700"
"WA","239","Forrest","0","ABSENT","41777","GRN","The Greens (WA) Inc","BEARDMAN","Georgia","3","41369","ALP","Australian Labor Party (Western Australian Branch)","DOWDING","Tabitha","1","419","83.300"
"WA","239","Forrest","0","ABSENT","41661","ON","Pauline Hanson's One Nation","van der MEY","Paul","4","41252","LP","Liberal Party (W.A. Division) Inc","SMALL","Ben","8","252","77.060"
"WA","239","Forrest","0","ABSENT","41661","ON","Pauline Hanson's One Nation","van der MEY","Paul","4","41369","ALP","Australian Labor Party (Western Australian Branch)","DOWDING","Tabitha","1","75","22.940"
"WA","239","Forrest","0","ABSENT","41653","CYA","Trumpet of Patriots","GREENLAND","Peter","5","41252","LP","Liberal Party (W.A. Division) Inc","SMALL","Ben","8","44","60.270"
"WA","239","Forrest","0","ABSENT","41653","CYA","Trumpet of Patriots","GREENLAND","Peter","5","41369","ALP","Australian Labor Party (Western Australian Branch)","DOWDING","Tabitha","1","29","39.730"
