2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","305","Hasluck","0","ABSENT","0","","","First Preferences","","0","41260","LP","Liberal Party (W.A. Division) Inc","GOODE","David","6","1015","33.470"
"WA","305","Hasluck","0","ABSENT","0","","","First Preferences","","0","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","2018","66.530"
"WA","305","Hasluck","0","ABSENT","41712","ON","Pauline Hanson's One Nation","DEETH","Adrian","2","41260","LP","Liberal Party (W.A. Division) Inc","GOODE","David","6","366","72.480"
"WA","305","Hasluck","0","ABSENT","41712","ON","Pauline Hanson's One Nation","DEETH","Adrian","2","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","139","27.520"
"WA","305","Hasluck","0","ABSENT","42078","GAP","The Great Australian Party","KELLY","Dawn Michelle","3","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","46","46.000"
"WA","305","Hasluck","0","ABSENT","42078","GAP","The Great Australian Party","KELLY","Dawn Michelle","3","41260","LP","Liberal Party (W.A. Division) Inc","GOODE","David","6","54","54.000"
"WA","305","Hasluck","0","ABSENT","41092","AUC","Australian Christians","KINGSTON","David","4","41260","LP","Liberal Party (W.A. Division) Inc","GOODE","David","6","106","68.390"
"WA","305","Hasluck","0","ABSENT","41092","AUC","Australian Christians","KINGSTON","David","4","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","49","31.610"
"WA","305","Hasluck","0","ABSENT","41794","GRN","The Greens (WA) Inc","MATSON","Tamica","5","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","795","85.030"
"WA","305","Hasluck","0","ABSENT","41794","GRN","The Greens (WA) Inc","MATSON","Tamica","5","41260","LP","Liberal Party (W.A. Division) Inc","GOODE","David","6","140","14.970"
"WA","305","Hasluck","0","ABSENT","41749","HMP","Legalise Cannabis Australia","TREASURE","Leo","7","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","284","57.960"
"WA","305","Hasluck","0","ABSENT","41749","HMP","Legalise Cannabis Australia","TREASURE","Leo","7","41260","LP","Liberal Party (W.A. Division) Inc","GOODE","David","6","206","42.040"
"WA","305","Hasluck","0","POSTAL","0","","","First Preferences","","0","41260","LP","Liberal Party (W.A. Division) Inc","GOODE","David","6","3140","35.240"
"WA","305","Hasluck","0","POSTAL","0","","","First Preferences","","0","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","5771","64.760"
"WA","305","Hasluck","0","POSTAL","41712","ON","Pauline Hanson's One Nation","DEETH","Adrian","2","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","273","27.140"
"WA","305","Hasluck","0","POSTAL","41712","ON","Pauline Hanson's One Nation","DEETH","Adrian","2","41260","LP","Liberal Party (W.A. Division) Inc","GOODE","David","6","733","72.860"
"WA","305","Hasluck","0","POSTAL","42078","GAP","The Great Australian Party","KELLY","Dawn Michelle","3","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","62","35.030"
"WA","305","Hasluck","0","POSTAL","42078","GAP","The Great Australian Party","KELLY","Dawn Michelle","3","41260","LP","Liberal Party (W.A. Division) Inc","GOODE","David","6","115","64.970"
"WA","305","Hasluck","0","POSTAL","41092","AUC","Australian Christians","KINGSTON","David","4","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","96","32.110"
"WA","305","Hasluck","0","POSTAL","41092","AUC","Australian Christians","KINGSTON","David","4","41260","LP","Liberal Party (W.A. Division) Inc","GOODE","David","6","203","67.890"
"WA","305","Hasluck","0","POSTAL","41794","GRN","The Greens (WA) Inc","MATSON","Tamica","5","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","1143","87.790"
"WA","305","Hasluck","0","POSTAL","41794","GRN","The Greens (WA) Inc","MATSON","Tamica","5","41260","LP","Liberal Party (W.A. Division) Inc","GOODE","David","6","159","12.210"
"WA","305","Hasluck","0","POSTAL","41749","HMP","Legalise Cannabis Australia","TREASURE","Leo","7","41406","ALP","Australian Labor Party (Western Australian Branch)","LAWRENCE","Tania","1","325","61.210"
