2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","242","Moore","0","ABSENT","0","","","First Preferences","","0","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","1169","54.930"
"WA","242","Moore","0","ABSENT","0","","","First Preferences","","0","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","959","45.070"
"WA","242","Moore","0","ABSENT","36592","","Non Affiliated","GOODENOUGH","Ian","1","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","189","50.810"
"WA","242","Moore","0","ABSENT","36592","","Non Affiliated","GOODENOUGH","Ian","1","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","183","49.190"
"WA","242","Moore","0","ABSENT","40666","IND","Independent","BARTON","Nathan","3","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","107","56.020"
"WA","242","Moore","0","ABSENT","40666","IND","Independent","BARTON","Nathan","3","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","84","43.980"
"WA","242","Moore","0","ABSENT","41097","AUC","Australian Christians","BARTLEY","Trevor Alan","4","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","67","70.530"
"WA","242","Moore","0","ABSENT","41097","AUC","Australian Christians","BARTLEY","Trevor Alan","4","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","28","29.470"
"WA","242","Moore","0","ABSENT","41715","ON","Pauline Hanson's One Nation","FIMOGNARI","Paul","5","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","218","71.950"
"WA","242","Moore","0","ABSENT","41715","ON","Pauline Hanson's One Nation","FIMOGNARI","Paul","5","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","85","28.050"
"WA","242","Moore","0","ABSENT","41803","GRN","The Greens (WA) Inc","McCARTHY","Scott","6","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","664","85.570"
"WA","242","Moore","0","ABSENT","41803","GRN","The Greens (WA) Inc","McCARTHY","Scott","6","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","112","14.430"
"WA","242","Moore","0","ABSENT","41901","CYA","Trumpet of Patriots","RENNICK","Christopher","8","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","90","70.870"
"WA","242","Moore","0","ABSENT","41901","CYA","Trumpet of Patriots","RENNICK","Christopher","8","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","37","29.130"
"WA","242","Moore","0","POSTAL","0","","","First Preferences","","0","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","4194","48.070"
"WA","242","Moore","0","POSTAL","0","","","First Preferences","","0","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","4530","51.930"
"WA","242","Moore","0","POSTAL","36592","","Non Affiliated","GOODENOUGH","Ian","1","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","919","58.160"
"WA","242","Moore","0","POSTAL","36592","","Non Affiliated","GOODENOUGH","Ian","1","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","661","41.840"
"WA","242","Moore","0","POSTAL","40666","IND","Independent","BARTON","Nathan","3","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","250","36.230"
"WA","242","Moore","0","POSTAL","40666","IND","Independent","BARTON","Nathan","3","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","440","63.770"
"WA","242","Moore","0","POSTAL","41097","AUC","Australian Christians","BARTLEY","Trevor Alan","4","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","219","82.640"
"WA","242","Moore","0","POSTAL","41097","AUC","Australian Christians","BARTLEY","Trevor Alan","4","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","46","17.360"
"WA","242","Moore","0","POSTAL","41715","ON","Pauline Hanson's One Nation","FIMOGNARI","Paul","5","41264","LP","Liberal Party (W.A. Division) Inc","CONNELLY","Vince","7","490","79.930"
"WA","242","Moore","0","POSTAL","41715","ON","Pauline Hanson's One Nation","FIMOGNARI","Paul","5","41414","ALP","Australian Labor Party (Western Australian Branch)","FRENCH","Tom","2","123","20.070"
