2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","247","Swan","0","ABSENT","0","","","First Preferences","","0","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","1130","39.290"
"WA","247","Swan","0","ABSENT","0","","","First Preferences","","0","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","1746","60.710"
"WA","247","Swan","0","ABSENT","41160","AUC","Australian Christians","STAER","Mark","1","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","153","60.960"
"WA","247","Swan","0","ABSENT","41160","AUC","Australian Christians","STAER","Mark","1","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","98","39.040"
"WA","247","Swan","0","ABSENT","41829","GRN","The Greens (WA) Inc","UINK","Clint","3","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","146","11.090"
"WA","247","Swan","0","ABSENT","41829","GRN","The Greens (WA) Inc","UINK","Clint","3","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","1170","88.910"
"WA","247","Swan","0","ABSENT","41776","HMP","Legalise Cannabis Australia","LEECH","Shelley","4","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","299","62.820"
"WA","247","Swan","0","ABSENT","41776","HMP","Legalise Cannabis Australia","LEECH","Shelley","4","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","177","37.180"
"WA","247","Swan","0","ABSENT","41731","ON","Pauline Hanson's One Nation","HALLEY","Michael","5","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","108","28.050"
"WA","247","Swan","0","ABSENT","41731","ON","Pauline Hanson's One Nation","HALLEY","Michael","5","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","277","71.950"
"WA","247","Swan","0","POSTAL","0","","","First Preferences","","0","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","3851","41.580"
"WA","247","Swan","0","POSTAL","0","","","First Preferences","","0","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","5411","58.420"
"WA","247","Swan","0","POSTAL","41160","AUC","Australian Christians","STAER","Mark","1","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","155","38.940"
"WA","247","Swan","0","POSTAL","41160","AUC","Australian Christians","STAER","Mark","1","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","243","61.060"
"WA","247","Swan","0","POSTAL","41829","GRN","The Greens (WA) Inc","UINK","Clint","3","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","1448","90.160"
"WA","247","Swan","0","POSTAL","41829","GRN","The Greens (WA) Inc","UINK","Clint","3","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","158","9.840"
"WA","247","Swan","0","POSTAL","41776","HMP","Legalise Cannabis Australia","LEECH","Shelley","4","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","265","64.320"
"WA","247","Swan","0","POSTAL","41776","HMP","Legalise Cannabis Australia","LEECH","Shelley","4","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","147","35.680"
"WA","247","Swan","0","POSTAL","41731","ON","Pauline Hanson's One Nation","HALLEY","Michael","5","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","195","27.700"
"WA","247","Swan","0","POSTAL","41731","ON","Pauline Hanson's One Nation","HALLEY","Michael","5","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","509","72.300"
"WA","247","Swan","0","PRE_POLL","0","","","First Preferences","","0","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","1270","41.410"
"WA","247","Swan","0","PRE_POLL","0","","","First Preferences","","0","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","1797","58.590"
"WA","247","Swan","0","PRE_POLL","41160","AUC","Australian Christians","STAER","Mark","1","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","92","49.460"
"WA","247","Swan","0","PRE_POLL","41160","AUC","Australian Christians","STAER","Mark","1","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","94","50.540"
"WA","247","Swan","0","PRE_POLL","41829","GRN","The Greens (WA) Inc","UINK","Clint","3","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","767","90.550"
"WA","247","Swan","0","PRE_POLL","41829","GRN","The Greens (WA) Inc","UINK","Clint","3","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","80","9.450"
"WA","247","Swan","0","PRE_POLL","41776","HMP","Legalise Cannabis Australia","LEECH","Shelley","4","41456","ALP","Australian Labor Party (Western Australian Branch)","MASCARENHAS","Zaneta","2","162","65.850"
"WA","247","Swan","0","PRE_POLL","41776","HMP","Legalise Cannabis Australia","LEECH","Shelley","4","41581","LP","Liberal Party (W.A. Division) Inc","FELS","Mic","6","84","34.150"
