2025 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:40 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
NSW,ALP,Australian Labor Party,1,46,46,28,1414024,35.22,46880,34.02,1718,36.30,49067,34.73,175305,35.44,1686994,35.20,+1.82
NSW,LP,Liberal,2,37,37,6,953492,23.75,28321,20.55,1042,22.02,30771,21.78,147133,29.75,1160759,24.22,-4.08
NSW,NP,The Nationals,3,9,9,6,307361,7.66,4388,3.18,159,3.36,8329,5.90,30240,6.11,350477,7.31,-0.93
NSW,IND,Independent,4,34,55,6,401826,10.01,10021,7.27,458,9.68,12404,8.78,40479,8.18,465188,9.71,+2.15
NSW,ON,Pauline Hanson's One Nation,5,46,46,0,236648,5.89,10472,7.60,273,5.77,9807,6.94,31476,6.36,288676,6.02,+1.18
NSW,GRN,The Greens,6,46,46,0,442781,11.03,24059,17.46,740,15.63,20145,14.26,42577,8.61,530302,11.06,+1.04
NSW,CYA,Trumpet of Patriots,7,35,35,0,72050,1.79,3752,2.72,102,2.16,3081,2.18,8861,1.79,87846,1.83,+1.77
NSW,FFP,Family First Party Australia,8,25,25,0,53321,1.33,2957,2.15,87,1.84,2052,1.45,5401,1.09,63818,1.33,+1.33
NSW,LTP,Libertarian Party,9,25,25,0,43658,1.09,2181,1.58,54,1.14,1749,1.24,4482,0.91,52124,1.09,+1.09
NSW,HMP,Legalise Cannabis Australia,10,10,10,0,37779,0.94,2507,1.82,44,0.93,1554,1.10,2880,0.58,44764,0.93,+0.93
NSW,ASP,"Shooters, Fishers and Farmers Party",11,7,7,0,19464,0.48,826,0.60,13,0.27,1024,0.72,2184,0.44,23511,0.49,+0.17
NSW,CEC,Australian Citizens Party,12,6,6,0,5406,0.13,189,0.14,6,0.13,187,0.13,465,0.09,6253,0.13,+0.08
NSW,AJP,Animal Justice Party,13,5,5,0,8163,0.20,409,0.30,10,0.21,266,0.19,1214,0.25,10062,0.21,-0.16
NSW,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,14,4,4,0,3475,0.09,203,0.15,2,0.04,172,0.12,542,0.11,4394,0.09,-0.09
